,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,铁矿石,豆粕,焦炭,豆粕,塑料,豆油,焦炭,沥青,沥青,棕榈油,热卷,沪铜,玻璃
1,焦煤,菜粕,豆粕,豆一,玉米,豆一,玻璃,豆油,玻璃,热卷,沥青,焦炭,淀粉
2,焦炭,豆一,焦煤,菜粕,焦煤,焦炭,淀粉,焦煤,PVC,甲醇,玻璃,螺纹钢,豆一
3,豆粕,豆油,菜粕,沥青,沥青,动力煤,沪镍,沪镍,沪铜,PVC,菜粕,动力煤,动力煤
4,豆一,焦煤,PVC,豆油,淀粉,豆粕,铁矿石,聚丙烯,沪铝,豆一,焦炭,棉花,菜粕
