,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,白糖,铁矿石,动力煤,铁矿石,豆一,淀粉,聚丙烯,沪金,螺纹钢,玻璃,棉花,豆粕,沥青
1,沪铜,螺纹钢,铁矿石,天胶,沪镍,焦煤,棕榈油,淀粉,聚丙烯,沪金,沪金,沪镍,沪镍
2,沪金,PTA,沥青,螺纹钢,玻璃,铁矿石,焦煤,塑料,沪金,玉米,玉米,天胶,天胶
3,沪银,天胶,天胶,焦炭,甲醇,玉米,螺纹钢,棉花,热卷,棉花,沪镍,铁矿石,棕榈油
4,玉米,塑料,沪锌,动力煤,铁矿石,棕榈油,豆一,白糖,沪银,沪铜,棕榈油,棕榈油,豆粕
