,IC1505.CFE,IC1506.CFE,IC1507.CFE,IC1508.CFE,IC1509.CFE,IC1510.CFE,IC1511.CFE,IC1512.CFE,IC1601.CFE,IC1602.CFE,IC1603.CFE,IC1604.CFE,IC1605.CFE,IC1606.CFE,IC1607.CFE,IC1608.CFE,IC1609.CFE,IC1610.CFE,IC1611.CFE,IC1612.CFE,IC1701.CFE,IC1702.CFE,IC1703.CFE,IC1704.CFE,IC1705.CFE,IC1706.CFE,IC1707.CFE,IC1708.CFE,IC1709.CFE,IC1710.CFE,IC1711.CFE,IC1712.CFE,IC1801.CFE,IC1802.CFE,IC1803.CFE,IC1806.CFE,IC1804.CFE,IC1805.CFE,IC1809.CFE
2015-04-16,116888.0,5285.0,,,743.0,,,484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,114214.0,7740.0,,,571.0,,,460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20,98781.0,5564.0,,,454.0,,,425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,132545.0,6806.0,,,610.0,,,632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,121034.0,7002.0,,,702.0,,,751.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,132278.0,5799.0,,,461.0,,,486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,126381.0,6943.0,,,595.0,,,357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,125335.0,7851.0,,,1046.0,,,633.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,164120.0,9281.0,,,849.0,,,537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,134158.0,5535.0,,,679.0,,,392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,120118.0,5500.0,,,354.0,,,233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,101734.0,4384.0,,,539.0,,,231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,109987.0,6804.0,,,522.0,,,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,111973.0,7587.0,,,640.0,,,448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,109599.0,7818.0,,,692.0,,,393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
