,BU1402.SHF,BU1403.SHF,BU1404.SHF,BU1405.SHF,BU1406.SHF,BU1407.SHF,BU1408.SHF,BU1409.SHF,BU1410.SHF,BU1411.SHF,BU1412.SHF,BU1501.SHF,BU1502.SHF,BU1503.SHF,BU1504.SHF,BU1505.SHF,BU1506.SHF,BU1507.SHF,BU1508.SHF,BU1509.SHF,BU1510.SHF,BU1511.SHF,BU1512.SHF,BU1601.SHF,BU1602.SHF,BU1603.SHF,BU1604.SHF,BU1605.SHF,BU1606.SHF,BU1607.SHF,BU1608.SHF,BU1609.SHF,BU1610.SHF,BU1611.SHF,BU1612.SHF,BU1701.SHF,BU1702.SHF,BU1703.SHF,BU1704.SHF,BU1705.SHF,BU1706.SHF,BU1707.SHF,BU1708.SHF,BU1709.SHF,BU1710.SHF,BU1711.SHF,BU1712.SHF,BU1801.SHF,BU1802.SHF,BU1803.SHF,BU1804.SHF,BU1805.SHF,BU1806.SHF,BU1809.SHF,BU1812.SHF,BU1903.SHF,BU1906.SHF,BU1909.SHF,BU1912.SHF,BU1807.SHF,BU1808.SHF,BU2003.SHF,BU1810.SHF,WSet: quota exceeded.
2013-12-20,30948.0,94.0,0.0,106.0,180.0,,,2.0,,,4.0,,,2.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-23,22338.0,336.0,0.0,198.0,68.0,,,6.0,,,2.0,,,14.0,,,4.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-24,15596.0,192.0,4.0,8.0,76.0,,,0.0,,,36.0,,,4.0,,,4.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-25,16528.0,144.0,4.0,58.0,130.0,,,0.0,,,8.0,,,4.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-26,66716.0,512.0,4.0,194.0,386.0,,,10.0,,,4.0,,,0.0,,,0.0,,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-27,57464.0,536.0,4.0,108.0,326.0,,,18.0,,,0.0,,,2.0,,,4.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-30,22012.0,120.0,2.0,32.0,154.0,,,2.0,,,10.0,,,2.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,23528.0,150.0,4.0,60.0,472.0,,,0.0,,,2.0,,,2.0,,,2.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-02,22642.0,654.0,4.0,20.0,1066.0,,,6.0,,,4.0,,,2.0,,,6.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-03,22232.0,454.0,0.0,480.0,1964.0,,,8.0,,,2.0,,,0.0,,,12.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-06,15122.0,292.0,4.0,202.0,1864.0,,,0.0,,,0.0,,,0.0,,,4.0,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-07,23584.0,100.0,0.0,48.0,1900.0,,,16.0,,,6.0,,,0.0,,,2.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-08,36410.0,318.0,4.0,96.0,1712.0,,,0.0,,,12.0,,,0.0,,,14.0,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-09,22262.0,360.0,2.0,86.0,2074.0,,,2.0,,,2.0,,,2.0,,,4.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-10,9368.0,110.0,0.0,30.0,1584.0,,,90.0,,,2.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-13,11788.0,52.0,4.0,8.0,904.0,,,2.0,,,2.0,,,0.0,,,6.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-14,17872.0,260.0,6.0,84.0,3710.0,,,4.0,,,4.0,,,2.0,,,4.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-15,21692.0,102.0,0.0,62.0,2808.0,,,4.0,,,12.0,,,0.0,,,6.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-16,14170.0,80.0,0.0,82.0,3456.0,0.0,,0.0,,,8.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-17,12816.0,66.0,0.0,32.0,2576.0,0.0,,0.0,,,0.0,,,0.0,,,2.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-20,13012.0,50.0,0.0,26.0,3314.0,0.0,,2.0,,,0.0,,,4.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-21,7672.0,116.0,0.0,6.0,1682.0,0.0,,2.0,,,6.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-22,5568.0,70.0,0.0,0.0,1770.0,0.0,,4.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-23,2362.0,20.0,0.0,16.0,1878.0,0.0,,24.0,,,4.0,,,2.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-24,7500.0,102.0,0.0,12.0,866.0,0.0,,2.0,,,2.0,,,2.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-27,7680.0,22.0,0.0,82.0,1048.0,0.0,,0.0,,,4.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-28,6692.0,74.0,0.0,0.0,934.0,0.0,,18.0,,,0.0,,,4.0,,,4.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-29,6764.0,66.0,0.0,22.0,1692.0,0.0,,4.0,,,4.0,,,2.0,,,2.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-30,6080.0,50.0,0.0,44.0,1408.0,0.0,,4.0,,,2.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-07,8012.0,30.0,0.0,64.0,1382.0,0.0,,0.0,,,8.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-10,7392.0,100.0,0.0,208.0,4274.0,0.0,,12.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-11,3824.0,4.0,0.0,2.0,1860.0,0.0,,20.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-12,6856.0,46.0,0.0,18.0,3992.0,0.0,,4.0,,,0.0,,,8.0,,,4.0,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
