,HC1407.SHF,HC1408.SHF,HC1409.SHF,HC1410.SHF,HC1411.SHF,HC1412.SHF,HC1501.SHF,HC1502.SHF,HC1503.SHF,HC1504.SHF,HC1505.SHF,HC1506.SHF,HC1507.SHF,HC1508.SHF,HC1509.SHF,HC1510.SHF,HC1511.SHF,HC1512.SHF,HC1601.SHF,HC1602.SHF,HC1603.SHF,HC1604.SHF,HC1605.SHF,HC1606.SHF,HC1607.SHF,HC1608.SHF,HC1609.SHF,HC1610.SHF,HC1611.SHF,HC1612.SHF,HC1701.SHF,HC1702.SHF,HC1703.SHF,HC1704.SHF,HC1705.SHF,HC1706.SHF,HC1707.SHF,HC1708.SHF,HC1709.SHF,HC1710.SHF,HC1711.SHF,HC1712.SHF,HC1801.SHF,HC1802.SHF,HC1803.SHF,HC1804.SHF,HC1805.SHF,HC1806.SHF,HC1807.SHF,HC1808.SHF,HC1809.SHF,HC1810.SHF,HC1811.SHF,HC1812.SHF,HC1901.SHF,HC1902.SHF,HC1903.SHF
2014-04-25,4.0,0.0,36.0,8566.0,2.0,0.0,96.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-28,20.0,0.0,52.0,17354.0,0.0,0.0,484.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-29,26.0,0.0,28.0,8736.0,0.0,0.0,92.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-30,24.0,0.0,2.0,9948.0,0.0,0.0,726.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-05,0.0,8.0,10.0,11568.0,0.0,0.0,48.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-06,4.0,4.0,18.0,4722.0,0.0,0.0,26.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-07,0.0,0.0,50.0,9532.0,2.0,0.0,614.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-08,0.0,0.0,70.0,13298.0,2.0,0.0,242.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-09,14.0,0.0,28.0,9612.0,0.0,0.0,58.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-12,0.0,0.0,0.0,11512.0,0.0,0.0,138.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-13,0.0,2.0,0.0,6694.0,0.0,0.0,38.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-14,6.0,6.0,0.0,7744.0,0.0,0.0,12.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-15,0.0,0.0,14.0,4666.0,0.0,0.0,50.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-16,0.0,0.0,50.0,11898.0,0.0,0.0,568.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-19,0.0,0.0,0.0,7402.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-20,0.0,0.0,4.0,3226.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-21,14.0,6.0,2.0,5076.0,4.0,0.0,132.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-22,0.0,8.0,98.0,5670.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
