,T1509.CFE,T1512.CFE,T1603.CFE,T1606.CFE,T1609.CFE,T1612.CFE,T1703.CFE,T1706.CFE,T1709.CFE,T1712.CFE,T1803.CFE,T1806.CFE,T1809.CFE,T1812.CFE,WSet: quota exceeded.
2015-03-20,3332.0,63.0,22.0,,,,,,,,,,,,
2015-03-23,1386.0,0.0,1.0,,,,,,,,,,,,
2015-03-24,1380.0,0.0,3.0,,,,,,,,,,,,
2015-03-25,1234.0,9.0,0.0,,,,,,,,,,,,
2015-03-26,1073.0,4.0,0.0,,,,,,,,,,,,
2015-03-27,1792.0,3.0,4.0,,,,,,,,,,,,
2015-03-30,1153.0,5.0,12.0,,,,,,,,,,,,
2015-03-31,2327.0,9.0,0.0,,,,,,,,,,,,
2015-04-01,673.0,0.0,0.0,,,,,,,,,,,,
2015-04-02,1011.0,1.0,0.0,,,,,,,,,,,,
2015-04-03,1099.0,0.0,0.0,,,,,,,,,,,,
2015-04-07,831.0,6.0,3.0,,,,,,,,,,,,
2015-04-08,2904.0,34.0,6.0,,,,,,,,,,,,
2015-04-09,1389.0,14.0,13.0,,,,,,,,,,,,
2015-04-10,1073.0,0.0,0.0,,,,,,,,,,,,
2015-04-13,1895.0,6.0,4.0,,,,,,,,,,,,
2015-04-14,1718.0,1.0,4.0,,,,,,,,,,,,
2015-04-15,2148.0,11.0,10.0,,,,,,,,,,,,
2015-04-16,1436.0,0.0,0.0,,,,,,,,,,,,
2015-04-17,1613.0,1.0,0.0,,,,,,,,,,,,
2015-04-20,3213.0,7.0,16.0,,,,,,,,,,,,
2015-04-21,4962.0,12.0,0.0,,,,,,,,,,,,
2015-04-22,2962.0,10.0,3.0,,,,,,,,,,,,
2015-04-23,2288.0,19.0,2.0,,,,,,,,,,,,
2015-04-24,2110.0,3.0,3.0,,,,,,,,,,,,
2015-04-27,3257.0,17.0,1.0,,,,,,,,,,,,
2015-04-28,1621.0,2.0,1.0,,,,,,,,,,,,
2015-04-29,2235.0,1.0,0.0,,,,,,,,,,,,
2015-04-30,3925.0,29.0,15.0,,,,,,,,,,,,
2015-05-04,2688.0,6.0,0.0,,,,,,,,,,,,
2015-05-05,3812.0,0.0,1.0,,,,,,,,,,,,
2015-05-06,5874.0,15.0,2.0,,,,,,,,,,,,
2015-05-07,3897.0,17.0,1.0,,,,,,,,,,,,
2015-05-08,3756.0,5.0,0.0,,,,,,,,,,,,
2015-05-11,4854.0,21.0,1.0,,,,,,,,,,,,
2015-05-12,3199.0,2.0,2.0,,,,,,,,,,,,
2015-05-13,4272.0,6.0,7.0,,,,,,,,,,,,
2015-05-14,3794.0,17.0,0.0,,,,,,,,,,,,
2015-05-15,2400.0,10.0,0.0,,,,,,,,,,,,
2015-05-18,5051.0,17.0,7.0,,,,,,,,,,,,
2015-05-19,3680.0,113.0,3.0,,,,,,,,,,,,
2015-05-20,2667.0,39.0,2.0,,,,,,,,,,,,
2015-05-21,2358.0,206.0,0.0,,,,,,,,,,,,
2015-05-22,1866.0,201.0,0.0,,,,,,,,,,,,
2015-05-25,1849.0,37.0,0.0,,,,,,,,,,,,
2015-05-26,5483.0,410.0,4.0,,,,,,,,,,,,
2015-05-27,3064.0,121.0,0.0,,,,,,,,,,,,
2015-05-28,4455.0,178.0,1.0,,,,,,,,,,,,
2015-05-29,3040.0,75.0,0.0,,,,,,,,,,,,
2015-06-01,6745.0,186.0,14.0,,,,,,,,,,,,
2015-06-02,5862.0,79.0,2.0,,,,,,,,,,,,
2015-06-03,4222.0,134.0,8.0,,,,,,,,,,,,
2015-06-04,3583.0,244.0,2.0,,,,,,,,,,,,
2015-06-05,3191.0,210.0,2.0,,,,,,,,,,,,
2015-06-08,2907.0,386.0,0.0,,,,,,,,,,,,
2015-06-09,2655.0,151.0,8.0,,,,,,,,,,,,
2015-06-10,3430.0,144.0,1.0,,,,,,,,,,,,
2015-06-11,2901.0,190.0,4.0,,,,,,,,,,,,
2015-06-12,3902.0,277.0,2.0,,,,,,,,,,,,
2015-06-15,2210.0,28.0,0.0,,,,,,,,,,,,
2015-06-16,5417.0,205.0,8.0,,,,,,,,,,,,
2015-06-17,2832.0,44.0,3.0,,,,,,,,,,,,
2015-06-18,2793.0,74.0,0.0,,,,,,,,,,,,
2015-06-19,2432.0,39.0,3.0,,,,,,,,,,,,
2015-06-23,2443.0,113.0,5.0,,,,,,,,,,,,
2015-06-24,1428.0,82.0,0.0,,,,,,,,,,,,
2015-06-25,3771.0,76.0,1.0,,,,,,,,,,,,
2015-06-26,3073.0,54.0,0.0,,,,,,,,,,,,
2015-06-29,4982.0,97.0,1.0,,,,,,,,,,,,
2015-06-30,2107.0,47.0,0.0,,,,,,,,,,,,
2015-07-01,1235.0,122.0,0.0,,,,,,,,,,,,
2015-07-02,1291.0,69.0,0.0,,,,,,,,,,,,
2015-07-03,3612.0,211.0,0.0,,,,,,,,,,,,
2015-07-06,3811.0,172.0,6.0,,,,,,,,,,,,
2015-07-07,3236.0,277.0,0.0,,,,,,,,,,,,
2015-07-08,8839.0,351.0,7.0,,,,,,,,,,,,
2015-07-09,4365.0,268.0,0.0,,,,,,,,,,,,
2015-07-10,2668.0,295.0,125.0,,,,,,,,,,,,
2015-07-13,2941.0,188.0,102.0,,,,,,,,,,,,
2015-07-14,2819.0,178.0,114.0,,,,,,,,,,,,
2015-07-15,4830.0,612.0,243.0,,,,,,,,,,,,
2015-07-16,2096.0,238.0,235.0,,,,,,,,,,,,
2015-07-17,2088.0,403.0,230.0,,,,,,,,,,,,
2015-07-20,1501.0,189.0,189.0,,,,,,,,,,,,
2015-07-21,2456.0,168.0,179.0,,,,,,,,,,,,
2015-07-22,1755.0,178.0,38.0,,,,,,,,,,,,
2015-07-23,2422.0,466.0,184.0,,,,,,,,,,,,
2015-07-24,2769.0,384.0,43.0,,,,,,,,,,,,
2015-07-27,1795.0,365.0,18.0,,,,,,,,,,,,
2015-07-28,2517.0,690.0,91.0,,,,,,,,,,,,
2015-07-29,1653.0,544.0,12.0,,,,,,,,,,,,
2015-07-30,1750.0,695.0,40.0,,,,,,,,,,,,
2015-07-31,3591.0,1082.0,57.0,,,,,,,,,,,,
2015-08-03,2937.0,1131.0,111.0,,,,,,,,,,,,
2015-08-04,2411.0,1674.0,83.0,,,,,,,,,,,,
2015-08-05,2097.0,988.0,204.0,,,,,,,,,,,,
2015-08-06,1949.0,1077.0,209.0,,,,,,,,,,,,
2015-08-07,2397.0,1499.0,314.0,,,,,,,,,,,,
