,FU0501.SHF,FU0503.SHF,FU0504.SHF,FU0505.SHF,FU0506.SHF,FU0507.SHF,FU0508.SHF,FU0509.SHF,FU0510.SHF,FU0511.SHF,FU0512.SHF,FU0602.SHF,FU0603.SHF,FU0604.SHF,FU0605.SHF,FU0606.SHF,FU0607.SHF,FU0608.SHF,FU0609.SHF,FU0610.SHF,FU0611.SHF,FU0612.SHF,FU0701.SHF,FU0703.SHF,FU0704.SHF,FU0705.SHF,FU0706.SHF,FU0707.SHF,FU0708.SHF,FU0709.SHF,FU0710.SHF,FU0711.SHF,FU0712.SHF,FU0801.SHF,FU0803.SHF,FU0804.SHF,FU0805.SHF,FU0806.SHF,FU0807.SHF,FU0808.SHF,FU0809.SHF,FU0810.SHF,FU0811.SHF,FU0812.SHF,FU0902.SHF,FU0903.SHF,FU0904.SHF,FU0905.SHF,FU0906.SHF,FU0907.SHF,FU0908.SHF,FU0909.SHF,FU0910.SHF,FU0911.SHF,FU0912.SHF,FU1001.SHF,FU1003.SHF,FU1004.SHF,FU1005.SHF,FU1006.SHF,FU1007.SHF,FU1008.SHF,FU1009.SHF,FU1010.SHF,FU1011.SHF,FU1012.SHF,FU1101.SHF,FU1103.SHF,FU1104.SHF,FU1105.SHF,FU1106.SHF,FU1107.SHF,FU1108.SHF,FU1109.SHF,FU1110.SHF,FU1111.SHF,FU1112.SHF,FU1202.SHF,FU1203.SHF,FU1204.SHF,FU1205.SHF,FU1206.SHF,FU1207.SHF,FU1208.SHF,FU1209.SHF,FU1210.SHF,FU1211.SHF,FU1212.SHF,FU1301.SHF,FU1303.SHF,FU1304.SHF,FU1305.SHF,FU1306.SHF,FU1307.SHF,FU1308.SHF,FU1309.SHF,FU1310.SHF,FU1311.SHF,FU1312.SHF,FU1402.SHF,FU1403.SHF,FU1404.SHF,FU1405.SHF,FU1406.SHF,FU1407.SHF,FU1408.SHF,FU1409.SHF,FU1410.SHF,FU1411.SHF,FU1412.SHF,FU1501.SHF,FU1503.SHF,FU1504.SHF,FU1505.SHF,FU1506.SHF,FU1507.SHF,FU1508.SHF,FU1509.SHF,FU1510.SHF,FU1511.SHF,FU1512.SHF,FU1601.SHF,FU1603.SHF,FU1604.SHF,FU1605.SHF,FU1606.SHF,FU1607.SHF,FU1608.SHF,FU1609.SHF,FU1610.SHF,FU1611.SHF,FU1612.SHF,FU1702.SHF,FU1703.SHF,FU1704.SHF,FU1705.SHF,FU1706.SHF,FU1707.SHF,FU1708.SHF,FU1709.SHF,FU1710.SHF,FU1711.SHF,FU1712.SHF,FU1801.SHF,FU1803.SHF,FU1804.SHF,FU1805.SHF,FU1806.SHF,FU1807.SHF,FU1808.SHF,FU1809.SHF,FU1810.SHF,FU1811.SHF,FU1812.SHF,FU1901.SHF,FU1903.SHF,FU1904.SHF
2004-09-24,8762.0,378.0,,,4.0,4.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-27,11956.0,138.0,2.0,14.0,,4.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-28,21210.0,1072.0,68.0,62.0,,,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-29,10348.0,522.0,62.0,4.0,,16.0,142.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-30,10502.0,454.0,18.0,28.0,34.0,,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-08,71342.0,5078.0,220.0,320.0,150.0,64.0,68.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-11,111864.0,8860.0,252.0,94.0,8.0,34.0,72.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-12,299696.0,7686.0,224.0,190.0,36.0,34.0,74.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-13,163924.0,2476.0,142.0,246.0,28.0,14.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-14,297986.0,9462.0,170.0,154.0,58.0,18.0,14.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-15,216928.0,4530.0,176.0,250.0,18.0,32.0,2.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-18,165426.0,3294.0,60.0,142.0,102.0,102.0,24.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-19,226196.0,7900.0,118.0,100.0,100.0,26.0,38.0,2.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-20,147952.0,2968.0,158.0,44.0,6.0,6.0,8.0,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-21,175218.0,5946.0,164.0,100.0,16.0,10.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
