,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,焦炭,螺纹钢,甲醇,豆粕,玉米,豆粕,焦煤,PVC,焦炭,动力煤,甲醇,沪铜,玻璃
1,焦煤,沥青,沪镍,菜粕,塑料,沪镍,沪镍,淀粉,焦煤,PVC,焦炭,螺纹钢,沪铜
2,沪锌,PTA,白糖,天胶,焦煤,白糖,沪金,沪镍,白糖,菜粕,动力煤,沪铝,动力煤
3,沪镍,动力煤,塑料,豆一,沥青,焦煤,棕榈油,热卷,螺纹钢,豆一,焦煤,沪锌,菜粕
4,菜粕,白糖,沪铜,沪镍,淀粉,塑料,甲醇,动力煤,菜粕,沪铝,PTA,玻璃,鸡蛋
