,AL1501.SHF,AL1502.SHF,AL1503.SHF,AL1504.SHF,AL1505.SHF,AL1506.SHF,AL1507.SHF,AL1508.SHF,AL1509.SHF,AL1510.SHF,AL1511.SHF,AL1512.SHF,AL1601.SHF,AL1602.SHF,AL1603.SHF,AL1604.SHF,AL1605.SHF,AL1606.SHF,AL1607.SHF,AL1608.SHF,AL1609.SHF,AL1610.SHF,AL1611.SHF,AL1612.SHF,AL1701.SHF,AL1702.SHF,AL1703.SHF,AL1704.SHF,AL1705.SHF,AL1706.SHF,AL1707.SHF,AL1708.SHF,AL1709.SHF,AL1710.SHF,AL1711.SHF,AL1712.SHF,AL1801.SHF,AL1802.SHF,AL1803.SHF,AL1804.SHF,AL1805.SHF,AL1806.SHF,AL1807.SHF,AL1808.SHF,AL1809.SHF,AL1810.SHF,AL1811.SHF,AL1812.SHF,AL1901.SHF,AL1902.SHF,AL1903.SHF,AL1904.SHF
2015-01-05,12855.0,12915.0,12985.0,13060.0,13140.0,13295.0,13360.0,13425.0,13465.0,13405.0,13555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,12780.0,12835.0,12880.0,12940.0,13000.0,13060.0,13115.0,13185.0,13280.0,,13400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,12750.0,12805.0,12860.0,12915.0,12970.0,13030.0,13085.0,13150.0,13210.0,13235.0,13380.0,13400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,12755.0,12790.0,12845.0,12905.0,12970.0,13035.0,13090.0,13115.0,13170.0,13245.0,,13440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,12835.0,12855.0,12900.0,12950.0,13005.0,13065.0,13115.0,13150.0,13265.0,13295.0,13390.0,13420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,12835.0,12820.0,12855.0,12910.0,12965.0,13020.0,13075.0,13120.0,13150.0,13235.0,13310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,12730.0,12740.0,12770.0,12810.0,12860.0,12915.0,12965.0,13015.0,13075.0,13150.0,13180.0,13300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,12690.0,12730.0,12755.0,12805.0,12865.0,12930.0,13010.0,13050.0,13095.0,,13110.0,13295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,12980.0,12940.0,13005.0,13150.0,13105.0,13140.0,13210.0,13170.0,13225.0,13270.0,13285.0,13320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,12855.0,12930.0,12995.0,13020.0,13080.0,13130.0,13190.0,13190.0,13240.0,13375.0,13410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,12900.0,12950.0,13000.0,13060.0,13120.0,13145.0,13195.0,13260.0,13280.0,13295.0,13470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,12805.0,12850.0,12905.0,12965.0,13025.0,13075.0,13130.0,13195.0,13270.0,13335.0,13380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,12810.0,12850.0,12915.0,12970.0,13025.0,13060.0,13120.0,13170.0,13225.0,,13325.0,13325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,12800.0,12855.0,12920.0,12970.0,13025.0,13070.0,13110.0,13160.0,13230.0,13280.0,13330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,12815.0,12880.0,12920.0,12980.0,13050.0,13450.0,13105.0,13170.0,13215.0,13280.0,13325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,12745.0,12805.0,12865.0,12915.0,12975.0,13035.0,13070.0,13110.0,13185.0,13245.0,13285.0,13300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,12835.0,12895.0,12960.0,13020.0,13065.0,13100.0,13185.0,13190.0,13245.0,13300.0,13340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,12780.0,12830.0,12890.0,12970.0,13005.0,13055.0,13105.0,13155.0,13225.0,13295.0,13310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,12760.0,12830.0,12875.0,12935.0,12985.0,13030.0,13080.0,13150.0,13205.0,,13300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
