,IH1505.CFE,IH1506.CFE,IH1507.CFE,IH1508.CFE,IH1509.CFE,IH1510.CFE,IH1511.CFE,IH1512.CFE,IH1601.CFE,IH1602.CFE,IH1603.CFE,IH1604.CFE,IH1605.CFE,IH1606.CFE,IH1607.CFE,IH1608.CFE,IH1609.CFE,IH1610.CFE,IH1611.CFE,IH1612.CFE,IH1701.CFE,IH1702.CFE,IH1703.CFE,IH1704.CFE,IH1705.CFE,IH1706.CFE,IH1707.CFE,IH1708.CFE,IH1709.CFE,IH1710.CFE,IH1711.CFE,IH1712.CFE,IH1801.CFE,IH1802.CFE,IH1803.CFE,IH1804.CFE,IH1805.CFE,IH1806.CFE,IH1809.CFE,IH1812.CFE
2015-04-16,3288.2,3298.0,,,3309.8,,,3325.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,3341.6,3345.4,,,3368.8,,,3408.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20,3315.0,3322.4,,,3340.0,,,3382.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,3242.2,3245.6,,,3255.0,,,3304.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,3333.2,3335.4,,,3351.8,,,3398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,3348.2,3354.6,,,3369.8,,,3416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,3267.8,3272.0,,,3283.0,,,3334.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,3358.0,3358.8,,,3366.8,,,3400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,3376.0,3383.0,,,3392.6,,,3431.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,3325.6,3330.0,,,3340.8,,,3379.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,3331.2,3335.4,,,3342.8,,,3390.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,3301.8,3310.0,,,3318.8,,,3361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,3281.6,3284.8,,,3293.4,,,3333.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,3257.4,3262.0,,,3270.0,,,3305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,3170.0,3177.0,,,3185.6,,,3216.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,3149.0,3160.4,,,3170.4,,,3208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-11,3170.4,3183.6,,,3191.6,,,3235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
