,PM1501.CZC,PM1503.CZC,PM1505.CZC,PM1507.CZC,PM1509.CZC,PM1511.CZC,PM1601.CZC,PM1603.CZC,PM1605.CZC,PM607.CZC,PM609.CZC,PM611.CZC,PM701.CZC,PM703.CZC,PM705.CZC,PM707.CZC,PM709.CZC,PM711.CZC,PM801.CZC,PM803.CZC,PM805.CZC,PM807.CZC,PM809.CZC,PM811.CZC,PM901.CZC,PM903.CZC
2015-05-13,,,,,2538.0,,,,,,,,,,,,,,,,,,,,,
2015-05-14,,,,,2452.0,,,,,,,,,,,,,,,,,,,,,
2015-05-15,,,,,2446.0,,,,,,,,,,,,,,,,,,,,,
2015-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-19,,,,,2544.0,2398.0,,,,,,,,,,,,,,,,,,,,
2015-05-20,,,,,,,,,2648.0,,,,,,,,,,,,,,,,,
2015-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-27,,,,,,2494.0,,,,,,,,,,,,,,,,,,,,
2015-05-28,,,,,,2546.0,,,2748.0,,,,,,,,,,,,,,,,,
2015-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,,,,,,,2713.0,,,,,,,,,,,,,,,,,,,
2015-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05,,,,,,2620.0,,,,,,,,,,,,,,,,,,,,
2015-06-08,,,,,,2637.0,,,,,,,,,,,,,,,,,,,,
2015-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-10,,,,,,,,,2735.0,,,,,,,,,,,,,,,,,
2015-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-12,,,,,,,,,2835.0,,,,,,,,,,,,,,,,,
2015-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-16,,,,,,,2580.0,,,,,,,,,,,,,,,,,,,
2015-06-17,,,,,,,2682.0,,,,,,,,,,,,,,,,,,,
