,OI1501.CZC,OI1503.CZC,OI1505.CZC,OI1507.CZC,OI1509.CZC,OI1511.CZC,OI1601.CZC,OI1603.CZC,OI1605.CZC,OI607.CZC,OI609.CZC,OI611.CZC,OI701.CZC,OI703.CZC,OI705.CZC,OI707.CZC,OI709.CZC,OI711.CZC,OI801.CZC,OI803.CZC,OI805.CZC,OI807.CZC,OI809.CZC,OI811.CZC,OI901.CZC,OI903.CZC
2015-01-05,5830.0,,6036.0,,6104.0,,,,,,,,,,,,,,,,,,,,,
2015-01-06,5888.0,,6094.0,6144.0,6158.0,,,,,,,,,,,,,,,,,,,,,
2015-01-07,5862.0,5998.0,6084.0,6144.0,6146.0,,,,,,,,,,,,,,,,,,,,,
2015-01-08,5930.0,,6178.0,,6246.0,,,,,,,,,,,,,,,,,,,,,
2015-01-09,5896.0,,6158.0,,6230.0,,,,,,,,,,,,,,,,,,,,,
2015-01-12,5940.0,,6158.0,6194.0,6220.0,,,,,,,,,,,,,,,,,,,,,
2015-01-13,5846.0,5794.0,6050.0,,6118.0,,,,,,,,,,,,,,,,,,,,,
2015-01-14,5834.0,,6042.0,,6112.0,,,,,,,,,,,,,,,,,,,,,
2015-01-15,5800.0,,6018.0,,6098.0,6154.0,,,,,,,,,,,,,,,,,,,,
2015-01-16,5700.0,,5954.0,,6044.0,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,,6032.0,6054.0,6128.0,,6200.0,,,,,,,,,,,,,,,,,,,
2015-01-20,,,5978.0,,6058.0,6064.0,6144.0,,,,,,,,,,,,,,,,,,,
2015-01-21,,,6004.0,,6086.0,,6110.0,,,,,,,,,,,,,,,,,,,
2015-01-22,,,6000.0,,6082.0,,6096.0,,,,,,,,,,,,,,,,,,,
2015-01-23,,,5968.0,,6032.0,,6078.0,,,,,,,,,,,,,,,,,,,
2015-01-26,,,5942.0,,6008.0,,6036.0,,,,,,,,,,,,,,,,,,,
2015-01-27,,,5988.0,,6032.0,6070.0,6042.0,,,,,,,,,,,,,,,,,,,
2015-01-28,,,5954.0,,6004.0,,6020.0,,,,,,,,,,,,,,,,,,,
2015-01-29,,,5930.0,,5942.0,,5962.0,,,,,,,,,,,,,,,,,,,
2015-01-30,,,5812.0,,5826.0,,5890.0,,,,,,,,,,,,,,,,,,,
2015-02-02,,,5840.0,,5860.0,,5908.0,,,,,,,,,,,,,,,,,,,
2015-02-03,,,5810.0,,5842.0,,5906.0,,,,,,,,,,,,,,,,,,,
2015-02-04,,,5868.0,,5900.0,5898.0,5972.0,,,,,,,,,,,,,,,,,,,
2015-02-05,,,5808.0,,5860.0,,5926.0,,,,,,,,,,,,,,,,,,,
2015-02-06,,,5860.0,,5938.0,,6010.0,,,,,,,,,,,,,,,,,,,
2015-02-09,,,5808.0,,5880.0,,5956.0,,,,,,,,,,,,,,,,,,,
2015-02-10,,,5816.0,,5900.0,,5962.0,,,,,,,,,,,,,,,,,,,
2015-02-11,,,5798.0,,5870.0,,5936.0,,,,,,,,,,,,,,,,,,,
2015-02-12,,,5798.0,,5872.0,,5930.0,,,,,,,,,,,,,,,,,,,
