,TF1503.CFE,TF1506.CFE,TF1509.CFE,TF1512.CFE,TF1603.CFE,TF1606.CFE,TF1609.CFE,TF1612.CFE,TF1703.CFE,TF1706.CFE,TF1709.CFE,TF1712.CFE,TF1803.CFE,TF1806.CFE,TF1809.CFE,TF1812.CFE
2015-01-05,96.85,97.386,97.694,,,,,,,,,,,,,
2015-01-06,96.72,97.292,97.516,,,,,,,,,,,,,
2015-01-07,96.854,97.4,97.6,,,,,,,,,,,,,
2015-01-08,96.792,97.5,97.664,,,,,,,,,,,,,
2015-01-09,96.786,97.282,97.622,,,,,,,,,,,,,
2015-01-12,96.74,97.26,97.62,,,,,,,,,,,,,
2015-01-13,97.134,97.61,97.942,,,,,,,,,,,,,
2015-01-14,97.3,97.792,98.13,,,,,,,,,,,,,
2015-01-15,97.448,97.94,98.28,,,,,,,,,,,,,
2015-01-16,97.512,97.998,98.36,,,,,,,,,,,,,
2015-01-19,97.7,98.174,98.526,,,,,,,,,,,,,
2015-01-20,97.578,98.014,98.34,,,,,,,,,,,,,
2015-01-21,97.59,98.04,98.39,,,,,,,,,,,,,
2015-01-22,97.738,98.21,98.516,,,,,,,,,,,,,
2015-01-23,97.88,98.298,98.55,,,,,,,,,,,,,
2015-01-26,97.818,98.28,98.606,,,,,,,,,,,,,
2015-01-27,97.95,98.406,98.726,,,,,,,,,,,,,
2015-01-28,97.598,98.04,98.388,,,,,,,,,,,,,
2015-01-29,97.598,98.06,98.4,,,,,,,,,,,,,
2015-01-30,97.4,97.892,98.2,,,,,,,,,,,,,
2015-02-02,97.7,98.222,98.552,,,,,,,,,,,,,
2015-02-03,97.818,98.35,98.756,,,,,,,,,,,,,
2015-02-04,97.75,98.29,98.774,,,,,,,,,,,,,
2015-02-05,97.962,98.522,98.93,,,,,,,,,,,,,
2015-02-06,97.75,98.336,98.788,,,,,,,,,,,,,
2015-02-09,97.794,98.384,98.848,,,,,,,,,,,,,
2015-02-10,97.924,98.526,98.95,,,,,,,,,,,,,
2015-02-11,98.326,98.964,99.384,,,,,,,,,,,,,
2015-02-12,98.458,99.164,99.566,,,,,,,,,,,,,
2015-02-13,98.518,99.314,99.724,,,,,,,,,,,,,
2015-02-16,98.598,99.246,99.976,,,,,,,,,,,,,
2015-02-17,98.902,99.494,100.06,,,,,,,,,,,,,
2015-02-25,98.848,99.498,100.09,,,,,,,,,,,,,
2015-02-26,98.738,99.37,99.95,,,,,,,,,,,,,
2015-02-27,98.568,99.216,99.786,,,,,,,,,,,,,
2015-03-02,98.244,99.27,99.882,,,,,,,,,,,,,
2015-03-03,97.892,98.76,99.26,,,,,,,,,,,,,
2015-03-04,98.014,98.906,99.42,,,,,,,,,,,,,
2015-03-05,97.898,98.758,99.28,,,,,,,,,,,,,
2015-03-06,98.15,98.8,99.248,,,,,,,,,,,,,
2015-03-09,97.922,98.548,99.056,,,,,,,,,,,,,
2015-03-10,97.92,98.5,98.98,,,,,,,,,,,,,
2015-03-11,98.998,99.0,99.426,,,,,,,,,,,,,
2015-03-12,99.506,98.938,99.392,,,,,,,,,,,,,
2015-03-13,98.276,98.78,99.242,,,,,,,,,,,,,
2015-03-16,,98.354,98.83,99.516,,,,,,,,,,,,
2015-03-17,,98.425,98.81,99.32,,,,,,,,,,,,
2015-03-18,,98.43,98.835,99.36,,,,,,,,,,,,
2015-03-19,,98.1,98.45,98.99,,,,,,,,,,,,
2015-03-20,,98.295,98.67,99.185,,,,,,,,,,,,
2015-03-23,,98.175,98.51,99.02,,,,,,,,,,,,
