,CF1501.CZC,CF1503.CZC,CF1505.CZC,CF1507.CZC,CF1509.CZC,CF1511.CZC,CF1601.CZC,CF1603.CZC,CF1605.CZC,CF607.CZC,CF609.CZC,CF611.CZC,CF701.CZC,CF703.CZC,CF705.CZC,CF707.CZC,CF709.CZC,CF711.CZC,CF801.CZC,CF803.CZC,CF805.CZC,CF807.CZC,CF809.CZC,CF811.CZC,CF901.CZC,CF903.CZC
2015-01-05,13645.0,13215.0,13080.0,13205.0,13430.0,13580.0,,,,,,,,,,,,,,,,,,,,
2015-01-06,13000.0,13010.0,13150.0,13160.0,13480.0,13665.0,,,,,,,,,,,,,,,,,,,,
2015-01-07,13040.0,13045.0,13210.0,13255.0,13540.0,13695.0,,,,,,,,,,,,,,,,,,,,
2015-01-08,13100.0,13100.0,13180.0,13225.0,13515.0,13665.0,,,,,,,,,,,,,,,,,,,,
2015-01-09,13090.0,13095.0,13190.0,13230.0,13525.0,13670.0,,,,,,,,,,,,,,,,,,,,
2015-01-12,13140.0,13135.0,13150.0,,13495.0,13690.0,,,,,,,,,,,,,,,,,,,,
2015-01-13,12990.0,12995.0,13080.0,13130.0,13435.0,13615.0,,,,,,,,,,,,,,,,,,,,
2015-01-14,12930.0,12950.0,12970.0,13070.0,13350.0,13600.0,,,,,,,,,,,,,,,,,,,,
2015-01-15,12980.0,12950.0,12995.0,13095.0,13360.0,13605.0,,,,,,,,,,,,,,,,,,,,
2015-01-16,13005.0,13070.0,13245.0,13235.0,13625.0,13770.0,,,,,,,,,,,,,,,,,,,,
2015-01-19,,12995.0,13165.0,13235.0,13545.0,13790.0,13980.0,,,,,,,,,,,,,,,,,,,
2015-01-20,,12960.0,13190.0,13245.0,13555.0,13780.0,13840.0,,,,,,,,,,,,,,,,,,,
2015-01-21,,12930.0,13130.0,13165.0,13500.0,13725.0,13750.0,,,,,,,,,,,,,,,,,,,
2015-01-22,,12970.0,13095.0,13200.0,13480.0,13640.0,13695.0,,,,,,,,,,,,,,,,,,,
2015-01-23,,12900.0,13070.0,13155.0,13445.0,13570.0,13620.0,,,,,,,,,,,,,,,,,,,
2015-01-26,,12875.0,13075.0,13205.0,13505.0,13645.0,13685.0,,,,,,,,,,,,,,,,,,,
2015-01-27,,12925.0,13135.0,13240.0,13550.0,13720.0,13720.0,,,,,,,,,,,,,,,,,,,
2015-01-28,,12925.0,13140.0,13230.0,13570.0,13725.0,13795.0,,,,,,,,,,,,,,,,,,,
2015-01-29,,13035.0,13275.0,13365.0,13670.0,13825.0,13905.0,,,,,,,,,,,,,,,,,,,
2015-01-30,,12990.0,13225.0,13330.0,13620.0,13785.0,13860.0,,,,,,,,,,,,,,,,,,,
2015-02-02,,12980.0,13120.0,13225.0,13520.0,13775.0,13955.0,,,,,,,,,,,,,,,,,,,
2015-02-03,,13000.0,13215.0,13330.0,13635.0,13840.0,14000.0,,,,,,,,,,,,,,,,,,,
2015-02-04,,13150.0,13365.0,13510.0,13810.0,13980.0,14030.0,,,,,,,,,,,,,,,,,,,
2015-02-05,,13050.0,13320.0,13395.0,13735.0,13910.0,13995.0,,,,,,,,,,,,,,,,,,,
2015-02-06,,13210.0,13260.0,13375.0,13690.0,13915.0,14055.0,,,,,,,,,,,,,,,,,,,
2015-02-09,,13070.0,13250.0,13370.0,13690.0,13915.0,14100.0,,,,,,,,,,,,,,,,,,,
2015-02-10,,13125.0,13330.0,13430.0,13770.0,13955.0,14130.0,,,,,,,,,,,,,,,,,,,
2015-02-11,,13210.0,13310.0,13425.0,13750.0,13915.0,14120.0,,,,,,,,,,,,,,,,,,,
2015-02-12,,13000.0,13230.0,13365.0,13665.0,13890.0,14100.0,,,,,,,,,,,,,,,,,,,
2015-02-13,,13100.0,13325.0,,13745.0,13940.0,14160.0,,,,,,,,,,,,,,,,,,,
2015-02-16,,13080.0,13350.0,13425.0,13750.0,13945.0,14135.0,,,,,,,,,,,,,,,,,,,
2015-02-17,,13140.0,13380.0,13445.0,13770.0,13980.0,14165.0,,,,,,,,,,,,,,,,,,,
2015-02-25,,13170.0,13400.0,,13835.0,13980.0,14240.0,,,,,,,,,,,,,,,,,,,
2015-02-26,,13250.0,13480.0,13575.0,13870.0,14085.0,14240.0,,,,,,,,,,,,,,,,,,,
2015-02-27,,13250.0,13470.0,13550.0,13850.0,14055.0,14220.0,,,,,,,,,,,,,,,,,,,
2015-03-02,,13190.0,13445.0,13535.0,13830.0,14020.0,14195.0,,,,,,,,,,,,,,,,,,,
2015-03-03,,13195.0,13400.0,13360.0,13810.0,14020.0,14180.0,,,,,,,,,,,,,,,,,,,
2015-03-04,,13035.0,13230.0,13325.0,13625.0,13885.0,14050.0,,,,,,,,,,,,,,,,,,,
