,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,铁矿石,淀粉,豆粕,豆粕,玉米,豆一,动力煤,沥青,鸡蛋,PVC,动力煤,沪铜,玻璃
1,焦炭,玉米,菜粕,菜粕,塑料,甲醇,甲醇,PVC,沪铝,动力煤,螺纹钢,沪铝,沪铜
2,沥青,棉花,玉米,焦炭,焦煤,沥青,PVC,天胶,螺纹钢,豆一,沥青,沪锌,菜粕
3,鸡蛋,天胶,豆一,焦煤,沥青,铁矿石,螺纹钢,玻璃,PVC,塑料,沪铜,焦炭,热卷
4,PVC,沪银,豆油,淀粉,淀粉,PTA,棉花,甲醇,动力煤,PTA,塑料,螺纹钢,淀粉
