,total_CV,agri_CV,chem_CV,fmt_CV,nfmt_CV,gld_CV
2017-09-01,16250.2187609,3664.2418402,2598.8809968,4517.5810592,3969.353601,1500.1612637
2017-09-04,16338.9689727,3739.9097575,2671.7136949,4429.1492696,3959.833188,1538.3630627
2017-09-05,16454.830792,3778.9573115,2647.8711376,4458.8229426,4020.9238902,1548.2555101
2017-09-06,16260.2723225,3786.3744821,2647.9477677,4475.4586566,3825.6411864,1524.8502297
2017-09-07,16002.1085886,3745.2174236,2565.0498833,4454.7716388,3738.7160741,1498.3535688
2017-09-08,15626.646104,3621.5569715,2474.8625609,4455.607264,3604.019494,1470.5998136
2017-09-11,15358.4226263,3598.5777906,2373.0019397,4365.0499178,3582.4188446,1439.3741336
2017-09-12,15593.060819,3604.4837016,2411.8554595,4526.0692954,3642.1303936,1408.5219689
2017-09-13,15441.9734192,3615.7277306,2364.853042,4403.8284184,3634.4158854,1423.1483428
2017-09-14,15345.2429121,3506.2261374,2280.1678755,4563.821794,3571.3151471,1423.7119581
2017-09-15,14878.127266,3464.77464,2200.6090728,4362.4461898,3421.8256207,1428.4717427
2017-09-18,14783.5232768,3436.263923,2123.9939727,4338.185553,3471.7121372,1413.3676909
2017-09-19,14668.222206,3482.3247259,2124.473321,4188.330313,3498.4415957,1374.6522504
2017-09-20,14913.4148218,3442.1411084,2169.8585039,4261.9378818,3674.9364311,1364.5408966
2017-09-21,14896.3387354,3482.5990112,2117.102003,4356.1332588,3589.6057351,1350.8987273
2017-09-22,14572.7381719,3571.1686577,2067.9388224,4120.5744546,3508.1371306,1304.9191066
2017-09-25,14617.8374272,3549.4972543,2099.7726314,4170.7326012,3488.726363,1309.1085773
2017-09-26,14459.3072237,3522.7746487,2059.4450464,4084.0114344,3487.6900463,1305.3860479
2017-09-27,14472.9116492,3495.9297551,2013.2555018,4168.9988144,3486.5353895,1308.1921884
2017-09-28,13856.3847685,3289.2418537,1848.8042341,4013.2372134,3437.5754135,1267.5260538
2017-09-29,13167.4735395,3094.42058,1726.58133,3734.6650876,3363.133725,1248.6728169
2017-10-09,13453.7721159,3122.2093998,1791.9255542,3792.618988,3470.8097377,1276.2084362
2017-10-10,14060.9676608,3254.5549117,1856.6351613,4064.0024406,3588.3748327,1297.4003145
2017-10-11,14258.4982541,3298.7506966,1904.0902388,4049.3538356,3696.1725942,1310.1308889
2017-10-12,14758.4270115,3307.2866196,1909.853156,4380.4038448,3851.491469,1309.3919221
2017-10-13,14933.1353014,3388.7890491,1904.8916066,4430.2738788,3899.6428646,1309.5379023
2017-10-16,15139.4923555,3404.0301523,1930.7907742,4406.6925782,4050.3512759,1347.6275749
2017-10-17,14994.0482133,3447.2434727,1959.2794027,4313.9976974,3966.2306662,1307.2969743
2017-10-18,14927.1159798,3465.2783736,1934.7995269,4215.999952,4005.865505,1305.1726223
2017-10-19,14978.322236,3528.6198344,1879.8408631,4276.3738754,3994.9802251,1298.507438
2017-10-20,15237.4399731,3530.1691411,1920.5438238,4390.247445,4096.101989,1300.3775742
2017-10-23,15125.0882799,3585.2901008,1926.5757385,4349.605141,3965.6433518,1297.9739478
2017-10-24,15258.8914044,3581.9011639,1947.5628846,4287.8962908,4147.4770323,1294.0540328
2017-10-25,15237.5717741,3645.1962179,1905.9612577,4347.5949334,4063.2495067,1275.5698584
2017-10-26,15134.4792038,3613.3913137,1890.5277531,4238.5433686,4114.9834282,1277.0333402
2017-10-27,15134.0279745,3598.3235648,1878.1455276,4344.9892178,4016.125077,1296.4445873
2017-10-30,14929.8817858,3601.9766549,1876.9962822,4220.548841,3981.8915746,1248.4684331
2017-10-31,15072.8358684,3586.8368859,1860.3828966,4373.9760382,4027.522997,1224.1170507
2017-11-01,15020.8778102,3601.4573792,1882.8271662,4259.7510542,4068.3997143,1208.4424963
2017-11-02,15344.6193344,3637.7345299,1920.5125299,4471.3895502,4098.3705977,1216.6121267
2017-11-03,15188.748616,3626.7766898,1919.3646839,4245.325571,4173.4647422,1223.8169291
2017-11-06,15691.7257545,3629.8465642,2024.2197395,4559.5855502,4272.6907187,1205.3831819
2017-11-07,15490.1536958,3631.5801682,2050.9283495,4371.5440486,4230.4846913,1205.6164382
2017-11-08,15532.9779591,3684.5328859,2071.146783,4433.2584302,4139.337911,1204.701949
2017-11-09,15597.4374066,3717.1471787,2083.705477,4590.2620056,4022.3130101,1184.0097352
2017-11-10,15472.8623898,3694.6499925,2076.1889509,4532.5517378,3986.3280437,1183.1436649
2017-11-13,15772.5352802,3732.1329996,2202.7691506,4667.5845418,4022.8023864,1147.2462018
2017-11-14,15816.1521536,3759.5502644,2182.0633874,4531.4078226,4213.1855463,1129.9451329
2017-11-15,15146.5018328,3763.0687198,1961.5974053,4319.5503866,4002.0467659,1100.2385552
2017-11-16,14925.9905475,3761.95175,1952.7528553,4153.7673346,3990.708488,1066.8101196
2017-11-17,15032.6373496,3722.4383887,1993.8382945,4245.5241062,4013.8891557,1056.9474045
2017-11-20,15212.064151,3801.4340299,2009.1911139,4320.1510312,3979.637961,1101.650015
2017-11-21,15200.6101345,3816.4303739,2074.3528665,4284.0738952,3989.6569899,1036.096009
2017-11-22,15412.9547128,3851.3576995,2075.9676519,4471.1652446,3981.9804968,1032.48362
2017-11-23,15344.3450128,3788.6757894,2030.658452,4533.9169748,3957.8811242,1033.2126724
2017-11-24,15398.429107,3793.3576456,2053.1712891,4502.5000112,4015.2390614,1034.1610997
2017-11-27,15228.484286,3785.9956816,1965.5001795,4515.4617126,3936.4465279,1025.0801844
2017-11-28,15143.0079987,3755.7479451,1905.6605987,4495.3334236,3905.8827188,1080.3833125
2017-11-29,15351.0156916,3732.6951838,1925.9158703,4694.5294546,3923.4432172,1074.4319657
2017-11-30,15346.4828033,3600.0682272,1897.9395157,4920.090887,3915.9640196,1012.4201538
2017-12-01,15335.4516858,3582.6220985,2030.2795685,4826.13611,3886.3872838,1010.026625
2017-12-04,15666.8951742,3694.4240873,2102.3106491,5013.3219836,3832.7416307,1024.0968235
2017-12-05,15366.4117395,3634.8546326,2040.5637872,4843.5503604,3808.1310193,1039.31194
2017-12-06,15224.2759091,3721.3561723,2010.5789891,4672.2369488,3760.8483517,1059.2554472
2017-12-07,14519.8264832,3601.4836985,1870.723393,4165.4608288,3787.7127381,1094.4458248
2017-12-08,14582.6633386,3607.8610494,1884.5774041,4121.7949816,3844.0039788,1124.4259247
2017-12-11,14537.7305069,3523.3399764,1908.6780875,4169.8629854,3806.9606602,1128.8887974
2017-12-12,14432.1238629,3491.9140096,1955.8462974,4112.8404788,3724.3209866,1147.2020905
2017-12-13,14426.2541305,3421.3315924,1951.7070223,4148.7263352,3757.0697219,1147.4194587
2017-12-14,14160.1960097,3382.6649685,1903.5033114,4013.1692596,3718.2294982,1142.628972
2017-12-15,14005.9954106,3347.2266775,1899.6301169,3955.4870318,3686.8608749,1116.7907095
2017-12-18,14307.4726396,3344.8171402,1916.8413455,4234.944999,3692.9058067,1117.9633482
2017-12-19,14155.108955,3341.0314686,1930.434832,4101.6032684,3669.3672748,1112.6721112
2017-12-20,14154.8545329,3326.2303518,1951.3898809,4038.3505226,3734.2161078,1104.6676698
2017-12-21,14146.0297031,3307.5852601,1883.3824958,4078.905558,3769.3995176,1106.7568716
2017-12-22,14184.1086165,3282.8687385,1856.8893528,4143.6332924,3794.7639935,1105.9532393
2017-12-25,13914.1572808,3217.6860071,1805.5919878,3937.4509568,3850.3151389,1103.1131902
2017-12-26,13820.1658354,3200.0972998,1941.1942683,3677.2256652,3901.6965384,1099.9520637
2017-12-27,13832.8524037,3182.0512996,1908.8915782,3770.3453756,3893.1542981,1078.4098522
2017-12-28,13851.7215381,3144.3182266,1885.7878989,3634.6743184,4111.7952528,1075.1458414
2017-12-29,13649.25977,3083.9520499,1849.0727868,3659.9158008,4012.4948721,1043.8242604
2018-01-02,13775.4505955,3087.1494002,2056.146813,3558.9764506,3996.4214009,1076.7565308
2018-01-03,13841.5050496,3144.0874001,2036.4761423,3581.1937706,3966.3662402,1113.3814964
2018-01-04,14294.4805715,3140.5463886,2161.2119469,3846.8033884,4026.2116746,1119.707173
2018-01-05,14239.1219123,3161.171297,2144.7718872,3820.339756,3981.3505795,1131.4883926
2018-01-08,14478.4643766,3203.1652988,2256.9692545,4010.4570116,3875.9137203,1131.9590914
2018-01-09,14526.5416308,3228.4869414,2255.7821754,3904.247862,3975.8360771,1162.1885749
2018-01-10,14669.8467395,3253.6046927,2267.5060364,4024.621697,3926.6992891,1197.4150243
2018-01-11,14655.7076623,3272.9081814,2288.9461692,3895.322732,3986.4806222,1212.0499575
2018-01-12,14667.0935228,3352.6792026,2337.942142,3863.2944216,3882.5534544,1230.6243022
2018-01-15,14517.3348747,3313.8534654,2293.5334047,3826.2412414,3833.0290475,1250.6777157
2018-01-16,14185.3345952,3319.1091206,2201.4552747,3779.996037,3648.7122524,1236.0619105
2018-01-17,14023.1355365,3343.4309872,2113.9771203,3788.0348882,3561.0340549,1216.6584859
2018-01-18,14220.848248,3440.3897667,2147.3535856,3870.1124282,3551.0390686,1211.9533989
2018-01-19,14443.9053333,3438.5753314,2177.5555639,4072.083333,3540.1148817,1215.5762233
2018-01-22,14537.0060216,3476.2669094,2202.0065651,4038.587929,3599.9105958,1220.2340223
2018-01-23,14732.5114582,3536.4931079,2324.1120757,3977.461178,3641.5940798,1252.8510168
2018-01-24,14905.2616686,3520.7205186,2387.895725,3987.0773838,3722.0550866,1287.5129546
2018-01-25,15411.6881284,3544.4604015,2435.3758588,4165.6994276,3967.007698,1299.1447425
2018-01-26,15359.1322879,3576.707265,2460.9897033,4018.027722,4005.954076,1297.4535216
2018-01-29,15606.2825735,3631.2735435,2436.5568882,4051.0619816,4170.3170808,1317.0730794
2018-01-30,15276.9702309,3596.4835831,2391.6318108,3890.0447154,4073.9341466,1324.875975
2018-01-31,15122.8608284,3524.168193,2398.3140583,3891.9501826,3988.8710977,1319.5572968
2018-02-01,14994.1244783,3553.9104328,2331.2216407,3855.630165,3942.9429579,1310.4192819
2018-02-02,15170.6401289,3504.9650072,2322.081877,3977.7817322,4034.265818,1331.5456945
2018-02-05,15180.1843255,3495.4189764,2292.6695987,4039.51537,3995.5060723,1357.0743081
2018-02-06,14996.1532968,3474.0673,2218.7816569,3939.066698,3984.1294657,1380.1081762
2018-02-07,14982.4487884,3519.0272944,2215.9049406,3869.134925,3993.7582687,1384.6233597
2018-02-08,14833.7719225,3494.4558385,2161.829206,3863.0008144,3917.3092731,1397.1767905
2018-02-09,14482.3304121,3441.1768771,2089.2779015,3735.1718524,3818.4942449,1398.2095362
2018-02-12,14296.4977872,3455.7807567,2104.6223446,3485.259509,3835.6198488,1415.2153281
2018-02-13,13974.4136871,3342.1142839,2023.2831323,3339.5527644,3875.5168719,1393.9466346
2018-02-14,13702.7561357,3267.5266262,1983.4155161,3233.738137,3843.8301675,1374.2456889
2018-02-22,14001.6366945,3335.2061211,2024.7168033,3446.6756906,3812.2452835,1382.792796
2018-02-23,14881.4491721,3500.2912727,2091.654398,3827.3273954,4034.3375241,1427.8385819
2018-02-26,15348.8968776,3608.6917163,2188.4638043,3985.7333626,4095.0050608,1471.0029336
2018-02-27,15446.5078982,3603.3985098,2220.7633286,3990.4712716,4160.9364964,1470.9382918
2018-02-28,15472.0699881,3701.7908686,2211.8531229,3947.2435116,4132.4823761,1478.7001089
2018-03-01,15778.1232329,3798.7440072,2278.0276787,4080.12062,4126.8062482,1494.4246788
2018-03-02,15754.1729593,3907.0704729,2224.7786971,3977.9602536,4143.8207682,1500.5427675
2018-03-05,15757.3770542,3907.5079564,2252.4841583,3976.4722642,4122.2537174,1498.6589579
2018-03-06,15872.6778378,3994.9692249,2234.5456816,3921.5639518,4210.0807932,1511.5181863
2018-03-07,15989.4549448,4061.4489598,2257.169725,3989.9274158,4199.3253622,1481.583482
2018-03-08,15992.0822676,4025.2045243,2267.9246927,3993.382457,4195.2354133,1510.3351803
2018-03-09,15793.1347699,4009.0447077,2224.0168045,3919.8201248,4141.0960797,1499.1570532
2018-03-12,15793.1987315,3907.0210844,2247.2298193,3903.2273458,4246.5149465,1489.2055355
2018-03-13,15904.0308356,3926.5351711,2259.2857688,3940.5276388,4272.1998084,1505.4824485
2018-03-14,16048.7552953,3927.4732094,2235.5895517,4088.4597316,4294.3045222,1502.9282804
2018-03-15,15767.1034031,3941.0942387,2247.9761253,3904.8285048,4164.3487076,1508.8558267
2018-03-16,15972.6720066,4029.3126172,2305.5474705,3964.8504952,4139.371357,1533.5900667
2018-03-19,16169.360517,3996.9898304,2317.4477434,4136.559541,4162.1156067,1556.2477955
2018-03-20,16071.310738,3978.5067158,2322.5307125,4039.68454,4177.1782702,1553.4104995
2018-03-21,16238.3734637,4005.9230782,2289.7718823,4161.1693436,4220.5930459,1560.9161137
2018-03-22,16334.6005063,4040.8099678,2296.4799201,4160.11826,4277.2286183,1559.9637401
2018-03-23,15735.0141247,3941.7416576,2142.7308893,3868.1856438,4195.1585045,1587.1974295
2018-03-26,15500.7763518,3960.1584234,2112.1698595,3806.6834934,4053.9551556,1567.8094199
2018-03-27,15534.952582,3975.220095,2120.2218242,3816.275204,4064.2829748,1558.952484
