,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,天胶,PVC,豆粕,焦炭,玉米,PVC,焦煤,PVC,沪金,PVC,淀粉,沪铜,玻璃
1,焦炭,菜粕,菜粕,焦煤,塑料,棕榈油,沪铝,鸡蛋,玉米,豆一,动力煤,沪锌,热卷
2,沪镍,豆粕,焦炭,菜粕,焦煤,豆油,淀粉,天胶,豆油,豆油,沪铜,沪铝,沪铜
3,PVC,天胶,天胶,豆粕,沥青,天胶,螺纹钢,菜粕,铁矿石,动力煤,螺纹钢,焦炭,沪锌
4,沥青,棕榈油,沥青,沪镍,淀粉,沪镍,沪镍,玻璃,棕榈油,沪锌,棕榈油,热卷,菜粕
