,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,天胶,豆一,沪镍,豆粕,塑料,玻璃,沥青,沪镍,白糖,动力煤,动力煤,沪铜,玻璃
1,豆一,豆粕,豆一,菜粕,玉米,沥青,豆油,淀粉,焦煤,菜粕,白糖,螺纹钢,沪铜
2,沥青,沥青,热卷,沪镍,焦煤,棕榈油,沪铝,白糖,豆油,PVC,焦煤,沪锌,动力煤
3,玻璃,玻璃,沪铜,豆一,沥青,白糖,玻璃,沪锌,焦炭,玻璃,PTA,沪铝,菜粕
4,铁矿石,菜粕,沪锌,玻璃,淀粉,沪镍,鸡蛋,豆一,沪锌,豆一,豆油,PTA,鸡蛋
