,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,玉米,铁矿石,焦煤,天胶,鸡蛋,热卷,焦炭,棕榈油,鸡蛋,焦煤,鸡蛋,螺纹钢,豆一
1,棉花,天胶,豆粕,铁矿石,棉花,焦煤,塑料,焦煤,沪锌,鸡蛋,淀粉,沪锌,淀粉
2,淀粉,螺纹钢,棕榈油,焦煤,沪镍,棕榈油,沪锌,热卷,淀粉,沪金,沪镍,焦炭,螺纹钢
3,沪金,焦煤,豆油,焦炭,豆粕,铁矿石,PVC,鸡蛋,沪镍,塑料,沪锌,沪铜,沪锌
4,棕榈油,热卷,豆一,螺纹钢,菜粕,聚丙烯,热卷,聚丙烯,铁矿石,棉花,玉米,PTA,菜粕
