,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,白糖,沪金,天胶,天胶,豆一,甲醇,焦煤,玻璃,焦炭,菜粕,动力煤,豆粕,豆粕
1,棉花,聚丙烯,沥青,甲醇,沪镍,焦煤,聚丙烯,玉米,焦煤,沪金,淀粉,铁矿石,玉米
2,玉米,沪银,沪银,沪铝,玻璃,菜粕,焦炭,菜粕,甲醇,沪锌,沥青,天胶,PVC
3,PTA,甲醇,豆油,铁矿石,甲醇,沪锌,白糖,沪金,沪镍,螺纹钢,天胶,沪金,铁矿石
4,沪锌,动力煤,聚丙烯,豆一,铁矿石,沪金,棉花,鸡蛋,聚丙烯,白糖,豆油,沪镍,沪金
