,PP1501.DCE,PP1502.DCE,PP1503.DCE,PP1504.DCE,PP1505.DCE,PP1506.DCE,PP1507.DCE,PP1508.DCE,PP1509.DCE,PP1510.DCE,PP1511.DCE,PP1512.DCE,PP1601.DCE,PP1602.DCE,PP1603.DCE,PP1604.DCE,PP1605.DCE,PP1606.DCE,PP1607.DCE,PP1608.DCE,PP1609.DCE,PP1610.DCE,PP1611.DCE,PP1612.DCE,PP1701.DCE,PP1702.DCE,PP1703.DCE,PP1704.DCE,PP1705.DCE,PP1706.DCE,PP1707.DCE,PP1708.DCE,PP1709.DCE,PP1710.DCE,PP1711.DCE,PP1712.DCE,PP1801.DCE,PP1802.DCE,PP1803.DCE,PP1804.DCE,PP1805.DCE,PP1806.DCE,PP1807.DCE,PP1808.DCE,PP1809.DCE,PP1810.DCE,PP1811.DCE,PP1812.DCE,PP1901.DCE,PP1902.DCE,PP1903.DCE,PP1904.DCE
2015-01-05,9131.0,,8600.0,7958.0,7552.0,7230.0,,,7213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,8630.0,8517.0,,8000.0,7427.0,7333.0,7408.0,7343.0,7079.0,7182.0,7151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,8400.0,,,7868.0,7380.0,7303.0,,,7086.0,7070.0,7087.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,8250.0,,,7937.0,7388.0,7220.0,,,7132.0,,7169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,8108.0,,8500.0,7621.0,7150.0,7054.0,7143.0,7120.0,6895.0,6916.0,6949.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,7950.0,8135.0,8160.0,,7076.0,7013.0,7150.0,7117.0,6880.0,6823.0,6876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,7920.0,,7960.0,,7123.0,7174.0,7138.0,7045.0,6907.0,6985.0,6875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,7900.0,,7814.0,7541.0,7150.0,7168.0,7175.0,7080.0,6871.0,,6900.0,6838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,8000.0,,8006.0,7626.0,7235.0,7230.0,7248.0,,6933.0,6892.0,7019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,8130.0,,7982.0,7677.0,7203.0,7152.0,7193.0,7126.0,6890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,8526.0,,,7320.0,7341.0,,,7020.0,,7121.0,,6825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,8346.0,,7781.0,7252.0,,,,7008.0,,7075.0,,6862.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,8348.0,,,7252.0,,,,6990.0,,7061.0,,6860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,8555.0,,7742.0,7270.0,7320.0,,,7054.0,,,,6895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,,,,7286.0,,,,7064.0,7122.0,7019.0,,6891.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,8550.0,7800.0,,7152.0,7220.0,,,6926.0,,,,6786.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,8389.0,,,7189.0,7278.0,,,6956.0,6918.0,,,6818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,8054.0,7488.0,7606.0,7184.0,7186.0,,,6961.0,,,,6835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,7720.0,,7634.0,7253.0,7253.0,,,7018.0,,,,6893.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,7630.0,,7570.0,7193.0,,,7083.0,6977.0,,,,6876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,,7360.0,7450.0,,7319.0,7335.0,,7233.0,7092.0,,,,6998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,,,7748.0,,7435.0,,,,7194.0,,7299.0,,7080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,,8185.0,,,7641.0,7747.0,7780.0,,7420.0,,7534.0,,7340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,,,,,7555.0,,,,7338.0,,,,7250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,,,,7968.0,7693.0,7658.0,7811.0,,7481.0,,7386.0,,7380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-09,,8050.0,,7961.0,7718.0,,,,7562.0,7497.0,7534.0,,7463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-10,,8880.0,,,7720.0,7710.0,,,7580.0,,7385.0,,7506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,,,,,7727.0,7769.0,,,7564.0,,,7382.0,7470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,,,,,7751.0,7806.0,,,7572.0,7650.0,7562.0,,7481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-13,,,,8180.0,7900.0,7938.0,,7867.0,7682.0,,7760.0,,7600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-16,,,8494.0,8130.0,8060.0,8094.0,8153.0,8017.0,7823.0,7810.0,7830.0,,7730.0,7577.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-17,,,8514.0,8404.0,8120.0,8145.0,8115.0,8157.0,7814.0,,,,7725.0,7529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-25,,,,,8031.0,,8163.0,,7775.0,7881.0,7829.0,,7601.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
