,JR1501.CZC,JR1503.CZC,JR1505.CZC,JR1507.CZC,JR1509.CZC,JR1511.CZC,JR1601.CZC,JR1603.CZC,JR1605.CZC,JR607.CZC,JR609.CZC,JR611.CZC,JR701.CZC,JR703.CZC,JR705.CZC,JR707.CZC,JR709.CZC,JR711.CZC,JR801.CZC,JR803.CZC,JR805.CZC,JR807.CZC,JR809.CZC,JR811.CZC,JR901.CZC,JR903.CZC
2016-12-15,,,,,,,,,,,,,,,,,,3400.0,,,,,,,,
2016-12-16,,,,,,,,,,,,,,,3488.0,,,,,,,,,,,
2016-12-19,,,,,,,,,,,,,,,3444.0,,,3340.0,,,,,,,,
2016-12-20,,,,,,,,,,,,,,,3458.0,,,3269.0,,,,,,,,
2016-12-21,,,,,,,,,,,,,,,3458.0,,,,,,,,,,,
2016-12-23,,,,,,,,,,,,,,,3487.0,,,,,,,,,,,
2017-01-12,,,,,,,,,,,,,,,3338.0,,,3280.0,,,,,,,,
2017-01-13,,,,,,,,,,,,,,,3264.0,,,,,,,,,,,
2017-01-16,,,,,,,,,,,,,,,3244.0,,,3167.0,,,,,,,,
2017-01-17,,,,,,,,,,,,,,,,,,3202.0,,,,,,,,
2017-01-18,,,,,,,,,,,,,,,3306.0,,,,,,,,,,,
2017-02-03,,,,,,,,,,,,,,,,,2990.0,,,,,,,,,
2017-02-08,,,,,,,,,,,,,,,3167.0,,,,,,,,,,,
2017-02-10,,,,,,,,,,,,,,,3373.0,,,,2911.0,,,,,,,
2017-02-13,,,,,,,,,,,,,,,,,,,3028.0,,,,,,,
2017-02-28,,,,,,,,,,,,,,,3287.0,,,,,,,,,,,
2017-03-01,,,,,,,,,,,,,,,3279.0,,,,,,,,,,,
2017-03-03,,,,,,,,,,,,,,,3161.0,,,,,,,,,,,
2017-03-06,,,,,,,,,,,,,,,,,,3190.0,,,,,,,,
2017-03-07,,,,,,,,,,,,,,,,,,3192.0,,,,,,,,
2017-03-08,,,,,,,,,,,,,,,,,,3066.0,,,,,,,,
2017-03-09,,,,,,,,,,,,,,,,,,3036.0,,,,,,,,
2017-03-16,,,,,,,,,,,,,,,,,,3145.0,,,,,,,,
2017-03-20,,,,,,,,,,,,,,,,,,3101.0,,,,,,,,
2017-03-21,,,,,,,,,,,,,,,,,,3144.0,,,,,,,,
2017-03-23,,,,,,,,,,,,,,,,,,3180.0,3140.0,,,,,,,
2017-03-29,,,,,,,,,,,,,,,,,,3154.0,,,,,,,,
2017-03-30,,,,,,,,,,,,,,,,,,3185.0,,,,,,,,
2017-05-11,,,,,,,,,,,,,,,,,,,3075.0,,,,,,,
2017-05-16,,,,,,,,,,,,,,,,,,3211.0,,,,,,,,
2017-07-13,,,,,,,,,,,,,,,,,,3302.0,,,,,,,,
2017-07-14,,,,,,,,,,,,,,,,,,3290.0,,,,,,,,
2017-07-20,,,,,,,,,,,,,,,,,,3276.0,,,,,,,,
2017-07-24,,,,,,,,,,,,,,,,,,3217.0,,,,,,,,
2017-08-01,,,,,,,,,,,,,,,,,,3127.0,,,,,,,,
2017-08-02,,,,,,,,,,,,,,,,,,3217.0,,,,,,,,
2017-08-03,,,,,,,,,,,,,,,,,,3201.0,,,,,,,,
2017-08-04,,,,,,,,,,,,,,,,,3112.0,3240.0,3147.0,,,,,,,
2017-08-30,,,,,,,,,,,,,,,,,,3260.0,,,,,,,,
2017-09-20,,,,,,,,,,,,,,,,,,,,,3183.0,,3073.0,,,
2017-09-21,,,,,,,,,,,,,,,,,,,,,3208.0,,,,,
2017-09-22,,,,,,,,,,,,,,,,,,,,,,,3286.0,,,
2017-09-26,,,,,,,,,,,,,,,,,,,,,3287.0,,,,,
2017-10-13,,,,,,,,,,,,,,,,,,,,,,2939.0,,,,
2017-10-18,,,,,,,,,,,,,,,,,,,,2913.0,,3101.0,,,,
2017-10-19,,,,,,,,,,,,,,,,,,,,,,3092.0,,,,
2017-10-26,,,,,,,,,,,,,,,,,,,,,,3201.0,,,,
2017-10-27,,,,,,,,,,,,,,,,,,,,,,3228.0,,,,
2017-10-30,,,,,,,,,,,,,,,,,,,,,,3296.0,,,,
2017-10-31,,,,,,,,,,,,,,,,,,,,,,3256.0,,,,
2017-11-08,,,,,,,,,,,,,,,,,,,,,,3160.0,,,,
2017-11-15,,,,,,,,,,,,,,,,,,,,,,3235.0,,,,
2017-11-17,,,,,,,,,,,,,,,,,,,,,,3222.0,,,,
