,T1509.CFE,T1512.CFE,T1603.CFE,T1606.CFE,T1609.CFE,T1612.CFE,T1703.CFE,T1706.CFE,T1709.CFE,T1712.CFE,T1803.CFE,T1806.CFE,T1809.CFE,T1812.CFE
2015-03-20,96.53,97.13,97.35,,,,,,,,,,,
2015-03-23,96.84,,97.1,,,,,,,,,,,
2015-03-24,96.875,,97.58,,,,,,,,,,,
2015-03-25,96.76,97.045,,,,,,,,,,,,
2015-03-26,96.37,97.0,,,,,,,,,,,,
2015-03-27,95.98,96.835,96.98,,,,,,,,,,,
2015-03-30,96.0,96.675,97.0,,,,,,,,,,,
2015-03-31,95.565,95.715,,,,,,,,,,,,
2015-04-01,95.655,,,,,,,,,,,,,
2015-04-02,96.2,96.695,,,,,,,,,,,,
2015-04-03,96.005,,,,,,,,,,,,,
2015-04-07,95.8,96.395,96.755,,,,,,,,,,,
2015-04-08,95.13,95.24,96.18,,,,,,,,,,,
2015-04-09,95.195,95.6,96.05,,,,,,,,,,,
2015-04-10,95.17,,,,,,,,,,,,,
2015-04-13,95.18,95.8,96.38,,,,,,,,,,,
2015-04-14,95.53,96.3,96.7,,,,,,,,,,,
2015-04-15,95.775,96.4,96.88,,,,,,,,,,,
2015-04-16,95.86,,,,,,,,,,,,,
2015-04-17,96.05,96.8,,,,,,,,,,,,
2015-04-20,96.67,97.265,97.4,,,,,,,,,,,
2015-04-21,97.26,97.8,,,,,,,,,,,,
2015-04-22,97.31,97.75,97.945,,,,,,,,,,,
2015-04-23,96.945,97.45,97.7,,,,,,,,,,,
2015-04-24,96.82,97.35,97.35,,,,,,,,,,,
2015-04-27,97.08,97.255,98.205,,,,,,,,,,,
2015-04-28,97.58,98.005,98.25,,,,,,,,,,,
2015-04-29,97.52,98.09,,,,,,,,,,,,
2015-04-30,97.695,97.94,98.135,,,,,,,,,,,
2015-05-04,97.54,98.005,,,,,,,,,,,,
2015-05-05,97.485,,98.095,,,,,,,,,,,
2015-05-06,97.065,97.48,97.825,,,,,,,,,,,
2015-05-07,97.095,97.375,97.995,,,,,,,,,,,
2015-05-08,97.29,97.905,,,,,,,,,,,,
2015-05-11,96.5,97.505,98.1,,,,,,,,,,,
2015-05-12,96.88,97.45,97.815,,,,,,,,,,,
2015-05-13,96.965,97.6,97.83,,,,,,,,,,,
2015-05-14,97.005,97.77,,,,,,,,,,,,
2015-05-15,97.125,97.645,,,,,,,,,,,,
2015-05-18,96.675,97.23,97.65,,,,,,,,,,,
2015-05-19,96.475,97.1,97.545,,,,,,,,,,,
2015-05-20,96.55,97.2,97.75,,,,,,,,,,,
2015-05-21,96.47,97.125,,,,,,,,,,,,
2015-05-22,96.67,97.235,,,,,,,,,,,,
2015-05-25,96.465,97.05,,,,,,,,,,,,
2015-05-26,95.21,95.95,96.915,,,,,,,,,,,
