,ZN1501.SHF,ZN1502.SHF,ZN1503.SHF,ZN1504.SHF,ZN1505.SHF,ZN1506.SHF,ZN1507.SHF,ZN1508.SHF,ZN1509.SHF,ZN1510.SHF,ZN1511.SHF,ZN1512.SHF,ZN1601.SHF,ZN1602.SHF,ZN1603.SHF,ZN1604.SHF,ZN1605.SHF,ZN1606.SHF,ZN1607.SHF,ZN1608.SHF,ZN1609.SHF,ZN1610.SHF,ZN1611.SHF,ZN1612.SHF,ZN1701.SHF,ZN1702.SHF,ZN1703.SHF,ZN1704.SHF,ZN1705.SHF,ZN1706.SHF,ZN1707.SHF,ZN1708.SHF,ZN1709.SHF,ZN1710.SHF,ZN1711.SHF,ZN1712.SHF,ZN1801.SHF,ZN1802.SHF,ZN1803.SHF,ZN1804.SHF,ZN1805.SHF,ZN1806.SHF,ZN1807.SHF,ZN1808.SHF,ZN1809.SHF,ZN1810.SHF,ZN1811.SHF,ZN1812.SHF,ZN1901.SHF,ZN1902.SHF,ZN1903.SHF,ZN1904.SHF
2015-01-05,16725.0,16650.0,16625.0,16605.0,16595.0,16585.0,16630.0,16620.0,16710.0,16640.0,16695.0,16760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,16640.0,16525.0,16500.0,16480.0,16480.0,16510.0,16615.0,16555.0,16720.0,,16605.0,16705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,16745.0,16645.0,16590.0,16570.0,16550.0,16560.0,16570.0,16570.0,16595.0,16630.0,16620.0,16660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,16575.0,16500.0,16420.0,16375.0,16330.0,16360.0,16350.0,16300.0,16445.0,16415.0,16450.0,16480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,16565.0,16470.0,16410.0,16385.0,16365.0,16360.0,16380.0,16365.0,16385.0,16400.0,16430.0,16440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,16535.0,16435.0,16375.0,16350.0,16330.0,16320.0,16330.0,16355.0,16330.0,16400.0,16405.0,16530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,16410.0,16320.0,16250.0,16200.0,16180.0,16165.0,16160.0,16180.0,16170.0,16200.0,16170.0,16235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,15900.0,15660.0,15550.0,15500.0,15490.0,15475.0,15440.0,15510.0,15500.0,15500.0,15525.0,15530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,15850.0,15770.0,15680.0,15650.0,15625.0,15625.0,15660.0,15645.0,15640.0,15635.0,15650.0,15555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,15825.0,15740.0,15705.0,15695.0,15690.0,15705.0,15670.0,15770.0,15735.0,15730.0,15760.0,15705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,15880.0,15800.0,15770.0,15755.0,15810.0,15880.0,15845.0,15865.0,15860.0,15855.0,15870.0,15915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,16015.0,15920.0,15885.0,15870.0,15850.0,15935.0,15900.0,15925.0,15995.0,15980.0,15965.0,15995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,16160.0,16055.0,16005.0,15985.0,15985.0,16005.0,15970.0,16000.0,16050.0,16055.0,16110.0,16090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,16200.0,16110.0,16050.0,16005.0,15995.0,16070.0,16010.0,16035.0,16045.0,16065.0,16100.0,16365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,16290.0,16200.0,16170.0,16145.0,16125.0,16120.0,16210.0,16280.0,16115.0,16220.0,16280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,16015.0,15915.0,15875.0,15850.0,15840.0,15815.0,15900.0,15900.0,15900.0,15925.0,16040.0,16155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,16215.0,16140.0,16110.0,16070.0,16040.0,16150.0,16145.0,16140.0,16105.0,16170.0,16180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,16330.0,16245.0,16195.0,16155.0,16130.0,16170.0,16190.0,16215.0,16230.0,16240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,16220.0,16135.0,16070.0,16040.0,16030.0,16070.0,16095.0,16100.0,16130.0,16115.0,,16190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,16130.0,16055.0,16000.0,15965.0,15950.0,15945.0,15955.0,16000.0,15985.0,16020.0,16050.0,16105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,,16280.0,16155.0,16095.0,15950.0,16035.0,16045.0,16055.0,16080.0,16200.0,16115.0,16175.0,16190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,,16200.0,16205.0,16145.0,16115.0,16090.0,16100.0,16090.0,16140.0,16165.0,16155.0,16235.0,16220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,,16320.0,16315.0,16290.0,16285.0,16265.0,16280.0,16255.0,16270.0,16290.0,16275.0,16345.0,16365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,,16260.0,16255.0,16235.0,16225.0,16200.0,16215.0,16210.0,16220.0,16255.0,16235.0,16265.0,16330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,,16280.0,16205.0,16195.0,16205.0,16190.0,16230.0,16210.0,16215.0,16230.0,16190.0,16265.0,16295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-09,,16310.0,16300.0,16310.0,16310.0,16295.0,16310.0,16300.0,16355.0,16350.0,16330.0,16370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-10,,16325.0,16320.0,16325.0,16335.0,16335.0,16365.0,16360.0,,16350.0,,16385.0,16400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,,,16175.0,16160.0,16170.0,16170.0,15555.0,16160.0,16190.0,16260.0,16220.0,16240.0,16250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,,,16135.0,16115.0,16115.0,16115.0,16115.0,16120.0,16180.0,16175.0,16145.0,16205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-13,,,16255.0,16265.0,16260.0,16245.0,16240.0,16235.0,,16255.0,16330.0,16340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
