,CY801.CZC,CY802.CZC,CY803.CZC,CY804.CZC,CY805.CZC,CY806.CZC,CY807.CZC,CY808.CZC,CY809.CZC,CY810.CZC,CY811.CZC,CY812.CZC,CY901.CZC,CY902.CZC,CY903.CZC,CY904.CZC
2017-08-18,22900.0,22780.0,,,22850.0,,,,,,,,,,,
2017-08-21,22910.0,22945.0,,,22775.0,,,,,,,,,,,
2017-08-22,22985.0,22375.0,,,22885.0,,,,,,,,,,,
2017-08-23,23045.0,,,,22915.0,,,,,,,,,,,
2017-08-24,23010.0,,,,22900.0,,,,,,,,,,,
2017-08-25,23030.0,,,,22805.0,,,,,,,,,,,
2017-08-28,23000.0,,23330.0,,22900.0,,,,,,,,,,,
2017-08-29,23035.0,,22695.0,,22930.0,,,,,,,,,,,
2017-08-30,23005.0,,,,22900.0,,,,,,,,,,,
2017-08-31,23020.0,,,,22900.0,,,,,,,,,,,
2017-09-01,23020.0,,,,22750.0,,,,,,,,,,,
2017-09-04,23040.0,,,,22945.0,,,,,,,,,,,
2017-09-05,23300.0,,,,23110.0,,,,,,,,,,,
2017-09-06,23330.0,,,,23215.0,,,,,,,,,,,
2017-09-07,23215.0,,,,23115.0,,,,,,,,,,,
2017-09-08,23020.0,,,,23100.0,,,,,,,,,,,
2017-09-11,22530.0,23165.0,,,23225.0,,,,,,,,,,,
2017-09-12,23130.0,,,,23340.0,,,,,,,,,,,
2017-09-13,23050.0,,,,23180.0,,,,,,,,,,,
2017-09-14,23080.0,,,,23110.0,,,,,,,,,,,
2017-09-15,23020.0,,,,23035.0,,,,,,,,,,,
2017-09-18,22880.0,,,,23035.0,,,,,,,,,,,
2017-09-19,23035.0,,,,23085.0,,,,,,,,,,,
2017-09-20,23070.0,,,,23125.0,,,,,,,,,,,
2017-09-21,23210.0,23135.0,22740.0,21115.0,23235.0,,,,,,,,,,,
2017-09-22,23125.0,23265.0,23515.0,,23160.0,,,,,,,,,,,
2017-09-25,23135.0,,,,23200.0,,,,,,,,,,,
2017-09-26,23205.0,,,,23255.0,,,,,,,,,,,
2017-09-27,23085.0,23225.0,,,23125.0,,,,,,,,,,,
2017-09-28,22860.0,,,,22895.0,22300.0,,,,,,,,,,
2017-09-29,22845.0,,,23680.0,22870.0,,,,,,,,,,,
2017-10-09,22860.0,,,,22850.0,,,,,,,,,,,
2017-10-10,22920.0,,,,22740.0,,,,,,,,,,,
2017-10-11,22900.0,,,23200.0,22805.0,,,,,,,,,,,
2017-10-12,22860.0,,,,22805.0,,,,,,,,,,,
2017-10-13,22910.0,,,,,,,,,,,,,,,
2017-10-16,22925.0,,,,22860.0,,,,,,,,,,,
2017-10-17,22990.0,,,,,,,,,,,,,,,
2017-10-18,22990.0,,,,22880.0,,,,,,,,,,,
2017-10-19,22840.0,,,,22800.0,,,,,,,,,,,
2017-10-20,22805.0,,,,22570.0,,,,,,,,,,,
2017-10-23,22775.0,,,,22700.0,,,,,,,,,,,
2017-10-24,22895.0,,,,,,,,,21970.0,,,,,,
2017-10-25,22900.0,,,,22885.0,,,,,22950.0,,,,,,
2017-10-26,22900.0,,,,22755.0,,,,,22950.0,,,,,,
2017-10-27,22840.0,,,,22830.0,,,,,,,,,,,
2017-10-30,22825.0,,,,22725.0,,,,,,,,,,,
2017-10-31,22860.0,,,,,,,,,,,,,,,
2017-11-01,22880.0,,,,22890.0,,,,,,,,,,,
2017-11-02,22890.0,,,,,,,,,,,,,,,
2017-11-03,22970.0,,,,22880.0,,,,,,,,,,,
2017-11-06,23025.0,,,,22940.0,,,,,,,,,,,
2017-11-07,23045.0,,,,22945.0,,,,,,,,,,,
2017-11-08,23040.0,,23020.0,,,,,,,,,,,,,
2017-11-09,23005.0,,,,22980.0,,,,,,,,,,,
2017-11-10,23035.0,,,,22925.0,,,,,,,,,,,
2017-11-13,22905.0,,,,22960.0,,,,,22935.0,,,,,,
2017-11-14,23075.0,,,,22995.0,,,,,,,,,,,
2017-11-15,22970.0,,,,23010.0,,,,,,,,,,,
2017-11-16,22965.0,,,,,,,,,,,,,,,
2017-11-17,23005.0,,,,,,,,,,,,,,,
2017-11-20,22925.0,,,,,,,,,,,,,,,
2017-11-21,22905.0,,,,22875.0,,,,,,,,,,,
2017-11-22,22880.0,,,,22860.0,,,,,,,,,,,
2017-11-23,22880.0,,,,22920.0,,,,,,,,,,,
2017-11-24,22840.0,,,,22970.0,,,,,,,,,,,
2017-11-27,22910.0,,,,22795.0,,,,,,,,,,,
2017-11-28,22920.0,,,,22970.0,,,,,,,,,,,
2017-11-29,23085.0,,,,23100.0,,,,,,,,,,,
2017-11-30,23100.0,,,,23080.0,,,,23790.0,,,,,,,
2017-12-01,23080.0,,,,23100.0,,,,23005.0,,,,,,,
2017-12-04,23130.0,,,,23200.0,,,,23390.0,,,,,,,
2017-12-05,23105.0,,,,,,,,23435.0,,,,,,,
2017-12-06,23110.0,,,,23105.0,,,,23410.0,,,,,,,
2017-12-07,23095.0,,,,23120.0,,,,23485.0,,,,,,,
2017-12-08,23075.0,,,,23105.0,,,,23350.0,,,,,,,
2017-12-11,23035.0,,,,23100.0,,,,23450.0,,,,,,,
2017-12-12,23090.0,,,,23095.0,,,,,,,,,,,
2017-12-13,23125.0,,,,23090.0,,,,23495.0,,,,,,,
2017-12-14,23345.0,,,,23035.0,,,,23120.0,,,,,,,
2017-12-15,23170.0,,,,23045.0,,,,,,,,,,,
2017-12-18,23130.0,,,,23195.0,,,,23355.0,,,,,,,
2017-12-19,23150.0,22805.0,,,23135.0,,,,,,,,,,,
2017-12-20,23065.0,,,,23030.0,,,,,,,,,,,
2017-12-21,23190.0,,,,23030.0,,,,,,,,,,,
2017-12-22,22445.0,,,,23015.0,,,,23230.0,,,,,,,
2017-12-25,23065.0,,,,23055.0,,,,,,,,,,,
2017-12-26,22855.0,,,,23055.0,,,,22995.0,,,,,,,
2017-12-27,22850.0,,,,22900.0,,,,,,,,,,,
2017-12-28,22890.0,,,,23065.0,,,,23235.0,,,,,,,
2017-12-29,22450.0,,,,23100.0,,,,23235.0,,,,,,,
2018-01-02,22800.0,,22600.0,,22800.0,,,,,,,,,,,
2018-01-03,,,,,23000.0,,,,23305.0,,23640.0,,,,,
2018-01-04,,,,,23010.0,,,,,,23195.0,,,,,
2018-01-05,22800.0,,,,22950.0,,,,,,,,,,,
2018-01-08,,,,,23015.0,,,,,,,,,,,
2018-01-09,,,,,23070.0,,,,23125.0,,,,,,,
2018-01-10,,,,,23075.0,,,,23220.0,,,,,,,
2018-01-12,,,,,23065.0,,,,23095.0,,,,,,,
2018-01-15,,,,,23030.0,,,,,,,,,,,
2018-01-16,,,,,23030.0,,,,,,,,,,,
2018-01-17,,,,,23065.0,,,,22900.0,,,,,,,
2018-01-18,,,,,23040.0,,,,,,,,,,,
2018-01-19,,,,,23220.0,,,,,,,,,,,
2018-01-22,,,,,23220.0,,,,,,,,,,,
2018-01-23,,,,,23245.0,,,,,,,,,,,
2018-01-24,,,,,23400.0,,,23790.0,23000.0,,24270.0,22500.0,,,,
2018-01-25,,,,,23345.0,,,,,,,,21660.0,,,
2018-01-26,,,,,23410.0,,,,23250.0,,,,22985.0,,,
2018-01-29,,,,,23320.0,,,,,,,,,,,
2018-01-30,,,,,23260.0,,,,22915.0,,,,,,,
2018-01-31,,,,,23330.0,,,,22265.0,,,,,,,
