,RS1507.CZC,RS1508.CZC,RS1509.CZC,RS1511.CZC,RS607.CZC,RS608.CZC,RS609.CZC,RS611.CZC,RS707.CZC,RS708.CZC,RS709.CZC,RS711.CZC,RS807.CZC,RS808.CZC,RS809.CZC,RS811.CZC
2015-01-05,4466.0,,4435.0,,,,,,,,,,,,,
2015-01-06,,,4321.0,,,,,,,,,,,,,
2015-01-07,,,4400.0,,,,,,,,,,,,,
2015-01-09,4450.0,,,,,,,,,,,,,,,
2015-01-12,,,4499.0,,,,,,,,,,,,,
2015-01-13,4499.0,,,,,,,,,,,,,,,
2015-01-15,4430.0,,4560.0,,,,,,,,,,,,,
2015-01-16,4500.0,,,,,,,,,,,,,,,
2015-01-19,4455.0,,,,,,,,,,,,,,,
2015-01-20,4501.0,,,,,,,,,,,,,,,
2015-01-21,4510.0,,,,,,,,,,,,,,,
2015-01-22,4479.0,,,,,,,,,,,,,,,
2015-01-27,4502.0,,,,,,,,,,,,,,,
2015-01-29,,,4420.0,,,,,,,,,,,,,
2015-02-03,4380.0,,4415.0,,,,,,,,,,,,,
2015-02-04,4310.0,,4380.0,,,,,,,,,,,,,
2015-02-05,,,4400.0,,,,,,,,,,,,,
2015-02-06,4301.0,,4430.0,,,,,,,,,,,,,
2015-02-09,4553.0,,,,,,,,,,,,,,,
2015-02-10,4486.0,,,,,,,,,,,,,,,
2015-02-11,,,4461.0,,,,,,,,,,,,,
2015-02-12,4600.0,,,,,,,,,,,,,,,
2015-02-13,4600.0,,4580.0,,,,,,,,,,,,,
2015-02-16,4721.0,,,,,,,,,,,,,,,
2015-02-17,4741.0,,,,,,,,,,,,,,,
2015-02-26,,,4546.0,,,,,,,,,,,,,
2015-02-27,4701.0,,4688.0,,,,,,,,,,,,,
2015-03-02,,,4850.0,4800.0,,,,,,,,,,,,
2015-03-05,4709.0,,4927.0,,,,,,,,,,,,,
2015-03-06,,,4851.0,,,,,,,,,,,,,
2015-03-09,,,4666.0,,,,,,,,,,,,,
2015-03-12,4880.0,,,,,,,,,,,,,,,
2015-03-13,4850.0,,,,,,,,,,,,,,,
2015-03-16,4902.0,,,,,,,,,,,,,,,
2015-03-17,4707.0,,,,,,,,,,,,,,,
2015-03-20,4670.0,,,,,,,,,,,,,,,
