,IC1505.CFE,IC1506.CFE,IC1507.CFE,IC1508.CFE,IC1509.CFE,IC1510.CFE,IC1511.CFE,IC1512.CFE,IC1601.CFE,IC1602.CFE,IC1603.CFE,IC1604.CFE,IC1605.CFE,IC1606.CFE,IC1607.CFE,IC1608.CFE,IC1609.CFE,IC1610.CFE,IC1611.CFE,IC1612.CFE,IC1701.CFE,IC1702.CFE,IC1703.CFE,IC1704.CFE,IC1705.CFE,IC1706.CFE,IC1707.CFE,IC1708.CFE,IC1709.CFE,IC1710.CFE,IC1711.CFE,IC1712.CFE,IC1801.CFE,IC1802.CFE,IC1803.CFE,IC1804.CFE,IC1805.CFE,IC1806.CFE,IC1809.CFE,IC1812.CFE
2015-04-16,7480.2,7464.4,,,7516.2,,,7525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,7631.2,7585.4,,,7569.6,,,7527.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20,7582.0,7475.4,,,7419.0,,,7302.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,7640.2,7530.2,,,7471.0,,,7414.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,8104.4,8041.2,,,7962.6,,,7900.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,8160.4,8096.8,,,7984.4,,,7918.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,8123.8,8035.4,,,7948.2,,,7862.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,8292.0,8220.4,,,8140.0,,,8026.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,8011.6,7940.6,,,7881.8,,,7777.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,8079.0,7997.0,,,7933.8,,,7825.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,8291.2,8204.6,,,8122.2,,,8020.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,8202.4,8112.4,,,8025.8,,,7919.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,8090.0,7970.4,,,7892.2,,,7780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,7970.0,7858.8,,,7774.6,,,7601.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,7901.0,7811.0,,,7715.0,,,7610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,7921.0,7854.0,,,7755.6,,,7644.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-11,8144.0,8041.4,,,7926.0,,,7854.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-12,8415.4,8311.0,,,8152.0,,,8042.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-13,8492.0,8400.0,,,8207.4,,,8100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-14,8645.2,8477.6,,,8255.0,,,8100.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15,8605.4,8482.0,,,8266.0,,,8101.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-18,,8580.0,8485.0,,8346.4,,,8222.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-19,,8736.2,8643.0,,8498.0,,,8350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-20,,9111.2,9003.2,,8963.8,,,8826.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-21,,9301.0,9236.6,,9192.8,,,9042.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-22,,9525.0,9470.0,,9400.0,,,9250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-25,,9455.4,9411.6,,9316.8,,,9151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-26,,9986.2,9919.0,,9808.0,,,9649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-27,,10366.0,10362.0,,10304.0,,,10085.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-28,,9818.0,9958.2,,9900.0,,,9750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29,,9901.0,10010.0,,9920.0,,,9700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,,10168.0,10228.0,,10260.0,,,10063.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-02,,10830.0,10894.2,,11002.2,,,10906.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-03,,10809.0,10860.0,,10966.6,,,10851.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-04,,10030.0,10125.6,,10171.8,,,10059.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05,,10540.0,10555.4,,10540.0,,,10350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-08,,10384.2,10356.6,,10270.2,,,10025.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
