,AP805.CZC,AP807.CZC,AP810.CZC,AP811.CZC,AP812.CZC,AP901.CZC,AP903.CZC
2017-12-22,7915.0,7916.0,7215.0,7198.0,7236.0,,
2017-12-25,8060.0,7755.0,7044.0,7074.0,7122.0,,
2017-12-26,8079.0,7772.0,6984.0,6962.0,7008.0,,
2017-12-27,8067.0,7875.0,7064.0,7019.0,7053.0,,
2017-12-28,8088.0,7924.0,7102.0,7047.0,7079.0,,
2017-12-29,8078.0,8010.0,7137.0,7111.0,7147.0,,
2018-01-02,8086.0,8016.0,7163.0,7151.0,7179.0,,
2018-01-03,8088.0,8018.0,7155.0,7130.0,7166.0,,
2018-01-04,8076.0,8022.0,7161.0,7145.0,7177.0,,
2018-01-05,8082.0,8030.0,7175.0,7176.0,7205.0,,
2018-01-08,8080.0,8010.0,7172.0,7163.0,7195.0,,
2018-01-09,7933.0,7851.0,7134.0,7133.0,7171.0,,
2018-01-10,7933.0,7858.0,7131.0,7131.0,7170.0,,
2018-01-11,7854.0,7769.0,7102.0,7084.0,7130.0,,
2018-01-12,7784.0,7712.0,7070.0,6981.0,7099.0,,
2018-01-15,7758.0,7690.0,7070.0,7035.0,7088.0,,
2018-01-16,7711.0,7641.0,7050.0,7018.0,7069.0,7170.0,
2018-01-17,7658.0,7590.0,6970.0,6988.0,7033.0,7123.0,
2018-01-18,7666.0,7596.0,6981.0,7002.0,7060.0,7121.0,
2018-01-19,7641.0,7620.0,6961.0,7013.0,7050.0,7110.0,
2018-01-22,7667.0,7662.0,7001.0,7047.0,7091.0,7096.0,
2018-01-23,7681.0,7700.0,6996.0,7036.0,7069.0,7119.0,
2018-01-24,7664.0,7675.0,7001.0,7033.0,7059.0,7119.0,
2018-01-25,7657.0,7661.0,6993.0,7027.0,7058.0,7109.0,
2018-01-26,7660.0,7654.0,6990.0,7023.0,7054.0,7118.0,
2018-01-29,7554.0,7580.0,6931.0,6965.0,7001.0,7050.0,
2018-01-30,7510.0,7509.0,6925.0,6944.0,6986.0,7029.0,
2018-01-31,7461.0,7476.0,6896.0,6906.0,6950.0,7008.0,
2018-02-01,7434.0,7372.0,6900.0,6929.0,,7039.0,
2018-02-02,7367.0,7325.0,6880.0,6871.0,6941.0,7000.0,
2018-02-05,7321.0,7280.0,6853.0,6860.0,6908.0,6958.0,
