,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel
RU,long_1,null,bottom deviate,16.7%,-0.01566689782709196,-0.015846047156726769,h>h60,h5>h60,76%,long_1
FG,long_1,null,null,-3.2%,-0.08216700473292772,-0.026819923371647562,h>h60,h5>h60,75%,long_1
I,long_1,null,bottom deviate,3.2%,-0.068621885840428859,-0.050047303689687773,h>h60,h5>h60,75%,long_1
NI,long_1,null,null,-0.4%,-0.034096194503171244,-0.049186046511627904,h>h60,h5>h60,69%,long_1
ZN,long_1,2_long,bottom deviate,-0.9%,-0.032117678065493885,-0.0008466758911511318,h>h60,h5>h60,69%,long_1
CU,long_1,null,bottom deviate,0.4%,-0.0077781947832613997,-0.020153875023456558,h>h60,h5>h60,67%,long_1
PP,long_1,null,null,-0.0%,-0.04078942613472103,-0.018777103209020027,h>h60,h5>h60|today,67%,long_2
MA,long_1,null,bottom deviate,-15.1%,-0.035076660988074895,-0.014480408858603067,h>h60,h5>h60,50%,long_1
ZC,long_1,null,null,-9.9%,-0.099348508634222871,-0.073793825222396289,h>h60,h5>h60,50%,long_1
JM,long_1,null,null,-4.3%,-0.11796686018384137,-0.068831640058055088,h>h60,h5>h60,25%,long_1
CS,long_1,null,bottom deviate,-3.0%,-0.020196813495782524,-0.015651358950328063,h>h60,h5>h60,0%,long_1
RM,long_2,null,null,0.4%,-0.032308186883840552,0.0026360908701243426,h<h60,h5<h60|today,50%,long_2
J,long_2,2_long,bottom deviate,-9.0%,-0.033940397350993377,-0.0043282876064333446,h>h60,h5>h60,33%,long_2
IH,long_2,2_long,null,null,-0.051437268755618847,-0.0042360277876501359,h>h60,h5>h60|today,0%,null
SF,long_2,2_long,null,null,-0.051437268755618847,-0.0042360277876501359,h>h60,h5>h60|today,0%,null
L,null,null,null,-1.2%,-0.0043827800829875519,-0.0063105117565699104,h>h60,h5>h60|today,80%,short_1
IC,null,2_short,null,0.3%,0.016499834869130404,0.00096686311637962251,h>h60,h5>h60|today,57%,short_1
BU,null,null,bottom deviate,6.1%,0.0105303030303031,0.00090909090909094357,h>h60,h5>h60,50%,null
V,null,null,top deviate,2.9%,-0.016592317224287438,-0.043023543990086698,h>h60,h5>h60,50%,null
AG,null,null,null,null,0.036530040287265711,-0.010194429847609087,h>h60,h5>h60,47%,null
IF,null,2_short,null,0.2%,0.0079753800419782722,0.0020180954459432625,h>h60,h5>h60|today,47%,short_1
P,short_1,null,bottom deviate,2.1%,0.053393061380099194,0.058069640360909877,h<h60,h5<h60,80%,short_1
HC,short_1,null,null,-9.5%,0.017041296393099797,0.024202822791427055,h<h60,h5<h60|today,67%,long_2
M,short_1,null,null,-4.7%,0.0009950248756219551,0.0089374555792466562,h<h60,h5<h60,65%,null
RB,short_1,null,null,-17.0%,0.013259376650818758,0.017855256207078687,h<h60,h5<h60,63%,null
AL,short_1,null,bottom deviate,2.4%,0.084912402028584646,0.087309820193637616,h>h60,h5>h60,62%,short_1
TA,short_1,null,gold cross,-5.3%,0.0099115925787573046,0.012495330593948382,h<h60,h5<h60,60%,short_1
T,short_1,null,bottom deviate,null,0.014455754833844521,0.006043877129673852,h>h60,h5>h60,50%,short_1
TF,short_1,null,bottom deviate,null,0.0073258648410365135,0.0022301747834654758,h>h60,h5>h60,50%,short_1
AU,short_1,2_short,null,null,0.012037373004353501,0.0040185050798258919,h>h60,h5>h60,47%,short_1
JD,short_1,null,bottom deviate,null,0.019427671304804411,0.02692307692307697,h<h60,h5<h60|today,0%,short_1
