,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel
FG,long_1,null,top deviate,-7.9%,-0.089140220571685788,-0.041390952059419284,h>h60,h5>h60|today,75%,long_1
I,long_1,null,top deviate,0.4%,-0.031419141914191435,-0.017227722772277205,h<h60,h5<h60,75%,long_1
M,long_1,2_long,null,-6.3%,-0.01209989447766447,-0.0025852972212451314,h<h60,h5<h60,71%,long_1
RM,long_1,null,top deviate,2.1%,-0.043525205324270809,-0.0091333899745114702,h<h60,h5<h60,50%,long_1
IH,long_1,2_long,null,0.9%,-0.056456834098605017,-0.0019643766522901679,h>h60,null,46%,null
MA,long_1,null,bottom deviate,-13.2%,-0.051086218601493552,-0.03574338085539721,h>h60,h5>h60,33%,long_1
JM,long_1,null,top deviate,-0.9%,-0.063960113960113918,-0.015630665630665549,h<h60,h5<h60,25%,long_1
SF,long_1,null,null,null,-0.16823627540188049,-0.13072111010009102,h>h60,h5>h60,0%,long_1
ZC,long_1,null,null,-0.9%,-0.10383066472586146,-0.066957787481804615,h>h60,h5>h60,0%,long_1
ZN,long_2,null,null,-2.1%,-0.031806742168355571,0.0022153785018875424,h>h60,h5>h60,62%,long_2
RB,null,3_long,null,-19.0%,-0.0031290743155149934,0.025241199478487662,h<h60,h5<h60,88%,long_2
NI,null,null,null,-0.1%,0.021245686296337527,-0.0027162417900478682,h>h60,h5>h60,69%,null
CU,null,null,null,0.1%,0.011434034416826003,-0.001739961759082218,h>h60,h5>h60,67%,short_1
HC,null,null,null,-7.6%,0.0028352292312995597,0.0086349534643226714,h<h60,h5<h60,67%,long_2
TA,null,null,null,-6.0%,1.234567901233445e-05,0.0056666666666667339,h<h60,h5<h60,60%,null
RU,null,null,null,18.5%,0.016625177809388336,0.0088549075391180648,h<h60,h5<h60,59%,short_2
V,null,null,death cross,3.8%,-0.012687406296851575,-0.038705647176411839,h>h60,h5>h60,50%,null
PP,null,null,bottom deviate,1.0%,-0.026922368372572954,0.0017795954460042404,h>h60,h5>h60,33%,long_2
J,null,null,null,-1.5%,-0.029119420989143503,0.00089264173703252551,h<h60,h5<h60,17%,long_1
CS,null,null,top deviate,-5.7%,-0.0007444764649376474,0.0026416906820365032,h<h60,h5<h60,0%,short_1
JD,null,null,top deviate,null,0.0094395280235988754,0.018961478396668379,h<h60,h5<h60,0%,null
L,short_1,null,bottom deviate,-0.6%,0.018820621468926491,0.018926553672316319,h<h60,h5<h60|today,80%,short_1
P,short_1,null,null,2.5%,0.037456173303280799,0.048240671174555418,h<h60,h5<h60,70%,short_1
AL,short_1,null,null,2.4%,0.10066397566397571,0.11405756405756405,h<h60,h5<h60,62%,short_1
IC,short_1,2_short,null,0.7%,0.017712435450668435,0.0035909703203260016,h>h60,h5>h60|today,57%,short_1
AU,short_1,null,null,null,0.028553470689231614,0.022148638704930029,h<h60,h5<h60,53%,short_1
BU,short_1,null,top deviate,3.5%,0.01774644308943087,0.02736280487804885,h<h60,h5<h60,50%,short_1
T,short_1,null,null,null,0.020317404481004202,0.01264386477612984,h<h60,h5<h60,50%,short_1
TF,short_1,null,top deviate,null,0.010781407122300562,0.005952876313325672,h<h60,h5<h60,50%,short_1
AG,short_1,null,null,null,0.064191729323308314,0.018394199785177229,h<h60,h5<h60,47%,short_1
IF,short_1,3_short,null,0.9%,0.0038225019299169454,0.0045081661424194105,h>h60,h5>h60|today,47%,short_1
