,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
ZC,long_1,null,death cross,15.0,-0.067296696315120169,-0.038320626853028554,h<h60,h5<h60|today,100.0,long_1,5.0
NI,long_1,null,top deviate,1.0,-0.028382015751171368,-0.0079254311633934794,h>h60,h5>h60|today,77.0,null,3.2
FG,long_1,2_long,death cross,4.0,-0.063896381209260583,-0.0024949426837491879,h<h60,h5<h60|today,75.0,long_1,3.6
L,long_1,null,bottom deviate,-3.0,-0.042234848484848424,-0.039706851119894658,h>h60,h5>h60,70.0,long_1,2.5
TA,long_1,null,top deviate,4.0,-0.032287996241484568,-0.026092318534179062,h>h60,h5>h60|today,70.0,long_1,3.5
ZN,long_1,null,null,-1.0,-0.05639120282721196,-0.037482645462577353,h>h60,h5>h60,69.0,long_1,2.7
PP,long_1,null,bottom deviate,-2.0,-0.064264893580323584,-0.027745006726689472,h>h60,h5>h60,67.0,long_1,2.5
AU,long_1,null,null,0.0,-0.014425348452634846,-0.014085754783841126,h>h60,h5>h60,65.0,long_1,2.8
V,long_1,null,null,-3.0,-0.016440283896230989,-0.018330885952031282,h>h60,h5>h60,63.0,long_1,2.3
IF,long_1,null,null,-0.0,-0.034283500118567789,-0.027971382499407817,h>h60,h5>h60,60.0,long_1,2.7
IH,long_1,null,death cross,-0.0,-0.055249067668744468,-0.026178110854898906,h>h60,h5>h60,54.0,long_1,2.6
I,long_1,null,null,1.0,-0.063460346964064412,-0.016171003717472203,h<h60,h5<h60,50.0,long_1,2.7
BU,long_1,null,null,-15.0,-0.044214777856973128,-0.030434782608695685,h>h60,h5>h60,25.0,long_1,0.5
RU,long_2,null,null,-15.0,-0.018249018249018291,-0.012416262416262374,h>h60,h5>h60,82.0,long_2,1.1
CU,long_2,3_long,null,0.0,-0.0029630976186147974,1.8178512997636793e-05,h>h60,h5>h60|today,67.0,null,2.3
CS,null,null,gold cross,6.0,-0.0022471910112360403,-0.0012640449438201396,h>h60,h5>h60|today,100.0,short_1,0.0
IC,null,null,null,-0.0,0.0065446626377428816,0.01081987855503852,h<h60,h5<h60|today,75.0,long_1,0.0
RM,null,3_long,null,0.0,-0.0022322741982936426,0.01443071491615173,h<h60,h5<h60,75.0,null,0.0
AG,null,null,null,0.0,-0.0054932925793852788,-0.0082781456953642391,h>h60,h5>h60|today,71.0,short_1,0.0
MA,null,null,null,12.0,-0.0055234534330387492,0.0029571719918422223,h<h60,h5<h60,67.0,long_1,0.0
JM,null,null,null,2.0,-0.057025284766553934,0.0014770309175116013,h<h60,h5<h60,25.0,long_1,0.0
HC,short_1,null,gold cross,10.0,0.013024225058609012,0.007697317009637974,h<h60,h5<h60,67.0,short_1,0.7
M,short_1,null,null,5.0,0.01937787460663282,0.010330428467683304,h<h60,h5<h60,65.0,short_1,1.4
AL,short_1,null,gold cross,-1.0,0.043197559366754616,0.0095426561125769166,h>h60,h5>h60|today,54.0,short_1,2.6
J,short_1,null,null,12.0,0.038967254408060405,0.030440806045340028,h<h60,h5<h60,50.0,short_1,1.0
P,short_1,null,null,-1.0,0.049378488077118296,0.039155251141552549,h<h60,h5<h60,50.0,short_1,2.7
SF,short_1,null,null,0.0,0.045906703738029013,0.021362372567191871,h>h60,h5>h60|today,50.0,short_1,2.5
T,short_1,null,null,0.0,0.019115916046431272,0.008037703047753272,h<h60,h5<h60,50.0,short_1,2.5
JD,short_1,null,null,0.0,0.02792161093131966,0.019417475728155338,h<h60,h5<h60,0.0,short_1,3.5
TF,short_2,null,null,0.0,0.0092361581332372385,0.003402955015018009,h<h60,h5<h60,75.0,short_2,1.5
RB,short_2,null,top deviate,7.0,0.012433096428884738,0.0058699657804685921,h<h60,h5<h60,63.0,short_1,0.7
