,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
L,long_1,null,bottom deviate,-1,-0.012324426173346975,-0.018276807125728052,h>h60,h5>h60,80,null,2.9
ZN,long_1,2_long,null,0,-0.028102609610201848,-0.0008446723197265975,h<h60,h5<h60|today,77,long_1,0.0
FG,long_1,null,null,4,-0.068707482993197275,-0.0054648526077097298,h<h60,h5<h60|today,75,long_1,0.0
I,long_1,null,null,1,-0.039827363665698598,-0.0092933204259438747,h<h60,h5<h60,75,long_1,0.0
CU,long_1,null,bottom deviate,-1,-0.03436419865381117,-0.018591959250500271,h>h60,h5>h60,73,long_1,0.0
PP,long_1,null,death cross,-2,-0.033783197831978279,-0.013848238482384824,h>h60,h5>h60,67,long_1,0.0
ZC,long_1,null,null,11,-0.056220082680591331,-0.029095953002610843,h<h60,h5<h60|today,50,long_1,0.0
RM,long_2,2_long,null,-2,-0.031792896876337261,-0.0012195121951219124,h>h60,h5>h60,50,long_2,0.0
NI,null,null,null,-1,-0.028343038644785601,-0.0051773425092641609,h<h60,h5<h60|today,77,long_1,0.0
TF,null,null,top deviate,0,0.0055794473229716316,0.0001398963730569265,h>h60,h5>h60,75,short_1,0.0
RU,null,2_long,gold cross,-15,-0.0051521560333686245,-0.00062272353424983713,h<h60,null,71,long_1,0.0
AG,null,null,null,0,0.018347593120732923,-0.011615245009074458,h>h60,h5>h60,65,null,0.0
AU,null,3_short,null,0,0.0040959942259105745,-0.0067484662576687273,h>h60,h5>h60,65,null,0.0
TA,null,null,null,2,-0.010867446393762106,-0.010745614035087753,h>h60,h5>h60,60,null,0.0
IH,null,null,null,0,-0.03379705905173129,0.0099875682424129184,h<h60,h5<h60|today,54,long_1,0.0
BU,null,null,null,-6,0.011166032953105243,-0.0049429657794676802,h>h60,h5>h60|today,25,short_1,0.0
JM,null,null,null,5,-0.05126944337318419,0.0093456742511890175,h<h60,h5<h60,25,long_1,0.0
CS,null,3_long,null,7,-0.0047731568998109208,0.0038279773156899379,h<h60,h5<h60,0,null,0.0
P,short_1,null,null,-2,0.055222264679658725,0.052483760030569322,h>h60,h5>h60|today,80,short_1,0.0
AL,short_1,null,death cross,-3,0.06726412957299803,0.053867935213500924,h>h60,h5>h60|today,69,short_1,0.0
HC,short_1,null,null,10,0.010185905750108139,0.015188067444876831,h<h60,h5<h60,67,short_1,0.0
J,short_1,null,null,17,0.047528677462887914,0.059476214574898829,h<h60,h5<h60,67,short_1,0.0
MA,short_1,null,null,18,0.0066503325166258316,0.019075953797689886,h<h60,h5<h60,67,null,0.7
M,short_1,3_short,null,5,0.00056637168141589699,0.0024778761061946901,h>h60,h5>h60,65,short_1,0.0
RB,short_1,null,null,14,0.01433465085639001,0.008642951251646951,h<h60,h5<h60,63,short_2,0.0
IC,short_1,null,null,0,0.015476843771015195,0.0082073220293972585,h<h60,h5<h60,58,short_1,0.0
T,short_1,2_short,top deviate,0,0.011238622518454523,0.0017487278721417317,h>h60,h5>h60,50,short_1,0.0
JD,short_1,null,null,0,0.020233087977567482,0.014392744479495269,h<h60,h5<h60,0,short_1,0.0
SF,short_1,3_long,top deviate,0,-0.001213188533411568,0.019533313765776397,h<h60,h5<h60,0,null,3.5
IF,short_2,null,null,0,0.015919658166772099,0.0079589304014241625,h<h60,h5<h60|today,53,short_2,0.0
V,short_2,null,null,-3,0.0090356871678056189,-0.017084282460136675,h<h60,h5<h60|today,50,null,2.5
