,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
ZC,long_1,null,null,15.0,-0.09564729867482101,-0.066034658511722646,cl>hm,h5>h60,100.0,long_1,5.0
RM,long_1,2_long,null,-2.0,-0.017644077613669325,-0.0049522154648132454,cl>hm,h5>h60,75.0,long_2,2.1
TA,long_1,null,gold cross,3.0,-0.026203082715613526,-0.012989763501588486,cl>hm,h5>h60|today,70.0,long_1,2.3
ZN,long_1,null,top deviate,1.0,-0.044198131197559117,-0.027838164251207775,cl>hm,h5>h60|today,69.0,long_1,2.6
HC,long_1,null,bottom deviate,6.0,-0.0035760226395678135,-0.0063802418317468954,cl<hm,h5>h60,67.0,null,4.1
IF,long_1,null,null,0.0,-0.048905492931719523,-0.038988997967292396,cl>hm,h5>h60,67.0,long_1,2.1
RB,long_1,null,bottom deviate,5.0,-0.022658507564167974,-0.020346761856195866,cl<hm,h5>h60,63.0,long_1,3.9
IH,long_1,null,top deviate,-0.0,-0.070823633464520336,-0.023484299107286614,cl>hm,h5>h60,62.0,long_1,1.5
L,long_1,null,top deviate,-0.0,-0.018706794806946491,-0.010672736469398078,cl<hm,h5<h60,60.0,long_1,1.4
I,long_1,null,null,2.0,-0.061862835959221499,-0.01470497374111822,cl<hm,h5>h60|today,50.0,long_1,3.4
BU,long_1,null,top deviate,-12.0,-0.031091127098321365,-0.0071223021582734469,cl>hm,h5>h60|today,25.0,null,0.5
IC,long_2,2_long,gold cross,1.0,-0.006978357067639363,-0.0029390339304110865,cl>hm,h5<h60,75.0,null,1.9
FG,null,null,null,-0.0,-0.041363115693012639,0.015876288659793753,cl<hm,h5<h60|today,80.0,long_1,0.0
M,null,3_short,null,3.0,0.0011844938980618024,-0.0040201005025124973,cl>hm,h5>h60,71.0,null,0.0
PP,null,2_long,null,-0.0,-0.040078064425177889,-0.00081941213787270039,cl<hm,h5<h60,67.0,long_1,0.0
AU,null,3_long,top deviate,0.0,-0.0021995098918186412,0.0021068674914832019,cl<hm,h5<h60,65.0,null,0.0
V,null,null,gold cross,-1.0,0.0051411794102948979,0.0043228385807096001,cl<hm,h5<h60,63.0,null,0.0
NI,null,null,top deviate,2.0,-0.0047254085879606129,0.0028321997766724192,cl>hm,h5>h60|today,62.0,short_1,0.0
SF,null,null,bottom deviate,0.0,-0.018685391066900758,-0.036059098888238737,cl>hm,h5>h60,50.0,null,0.0
JM,null,3_long,null,7.0,-0.0028678797468354431,0.048681434599156095,cl<hm,h5<h60,25.0,null,0.0
CS,short_1,null,null,7.0,0.014835164835164921,0.011801242236024757,cl<hm,h5<h60,100.0,short_1,1.1
MA,short_1,null,top deviate,13.0,0.030562477750088968,0.028835884656461374,cl<hm,h5<h60,83.0,short_1,1.1
RU,short_1,null,top deviate,-14.0,0.0081082681828950915,0.0097251836057806636,cl<hm,h5<h60,82.0,short_1,2.3
CU,short_1,null,gold cross,-0.0,0.016413204747774482,0.0086980712166172102,cl<hm,h5<h60,73.0,short_1,1.9
AG,short_1,null,top deviate,0.0,0.014456889815056004,0.010106798645480641,cl<hm,h5<h60,71.0,short_1,1.8
J,short_1,null,null,10.0,0.023567839195979944,0.010565326633165876,cl<hm,h5>h60|today,67.0,short_1,2.0
AL,short_1,null,null,-3.0,0.07582255502609489,0.031370546857272565,cl<hm,h5<h60,54.0,short_1,3.5
P,short_1,null,top deviate,-1.0,0.059992937853107393,0.043579866461222347,cl<hm,h5<h60,50.0,short_1,2.0
TF,short_1,null,gold cross,0.0,0.010715963666737325,0.0048192037307719458,cl<hm,h5<h60,50.0,short_1,1.4
JD,short_1,null,bottom deviate,0.0,0.024518055932663638,0.017852294325278305,cl<hm,h5<h60,0.0,short_1,1.8
T,short_1,null,null,0.0,0.020586552607202949,0.0091084109773150127,cl<hm,h5<h60,0.0,short_1,2.4
