,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
RM,long_1,null,death cross,-2.0,-0.015147229474905741,-0.0052654482158398215,cl<hm,h5<h60|today,100.0,long_1,1.7
ZC,long_1,null,null,13.0,-0.11306474034356,-0.081223314467282079,cl>hm,h5>h60,100.0,long_1,5.0
NI,long_1,null,bottom deviate,3.0,-0.047395683453237407,-0.046071942446043165,cl>hm,h5>h60,85.0,long_1,4.1
TA,long_1,null,bottom deviate,-1.0,-0.028712756052141453,-0.013861731843575356,cl>hm,h5>h60,80.0,long_1,2.2
IF,long_1,null,top deviate,-0.0,-0.049834030234557458,-0.034200075320111344,null,null,73.0,long_1,1.6
ZN,long_1,null,bottom deviate,1.0,-0.040590271162761205,-0.027446497745602292,cl>hm,h5>h60,69.0,long_1,3.6
HC,long_1,null,bottom deviate,5.0,-0.01838266295640438,-0.018226663293701033,cl<hm,h5>h60,67.0,long_1,4.0
RB,long_1,null,death cross,2.0,-0.023948548701023985,-0.01282051282051282,cl<hm,h5>h60,63.0,long_1,2.6
IH,long_1,null,top deviate,-1.0,-0.076818666385104581,-0.015669910929847614,null,null,62.0,long_1,1.4
L,long_1,null,null,-1.0,-0.02822177822177822,-0.016633366633366634,null,null,60.0,long_1,2.0
V,long_1,null,null,-1.0,-0.031740019240019193,-0.03078403078403074,null,null,50.0,long_1,1.9
BU,long_1,null,null,-15.0,-0.072184144391135435,-0.037011651816312545,cl>hm,h5>h60,25.0,long_1,1.1
FG,long_2,null,null,-1.0,-0.060124244459368766,-0.0055070517125587947,cl>hm,h5>h60,80.0,long_2,1.9
IC,long_2,2_long,null,1.0,-0.011405730490854157,-0.0039076309247249733,null,null,67.0,long_2,1.9
PP,long_2,null,null,-1.0,-0.050450708628595249,-0.0090454355981658269,null,null,67.0,long_2,1.7
JM,long_2,null,bottom deviate,6.0,-0.023159963908223852,0.027958236658932784,cl<hm,h5>h60,50.0,long_2,3.3
MA,null,null,bottom deviate,10.0,0.017235915492957683,-0.0013732394366197504,cl>hm,h5>h60|today,83.0,null,0.0
AG,null,3_short,bottom deviate,0.0,0.0019153139225285736,-0.0024993558361246634,cl<hm,h5>h60,71.0,null,0.0
J,null,null,bottom deviate,8.0,-0.00087740877408772598,-0.0078843788437884827,cl<hm,h5>h60,67.0,null,0.0
AU,null,3_long,death cross,0.0,-0.0045592705167180562,0.0015376363311282201,cl<hm,h5<h60|today,65.0,long_1,0.0
I,null,null,null,3.0,-0.027865834133845652,0.027153378162023682,cl<hm,h5<h60,50.0,null,0.0
SF,null,null,null,0.0,0.011009824774637836,0.0014737161956851744,null,null,50.0,long_1,0.0
CS,short_1,null,top deviate,8.0,0.015028763183125555,0.0080057526366250319,null,null,100.0,short_1,1.0
RU,short_1,null,top deviate,-14.0,0.025919893835203326,0.024984919773193344,cl<hm,h5<h60,71.0,short_1,2.4
CU,short_1,null,bottom deviate,1.0,0.020849746764209341,0.0087225661226786721,cl<hm,h5<h60|today,67.0,short_1,1.9
P,short_1,null,null,-2.0,0.050720479469523141,0.029335628666156615,cl>hm,h5>h60,60.0,short_1,2.0
AL,short_1,null,gold cross,-1.0,0.077846985210466485,0.025978384527872624,cl<hm,h5<h60|today,54.0,short_1,2.3
TF,short_1,null,null,0.0,0.0083428859246916075,0.0028232249548424226,null,null,50.0,short_1,2.0
JD,short_1,null,bottom deviate,0.0,0.02098295248458466,0.01330250272034823,null,null,0.0,short_1,1.8
T,short_1,null,null,0.0,0.018010898935495026,0.0069065883249002143,null,null,0.0,short_1,2.4
M,short_2,2_short,null,3.0,0.0055213984327909145,0.00072332730560578662,cl<hm,h5<h60|today,59.0,null,1.4
