,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
CU,long_1,null,null,0,-0.044966804234703034,-0.025820922303965547,h>h60,h5>h60,80,long_1,0.0
L,long_1,null,null,-1,-0.016172208013640301,-0.021892583120204603,h>h60,h5>h60,80,long_1,0.0
NI,long_1,null,null,-1,-0.04824769978290086,-0.020707122919466556,h>h60,h5>h60|today,77,null,2.9
ZN,long_1,null,top deviate,0,-0.040394463892130215,-0.014229223389083319,h>h60,h5>h60|today,77,long_1,0.0
FG,long_1,2_long,null,4,-0.068834918478260898,-0.0048460144927536955,h<h60,h5<h60,75,long_1,0.0
I,long_1,null,top deviate,-2,-0.043481053307642896,-0.01098265895953766,h<h60,h5<h60,75,long_1,0.0
PP,long_1,null,top deviate,-1,-0.037491460827670582,-0.015990723762269444,h>h60,h5>h60,67,long_1,0.0
ZC,long_1,null,top deviate,14,-0.054022331154683446,-0.026938997821350411,h<h60,h5<h60,50,long_1,0.0
RM,long_2,null,bottom deviate,-2,-0.027045715104614489,0.003869303525365434,h>h60,h5>h60,50,long_2,0.0
CS,long_2,null,null,6,-0.0062205466540998199,0.0024033930254476481,h<h60,h5<h60,0,null,1.9
TF,null,null,top deviate,0,0.0049782484851632778,-0.00053084054068061766,h>h60,h5>h60,75,null,0.0
AG,null,null,null,0,0.0091193352180244467,-0.017861732202518632,h>h60,h5>h60,71,null,0.0
RU,null,null,null,-16,-0.0052325581395348836,9.3962884660601806e-05,h<h60,h5<h60|today,71,null,0.0
AU,null,3_short,null,0,0.0002936593551475568,-0.010571736785329213,h>h60,h5>h60,65,null,0.0
TA,null,null,null,1,-0.012973760932944573,-0.012627551020408197,h>h60,h5>h60,60,null,0.0
T,null,2_short,gold cross,0,0.0098966442953016195,0.00023176733780690714,h>h60,h5>h60,50,short_1,0.0
IH,null,null,top deviate,-1,-0.039542071937021049,0.0033727238020508032,h<h60,h5<h60,46,null,0.0
BU,null,null,bottom deviate,-6,0.014174930078820182,-0.0016781083142639553,h>h60,h5>h60,25,null,0.0
JM,null,null,top deviate,4,-0.055134841513292378,0.0069401840490797197,h<h60,h5<h60,25,null,0.0
P,short_1,null,null,-2,0.052649637819290857,0.04930740881941803,h>h60,h5>h60,70,short_1,0.0
AL,short_1,null,null,-3,0.044173036446216944,0.029084967320261477,h>h60,h5>h60,69,short_1,0.0
HC,short_1,null,null,9,0.010433955739972283,0.013498443983402537,h<h60,h5<h60,67,short_1,0.0
J,short_1,null,top deviate,19,0.045621112792065911,0.051273323247604731,h<h60,h5<h60,67,short_1,0.0
MA,short_1,null,null,13,0.015909090909090942,0.023678646934460822,h<h60,h5<h60,67,short_1,0.0
M,short_1,null,bottom deviate,4,0.0077453076740317608,0.0090698503207412035,h>h60,null,65,short_1,0.0
RB,short_1,null,null,12,0.023142983621071238,0.016042496679946904,h<h60,h5<h60,63,short_1,0.0
IC,short_1,2_short,top deviate,0,0.0094814819593169695,0.0036502023932391647,h<h60,h5<h60,58,short_1,0.0
IF,short_1,2_short,top deviate,0,0.0091597177768532306,0.0021041548873031901,h<h60,h5<h60,53,short_2,0.0
JD,short_1,null,null,0,0.014644351464435146,0.0064722803347280339,h>h60,h5>h60|today,0,short_1,0.0
SF,short_1,null,null,0,0.050000000000000003,0.070756172839506179,h<h60,h5<h60,0,short_1,0.0
V,short_2,null,null,-4,0.0081690674753601214,-0.015769522365428355,h<h60,h5<h60,50,short_2,0.0
