,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
RM,long_1,null,death cross,-2.0,-0.015571987820791727,-0.0056763810352327892,cl<hm,null,100.0,long_1,1.7
ZC,long_1,null,null,13.0,-0.11489298454221107,-0.083100475624256778,cl>hm,h5>h60,100.0,long_1,5.0
NI,long_1,null,bottom deviate,3.0,-0.047914869140063272,-0.046563129134311189,cl<hm,h5>h60,85.0,long_1,4.1
TA,long_1,null,bottom deviate,-1.0,-0.028385143788566845,-0.013534753754802654,cl>hm,h5>h60,80.0,long_1,2.2
IF,long_1,null,top deviate,-0.0,-0.050120627380112942,-0.03448634964530832,cl>hm,h5>h60,73.0,long_1,1.6
ZN,long_1,null,bottom deviate,1.0,-0.039138523182598743,-0.025987406983400116,cl<hm,h5>h60,69.0,long_1,3.6
HC,long_1,null,bottom deviate,5.0,-0.021729266448197584,-0.021514998739601693,cl<hm,h5>h60,67.0,long_1,4.0
RB,long_1,null,bottom deviate,2.0,-0.02585930242378176,-0.014618697745122831,cl<hm,h5>h60,63.0,long_1,3.6
IH,long_1,null,top deviate,-1.0,-0.077729185624129185,-0.016558147589556094,cl>hm,h5>h60,62.0,long_1,1.4
L,long_1,null,null,-1.0,-0.028698618738558768,-0.017107671825595,cl>hm,h5>h60,60.0,long_1,2.0
V,long_1,null,null,-1.0,-0.032432107666426381,-0.031458783946166829,cl>hm,h5>h60,50.0,long_1,1.9
BU,long_1,null,bottom deviate,-15.0,-0.070306776556776487,-0.035233516483516455,cl<hm,h5>h60,25.0,long_1,1.1
FG,long_2,2_long,bottom deviate,-1.0,-0.057615039281705992,-0.0029180695847362006,cl<hm,h5>h60,80.0,long_2,1.9
IC,long_2,2_long,bottom deviate,1.0,-0.01104495639809704,-0.0035503195313752261,cl>hm,h5>h60,67.0,long_2,1.9
PP,long_2,null,null,-1.0,-0.050744869257214331,-0.0093395145327637916,cl>hm,h5>h60,67.0,long_2,1.7
JM,long_2,null,bottom deviate,6.0,-0.032800535987748923,0.018057682491066814,cl<hm,h5>h60,50.0,long_2,3.3
AG,null,null,bottom deviate,0.0,-0.00011142538784607714,-0.0043455901259964232,cl<hm,h5>h60,71.0,null,0.0
J,null,null,bottom deviate,8.0,-0.0060761764945763356,-0.012955713237093177,cl<hm,h5>h60,67.0,null,0.0
AU,null,null,bottom deviate,0.0,-0.0057827380952389261,0.00034821428571437502,cl<hm,null,65.0,long_1,0.0
I,null,null,null,3.0,-0.026010587102983616,0.029066410009624684,cl<hm,h5<h60,50.0,null,0.0
SF,null,null,null,0.0,0.01130699088145891,0.0017629179331307544,cl<hm,h5<h60|today,50.0,long_1,0.0
CS,short_1,null,top deviate,8.0,0.015028763183125555,0.0080057526366250319,cl>hm,h5<h60,100.0,short_1,1.0
RU,short_1,null,top deviate,-14.0,0.02701690821256043,0.026062801932367107,cl>hm,h5<h60,71.0,short_1,2.4
CU,short_1,null,bottom deviate,1.0,0.017763649962602841,0.0058339566192969336,cl<hm,h5>h60,67.0,short_1,1.9
P,short_1,null,null,-2.0,0.05032186105799874,0.028948374760994194,cl>hm,h5>h60,60.0,short_1,2.0
AL,short_1,null,gold cross,-1.0,0.078943172759366853,0.027012868693770682,cl<hm,h5<h60|today,54.0,short_1,2.3
TF,short_1,null,null,0.0,0.0081865937310072138,0.0026690978553444815,cl>hm,h5>h60|today,50.0,short_1,2.0
JD,short_1,null,bottom deviate,0.0,0.02098295248458466,0.01330250272034823,cl<hm,h5<h60|today,0.0,short_1,1.8
T,short_1,null,null,0.0,0.017846134319698292,0.0067449956483894898,cl>hm,h5>h60|today,0.0,short_1,2.4
MA,short_2,2_short,bottom deviate,10.0,0.023060573857598268,0.0040382571732200112,cl<hm,null,83.0,null,0.2
M,short_2,3_short,death cross,3.0,0.0037665463297232469,-0.00099277978339350182,cl<hm,h5<h60|today,59.0,null,1.4
