,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
L,long_1,null,null,-2,-0.031461988304093629,-0.037610693400167025,h>h60,h5>h60,80,long_1,0.0
NI,long_1,null,null,-1,-0.043730979914790018,-0.015621829985798336,h>h60,h5>h60,77,long_1,0.0
I,long_1,null,bottom deviate,-2,-0.072090683998761979,-0.031321572268647492,h>h60,h5>h60,75,long_1,0.0
AU,long_1,null,top deviate,0,-0.0064022392948610181,-0.014409505092013676,h>h60,h5>h60,71,null,2.9
TA,long_1,null,bottom deviate,4,-0.032954410894020209,-0.033872113676731763,h>h60,h5>h60,70,long_1,0.0
ZN,long_1,null,null,0,-0.048729869631901838,-0.027671267893660579,h>h60,h5>h60,69,long_1,0.0
IC,long_1,null,bottom deviate,0,-0.025377318425597522,-0.024184607892789194,h>h60,h5>h60,67,long_1,0.0
MA,long_1,null,bottom deviate,10,-0.0057968536251709361,-0.010772913816689466,h>h60,h5>h60,67,long_1,0.0
PP,long_1,null,bottom deviate,-2,-0.055722374141074095,-0.029222759781236892,h>h60,h5>h60,67,long_1,0.0
IF,long_1,null,null,0,-0.023570729487566725,-0.022385615221988026,h>h60,h5>h60,60,long_1,0.0
CS,long_1,null,null,5,-0.013634248487668768,-0.0076314564913913868,h>h60,h5>h60,50,long_1,0.0
ZC,long_1,null,null,14,-0.073124270402206912,-0.045192613817255624,h>h60,h5>h60,50,long_1,0.0
IH,long_1,null,null,0,-0.028051327826960477,-0.014849479600049975,h>h60,h5>h60,46,long_1,0.0
V,long_1,null,null,-2,-0.022877013177159591,-0.036774036115178182,h>h60,h5>h60,38,long_1,0.0
BU,long_1,null,null,-12,-0.011601186063750994,-0.021423276501112001,h>h60,h5>h60,25,long_1,0.0
JM,long_1,null,bottom deviate,2,-0.085982481930662796,-0.022271223814773946,h>h60,h5>h60,25,long_1,0.0
RM,long_2,null,gold cross,-1,-0.013646605611280643,0.011513301351940728,h<h60,h5<h60,75,null,2.3
CU,null,null,null,0,-0.017234779438570907,0.0039737513671162959,h<h60,h5<h60,80,long_1,0.0
FG,null,null,null,7,-0.055878995433789901,0.0070547945205479143,h<h60,h5<h60,75,long_1,0.0
RU,null,null,bottom deviate,-15,0.0041991956470309481,0.010681334279630944,h<h60,h5<h60,71,null,0.0
J,null,null,bottom deviate,13,0.0087153367289190872,-0.0031772980839195643,h>h60,h5>h60,67,null,0.0
HC,short_1,null,null,10,0.015694950546590366,0.010307131702238393,h<h60,h5<h60,67,short_1,0.0
M,short_1,null,gold cross,6,0.01631231231231239,0.011639639639639706,h<h60,h5<h60,65,short_1,0.0
AL,short_1,null,top deviate,-3,0.041658391261171795,0.016771488469601716,h>h60,h5>h60,62,short_1,0.0
P,short_1,null,null,-2,0.029217953499937891,0.023436528658460829,h>h60,h5>h60,50,short_1,0.0
T,short_1,null,null,0,0.016120425455200611,0.0055210023436085944,h<h60,h5<h60,50,short_1,0.0
JD,short_1,null,null,0,0.021040126715945042,0.0078801478352692467,h<h60,h5<h60,0,short_1,0.0
SF,short_1,null,gold cross,0,0.063664790494058765,0.062288930581613451,h<h60,h5<h60,0,short_1,0.0
TF,short_2,null,top deviate,0,0.0072637474894393381,0.0014509315049517574,h<h60,h5<h60,75,short_1,0.0
AG,short_2,null,top deviate,0,0.006979434447300795,-0.0054498714652955827,h<h60,h5<h60|today,71,short_2,0.0
RB,short_2,null,bottom deviate,11,0.017351237493417611,0.0056608741442864662,h<h60,h5<h60|today,63,short_2,0.0
