,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
CS,short_1,null,null,8.0,inf,inf,cl>hm,h5<h60,100.0,short_1,1.0
RM,short_1,null,null,-2.0,inf,inf,cl>hm,h5>h60|today,100.0,long_1,1.6
ZC,short_1,null,null,13.0,inf,inf,cl>hm,h5>h60,100.0,long_1,1.5
NI,short_1,null,null,3.0,inf,inf,cl>hm,h5>h60,85.0,long_1,2.4
MA,short_1,null,null,10.0,inf,inf,cl>hm,h5>h60|today,83.0,short_2,1.1
FG,short_1,null,null,-1.0,inf,inf,cl>hm,h5>h60,80.0,long_2,1.7
TA,short_1,null,null,-1.0,inf,inf,cl>hm,h5>h60,80.0,long_1,1.7
AG,short_1,null,null,0.0,inf,inf,cl<hm,h5>h60,71.0,null,1.8
RU,short_1,null,null,-14.0,inf,inf,cl>hm,h5<h60,71.0,short_1,2.4
ZN,short_1,null,null,1.0,inf,inf,cl>hm,h5>h60,69.0,long_1,2.9
CU,short_1,null,null,1.0,inf,inf,cl<hm,null,67.0,short_1,2.9
HC,short_1,null,null,5.0,inf,inf,cl<hm,h5>h60,67.0,long_1,2.5
J,short_1,null,null,8.0,inf,inf,cl<hm,h5>h60,67.0,null,2.2
PP,short_1,null,null,-1.0,inf,inf,cl>hm,h5>h60,67.0,long_2,1.9
AU,short_1,null,null,0.0,inf,inf,cl<hm,h5<h60,65.0,null,1.8
RB,short_1,null,null,2.0,inf,inf,cl<hm,h5>h60,63.0,long_1,2.9
L,short_1,null,null,-1.0,inf,inf,cl>hm,h5>h60,60.0,long_1,1.9
P,short_1,null,null,-2.0,inf,inf,cl>hm,h5>h60,60.0,short_1,2.0
M,short_1,null,null,3.0,inf,inf,cl<hm,h5<h60,59.0,short_2,1.7
AL,short_1,null,null,-1.0,inf,inf,cl>hm,null,54.0,short_1,3.3
I,short_1,null,null,3.0,inf,inf,cl<hm,h5<h60,50.0,null,3.0
JM,short_1,null,null,6.0,inf,inf,cl<hm,null,50.0,long_2,2.7
SF,short_1,null,null,0.0,inf,inf,cl<hm,h5<h60,50.0,null,2.0
V,short_1,null,null,-1.0,inf,inf,cl>hm,h5>h60,50.0,long_1,2.0
BU,short_1,null,null,-15.0,inf,inf,cl>hm,h5>h60,25.0,long_1,2.8
JD,short_1,null,null,0.0,inf,inf,cl<hm,h5<h60,0.0,short_1,2.4
