,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,铁矿石,棉花,焦煤,沪镍,玉米,沪银,铁矿石,焦炭,沪锌,焦炭,热卷,沪铜,沪铝
1,焦煤,动力煤,焦炭,铁矿石,塑料,铁矿石,沪金,铁矿石,铁矿石,沪镍,PVC,沪铝,沪锌
2,焦炭,沪铝,铁矿石,焦煤,焦煤,焦炭,焦炭,沥青,热卷,沥青,棕榈油,沪锌,玻璃
3,热卷,沪锌,PVC,聚丙烯,沥青,沪铝,沥青,玻璃,沪铝,玉米,菜粕,PTA,沪铜
4,PVC,菜粕,动力煤,沪铜,淀粉,沥青,棕榈油,沪镍,焦炭,豆一,玉米,白糖,热卷
