,RS1307.CZC,RS1308.CZC,RS1309.CZC,RS1311.CZC,RS1407.CZC,RS1408.CZC,RS1409.CZC,RS1411.CZC,RS1507.CZC,RS1508.CZC,RS1509.CZC,RS1511.CZC,RS607.CZC,RS608.CZC,RS609.CZC,RS611.CZC,RS707.CZC,RS708.CZC,RS709.CZC,RS711.CZC,RS807.CZC,RS808.CZC,RS809.CZC,RS811.CZC
2018-01-02,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-01-03,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-01-04,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-01-05,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-01-08,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-01-09,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-01-10,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-01-11,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-01-12,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-01-15,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-01-16,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-01-17,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-01-18,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-01-19,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-01-22,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-01-23,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-01-24,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-01-25,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-01-26,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-01-29,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-01-30,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-01-31,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-02-01,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-02-02,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-02-05,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-02-06,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-02-07,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-02-08,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-02-09,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-02-12,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-02-13,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-02-14,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-02-22,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-02-23,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-02-26,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-02-27,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-02-28,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-03-01,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-03-02,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-03-05,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-03-06,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-03-07,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-03-08,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-03-09,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-03-12,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-03-13,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-03-14,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-03-15,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-03-16,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-03-19,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-03-20,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-03-21,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-03-22,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-03-23,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-03-26,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-03-27,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-03-28,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-03-29,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-03-30,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-04-02,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-04-03,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-04-04,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-04-09,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-04-10,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-04-11,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-04-12,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-04-13,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
2018-04-16,,,,,,,,,,,,,,,,,,,,,20.0,,20.0,20.0
