,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,焦煤,焦煤,铁矿石,沪镍,玉米,玻璃,玻璃,沪镍,玉米,沥青,沪铝,沪铜,玻璃
1,玻璃,沪镍,沪镍,铁矿石,塑料,聚丙烯,聚丙烯,焦煤,沪铝,沪镍,玉米,沪锌,沪锌
2,铁矿石,沪铝,沥青,焦煤,焦煤,沪镍,沪银,螺纹钢,淀粉,玻璃,淀粉,沪铝,沪铝
3,沪镍,天胶,动力煤,塑料,沥青,天胶,沥青,铁矿石,棉花,玉米,沪锌,PTA,沪铜
4,焦炭,沪锌,棉花,聚丙烯,淀粉,PTA,热卷,沪铝,天胶,螺纹钢,棕榈油,白糖,PTA
