time,BU1806.SHF,CS1805.DCE,J1805.DCE,JM1805.DCE,MA805.CZC,RB1805.SHF,RU1805.SHF,TA805.CZC,Y1805.DCE,ZC805.CZC,long_value,short_value,ratio,diff
2018-01-30 09:00:00,-377260.0,375840.0,-407800.0,-388800.0,367640.0,-354060.0,413100.0,371540.0,-347280.0,400800.0,1928920.0,-1875200.0,1.02864761092,53720.0
2018-01-30 09:01:00,-377520.0,376200.0,-408300.0,-388800.0,367770.0,-354330.0,413550.0,371930.0,-347520.0,400680.0,1930130.0,-1876470.0,1.02859624721,53660.0
2018-01-30 09:02:00,-377520.0,376200.0,-407700.0,-388200.0,367120.0,-353970.0,412800.0,371410.0,-347400.0,400920.0,1928450.0,-1874790.0,1.02862187232,53660.0
2018-01-30 09:03:00,-377000.0,376020.0,-407500.0,-388050.0,366470.0,-353970.0,413100.0,371280.0,-347280.0,401039.99999999994,1927910.0,-1873800.0,1.02887714804,54110.0
2018-01-30 09:04:00,-377000.0,375840.0,-407100.0,-387900.0,365950.0,-353970.0,413100.0,371280.0,-347280.0,400320.0,1926490.0,-1873250.0,1.02842119311,53240.0
2018-01-30 09:05:00,-376740.0,376020.0,-407300.0,-387750.0,366210.0,-353790.0,412650.0,370890.0,-346800.0,399960.00000000006,1925730.0,-1872380.0,1.02849314776,53350.0
2018-01-30 09:06:00,-377000.0,376380.0,-407300.0,-387900.0,366340.0,-353880.0,412800.0,371020.0,-346560.0,400560.00000000006,1927100.0,-1872640.0,1.0290819378,54460.0
2018-01-30 09:07:00,-376740.0,376380.0,-407400.0,-387900.0,366080.0,-353790.0,412800.0,370500.0,-346320.0,400560.00000000006,1926320.0,-1872150.0,1.02893464733,54170.0
2018-01-30 09:08:00,-377260.0,376380.0,-407200.0,-387900.0,365170.0,-353700.0,412500.0,370760.0,-346200.0,400680.0,1925490.0,-1872260.0,1.02843088033,53230.0
2018-01-30 09:09:00,-376740.0,377100.0,-407100.0,-387900.0,364910.0,-353610.0,412800.0,370760.0,-346320.0,400560.00000000006,1926130.0,-1871670.0,1.02909700962,54460.0
2018-01-30 09:10:00,-376740.0,376740.0,-406600.0,-387450.0,365040.0,-353520.0,412650.0,370630.0,-346320.0,400560.00000000006,1925620.0,-1870630.0,1.02939651347,54990.0
2018-01-30 09:11:00,-376740.0,376560.0,-406900.0,-387600.0,364260.0,-353340.0,412500.0,370630.0,-346440.0,400439.99999999994,1924390.0,-1871020.0,1.02852454811,53370.0
2018-01-30 09:12:00,-376480.0,376560.0,-406300.0,-387450.0,364130.0,-352980.0,412500.0,370760.0,-346080.0,400200.0,1924150.0,-1869290.0,1.02934804123,54860.0
2018-01-30 09:13:00,-376740.0,376560.0,-406500.0,-387600.0,364260.0,-353160.0,412650.0,370630.0,-346320.0,400200.0,1924300.0,-1870320.0,1.02886137132,53980.0
2018-01-30 09:14:00,-376480.0,376380.0,-406200.0,-387150.0,363610.0,-352800.0,412350.0,369980.0,-346080.0,400320.0,1922640.0,-1868710.0,1.0288594806,53930.0
2018-01-30 09:15:00,-376740.0,376560.0,-406400.0,-387450.0,364260.0,-352800.0,412800.0,370370.0,-346080.0,400320.0,1924310.0,-1869470.0,1.02933451727,54840.0
2018-01-30 09:16:00,-377000.0,376380.0,-406900.0,-387900.0,364520.0,-353070.0,413400.0,370370.0,-346080.0,400560.00000000006,1925230.0,-1870950.0,1.02901199925,54280.0
2018-01-30 09:17:00,-377000.0,376380.0,-406800.0,-387900.0,364780.0,-352980.0,413250.0,370240.0,-346200.0,400800.0,1925450.0,-1870880.0,1.02916809202,54570.0
2018-01-30 09:18:00,-377260.0,376380.0,-406800.0,-388050.0,364650.0,-353160.0,413250.0,370500.0,-346320.0,400680.0,1925460.0,-1871590.0,1.02878301337,53870.0
2018-01-30 09:19:00,-377000.0,376380.0,-406700.0,-388200.0,365040.0,-353070.0,413100.0,370370.0,-346320.0,400560.00000000006,1925450.0,-1871290.0,1.02894260109,54160.0
2018-01-30 09:20:00,-377000.0,376560.0,-406600.0,-387900.0,365040.0,-353070.0,413400.0,370240.0,-346080.0,400680.0,1925920.0,-1870650.0,1.02954587977,55270.0
2018-01-30 09:21:00,-377260.0,376560.0,-406900.0,-388050.0,364910.0,-353070.0,413250.0,369590.0,-346200.0,400680.0,1924990.0,-1871480.0,1.02859234403,53510.0
2018-01-30 09:22:00,-377000.0,376740.0,-407000.0,-388350.0,364910.0,-352980.0,413400.0,369330.0,-346080.0,400800.0,1925180.0,-1871410.0,1.0287323462,53770.0
2018-01-30 09:23:00,-377000.0,376740.0,-407300.0,-389250.0,364910.0,-353160.0,413400.0,369590.0,-346200.0,400800.0,1925440.0,-1872910.0,1.02804726335,52530.0
2018-01-30 09:24:00,-376740.0,376740.0,-407800.0,-390000.0,365300.0,-353160.0,413550.0,369460.0,-346320.0,401039.99999999994,1926090.0,-1874020.0,1.02778518906,52070.0
2018-01-30 09:25:00,-376740.0,376740.0,-407600.0,-389850.0,365040.0,-353070.0,413250.0,369850.0,-346320.0,400800.0,1925680.0,-1873580.0,1.02780772638,52100.0
2018-01-30 09:26:00,-377000.0,376740.0,-407500.0,-390000.0,365300.0,-353250.0,413400.0,369850.0,-346320.0,400920.0,1926210.0,-1874070.0,1.02782179961,52140.0
2018-01-30 09:27:00,-377260.0,376560.0,-407400.0,-389550.0,365300.0,-353250.0,413400.0,369850.0,-346320.0,400800.0,1925910.0,-1873780.0,1.02782076871,52130.0
2018-01-30 09:28:00,-377260.0,376560.0,-407400.0,-389400.0,365040.0,-353340.0,413400.0,369850.0,-346200.0,400560.00000000006,1925410.0,-1873600.0,1.02765264731,51810.0
2018-01-30 09:29:00,-377000.0,376560.0,-407400.0,-389400.0,365040.0,-353340.0,413250.0,369720.0,-346200.0,400800.0,1925370.0,-1873340.0,1.02777392251,52030.0
2018-01-30 09:30:00,-377260.0,376740.0,-407400.0,-389400.0,364910.0,-353250.0,413400.0,369720.0,-346080.0,400920.0,1925690.0,-1873390.0,1.02791730499,52300.0
2018-01-30 09:31:00,-377260.0,376920.0,-407200.0,-389100.0,364910.0,-353430.0,413550.0,369850.0,-346200.0,400920.0,1926150.0,-1873190.0,1.02827262584,52960.0
2018-01-30 09:32:00,-377260.0,376920.0,-407300.0,-389400.0,365430.0,-353430.0,413850.0,369720.0,-346320.0,401039.99999999994,1926960.0,-1873710.0,1.02841955265,53250.0
2018-01-30 09:33:00,-377260.0,376740.0,-407400.0,-389250.0,365560.0,-353520.0,413550.0,369980.0,-346320.0,400920.0,1926750.0,-1873750.0,1.02828552368,53000.0
2018-01-30 09:34:00,-377520.0,376740.0,-407300.0,-389400.0,365560.0,-353340.0,413400.0,369980.0,-346080.0,400920.0,1926600.0,-1873640.0,1.02826583549,52960.0
