,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,热卷,焦炭,沥青,豆粕,塑料,聚丙烯,玻璃,沥青,沪金,PVC,动力煤,沪铜,玻璃
1,焦煤,铁矿石,豆一,豆一,玉米,螺纹钢,焦煤,豆一,玻璃,沥青,焦煤,螺纹钢,沪铜
2,玻璃,棉花,甲醇,菜粕,焦煤,淀粉,沪金,淀粉,菜粕,菜粕,鸡蛋,沪锌,热卷
3,焦炭,PVC,棕榈油,沥青,沥青,铁矿石,热卷,塑料,豆油,豆一,豆油,沪铝,动力煤
4,铁矿石,豆粕,棉花,甲醇,淀粉,焦煤,螺纹钢,白糖,棕榈油,塑料,铁矿石,玻璃,聚丙烯
