,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,玉米,热卷,鸡蛋,铁矿石,豆一,棕榈油,沥青,热卷,焦炭,热卷,热卷,豆粕,豆粕
1,沪金,沪铜,铁矿石,鸡蛋,沪镍,PVC,铁矿石,鸡蛋,豆一,玉米,豆一,铁矿石,沥青
2,豆一,沪锌,天胶,动力煤,玻璃,玻璃,沪铜,动力煤,天胶,聚丙烯,豆粕,豆油,豆油
3,菜粕,沪镍,动力煤,焦炭,沪锌,沪镍,沪锌,玉米,棉花,沪铜,玻璃,沥青,豆一
4,沪银,天胶,沪铜,沪锌,甲醇,玉米,鸡蛋,铁矿石,沪铜,沪金,淀粉,豆一,铁矿石
