,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,沪金,焦炭,鸡蛋,焦炭,豆一,玻璃,沪金,白糖,沪银,白糖,沪金,豆粕,豆粕
1,白糖,焦煤,天胶,白糖,沪镍,淀粉,聚丙烯,沪铜,甲醇,棕榈油,沪银,天胶,沪银
2,豆粕,沪锌,淀粉,鸡蛋,玻璃,PTA,玻璃,PVC,沪金,豆油,玻璃,沪金,天胶
3,玉米,棕榈油,玉米,豆粕,甲醇,沪锌,热卷,棉花,热卷,沪锌,焦煤,沪银,沪金
4,淀粉,沪银,沪铝,菜粕,铁矿石,沪金,棕榈油,天胶,玻璃,聚丙烯,白糖,豆油,玉米
