,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
RM,long_1,null,null,-1.0,-0.019261347210176284,-0.0066348655680833401,cl>hm,h5>h60,100.0,long_1,2.3
ZC,long_1,null,null,14.0,-0.098127283800242979,-0.067930369468128124,cl<hm,h5>h60,100.0,long_1,5.0
TA,long_1,null,null,0.0,-0.026913145539906126,-0.012640845070422567,cl>hm,h5>h60,80.0,long_1,2.2
IF,long_1,null,null,1.0,-0.05681917406960605,-0.0454929592107194,cl>hm,h5>h60,73.0,long_1,2.2
ZN,long_1,null,null,-0.0,-0.042402989821882904,-0.02661259541984733,cl>hm,h5>h60,69.0,long_1,3.5
HC,long_1,null,null,5.0,-0.0082116944088774912,-0.0098463508322662787,cl<hm,h5>h60,67.0,long_1,4.0
PP,long_1,null,gold cross,0.0,-0.045801833963320784,-0.0057591348173036917,cl>hm,null,67.0,null,2.1
RB,long_1,null,bottom deviate,3.0,-0.021325844608969441,-0.016466683686494767,cl<hm,h5>h60,63.0,long_1,3.7
V,long_1,null,null,-1.0,-0.0020957341269840818,-0.0032738095238095239,cl>hm,null,63.0,null,2.0
IH,long_1,null,null,1.0,-0.081814316229877171,-0.03058373036657579,cl>hm,h5>h60,62.0,long_1,2.1
L,long_1,null,top deviate,-1.0,-0.024438860971524229,-0.015460636515912958,cl<hm,h5<h60,60.0,long_1,1.4
SF,long_1,null,death cross,0.0,-0.0097464733155766189,-0.02484462858833969,cl>hm,h5>h60,50.0,null,1.4
IC,long_2,2_long,null,0.0,-0.0081231504053516628,-0.0031112504803123145,cl>hm,null,75.0,long_2,1.9
BU,long_2,null,null,-14.0,-0.027003610108303315,-0.0012996389891696423,cl<hm,null,25.0,long_1,0.8
FG,null,null,top deviate,-0.0,-0.047189988623435798,0.0091467576791809495,cl<hm,h5<h60,80.0,null,0.0
NI,null,null,null,-1.0,-0.011533044965295242,-0.0061865003520772555,cl<hm,h5>h60,77.0,null,0.0
AU,null,3_long,top deviate,0.0,-0.004101049868767353,0.00057265569076601647,cl<hm,h5<h60,71.0,null,0.0
M,null,3_short,null,3.0,7.1761750986658812e-05,-0.0045030498744170009,cl>hm,h5>h60,65.0,null,0.0
I,null,null,null,2.0,-0.032353409815168925,0.018196303377947708,cl<hm,h5<h60|today,50.0,long_1,0.0
JM,null,null,top deviate,6.0,-0.020511326860841401,0.029993527508090534,cl<hm,null,50.0,null,0.0
CS,short_1,null,null,8.0,0.019131060969755118,0.014834373499760006,cl<hm,h5<h60,100.0,short_1,1.0
MA,short_1,null,gold cross,10.0,0.017258347978910338,0.011212653778558908,cl>hm,h5>h60|today,83.0,short_1,0.5
AG,short_1,null,top deviate,0.0,0.011677061677061692,0.0064708939708939947,cl<hm,h5<h60,71.0,short_1,1.8
RU,short_1,null,null,-16.0,0.02533429707264185,0.026442597277436496,cl<hm,h5<h60,71.0,short_1,2.4
CU,short_1,null,null,-0.0,0.019288773040402159,0.010184323217277974,cl<hm,h5<h60,67.0,short_1,3.0
J,short_1,null,bottom deviate,7.0,0.019289891395154562,0.0078696741854636827,cl<hm,h5>h60,67.0,short_1,1.3
AL,short_1,null,null,-2.0,0.078526734926052291,0.031996587030716721,cl<hm,h5<h60,62.0,short_1,3.3
P,short_1,null,gold cross,-2.0,0.05732731000897083,0.039657823913879314,cl<hm,h5<h60,60.0,short_1,1.4
TF,short_1,null,null,0.0,0.010320007654437871,0.0045335142563889342,cl<hm,h5<h60,50.0,short_1,2.0
JD,short_1,null,bottom deviate,0.0,0.02540589569161001,0.018204081632653087,cl<hm,h5<h60,0.0,short_1,1.8
T,short_1,null,bottom deviate,0.0,0.020654602932359534,0.0092930724369101152,cl<hm,h5<h60,0.0,short_1,1.8
