,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
ZC,long_1,null,bottom deviate,15,-0.079203354297693387,-0.050723270440251558,h>h60,h5>h60,100,long_1,5.0
NI,long_1,null,null,-1,-0.048712636874815037,-0.02447469665581533,h>h60,h5>h60,77,long_1,2.9
FG,long_1,null,bottom deviate,3,-0.072690763052208771,-0.011356537260151739,h>h60,h5>h60,75,long_1,3.4
L,long_1,null,null,-3,-0.040241282432655817,-0.041579904148074762,h>h60,h5>h60,70,long_1,2.5
TA,long_1,null,null,3,-0.033203952011291428,-0.030628087508821518,h>h60,h5>h60,70,long_1,3.3
IC,long_1,null,null,0,-0.023176929686381294,-0.019643230609742452,h>h60,h5>h60,67,long_1,2.8
MA,long_1,null,bottom deviate,11,-0.017457114026236155,-0.014362596703666269,h>h60,h5>h60,67,long_1,4.3
PP,long_1,null,null,-2,-0.062450216450216513,-0.031251948051947975,h>h60,h5>h60,67,long_1,2.5
AU,long_1,null,top deviate,0,-0.010196392547763783,-0.012228551085795866,h>h60,h5>h60,65,long_1,2.8
V,long_1,null,null,-3,-0.0078020756115641217,-0.01475166790214974,h<h60,h5<h60|today,63,long_1,2.3
IF,long_1,null,bottom deviate,0,-0.034882776067953369,-0.030258657473255186,h>h60,h5>h60,60,long_1,2.7
IH,long_1,null,bottom deviate,0,-0.042980504356167092,-0.021779319416299993,h>h60,h5>h60,54,long_1,2.6
I,long_1,null,bottom deviate,-1,-0.097576301615798958,-0.051825254338719345,h>h60,h5>h60,50,long_1,2.3
BU,long_1,null,bottom deviate,-14,-0.028040213178294519,-0.022674418604651195,h>h60,h5>h60,25,long_1,0.5
JM,long_1,null,null,1,-0.092620772946859858,-0.031014492753623155,h>h60,h5>h60|today,25,long_1,2.2
ZN,long_1,null,death cross,0,-0.053774033885398823,-0.034148740402309835,h>h60,h5>h60,0,long_1,1.5
CU,long_2,null,top deviate,-1,-0.0085571687840290383,0.0014337568058076225,h>h60,h5>h60,67,null,2.2
RM,null,3_long,null,-2,-0.0031364771558690121,0.016108417805200607,h<h60,h5<h60,75,null,0.0
HC,null,null,bottom deviate,7,0.0055885134554208189,-0.00060613876708793114,h>h60,h5>h60,67,null,0.0
RB,null,3_short,bottom deviate,5,0.0049218750000000235,-0.0057812499999999522,h>h60,h5>h60,63,null,0.0
AG,short_1,2_short,top deviate,0,0.0055927260250471234,0.00087493566649513401,h<h60,h5<h60,76,short_1,2.0
RU,short_1,null,top deviate,-14,-6.4759213469873568e-05,0.0060638172612740328,h>h60,h5>h60|today,76,short_1,3.5
M,short_1,null,null,4,0.021346409976994871,0.013421721758082027,h<h60,h5<h60,71,short_1,1.5
AL,short_1,null,top deviate,-1,0.039849830099747852,0.0094102817055793445,h>h60,h5>h60|today,54,short_1,2.6
CS,short_1,null,null,6,0.0071699006152390402,0.0087553241836251777,h<h60,h5<h60,50,short_1,1.6
P,short_1,null,null,-3,0.035275171982489008,0.026566604127579805,h<h60,h5<h60,50,short_1,2.9
SF,short_1,null,bottom deviate,0,0.052679495137595629,0.029717566728739913,h<h60,h5<h60,50,short_1,2.5
T,short_1,null,null,0,0.018575550369927793,0.0076581465603007357,h<h60,h5<h60,50,short_1,2.5
JD,short_1,null,null,0,0.030070807564757593,0.020193600430223155,h<h60,h5<h60,0,short_1,3.5
TF,short_2,null,null,0,0.0088486362689993714,0.0030449718925668911,h<h60,h5<h60,75,short_2,1.5
J,short_2,null,death cross,10,0.020508405084050871,0.0078597785977859332,h<h60,h5<h60,50,short_2,0.5
