,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel
RU,long_1,null,bottom deviate,16.8%,-0.013679081099895579,-0.01143984220907302,h<h60,null,76%,long_1
FG,long_1,null,null,-4.3%,-0.08739946380697057,-0.029535299374441423,h>h60,h5>h60,75%,long_1
I,long_1,null,null,1.0%,-0.072172619047619013,-0.050093984962405975,h>h60,h5>h60,75%,long_1
NI,long_1,null,null,0.4%,-0.044714852726133278,-0.044307499477752248,h>h60,h5>h60,69%,long_1
ZN,long_1,null,bottom deviate,-0.5%,-0.036239853364755222,-0.00666404818015192,h>h60,h5>h60,69%,long_1
CU,long_1,null,null,0.6%,-0.025161349806380233,-0.027272727272727271,h>h60,h5>h60,67%,long_1
PP,long_1,null,bottom deviate,1.7%,-0.039521076945286532,-0.019846253789519194,null,null,67%,long_1
ZC,long_1,null,death cross,-9.1%,-0.088195985208663272,-0.062414157422080979,h>h60,h5>h60,50%,long_1
IH,long_1,null,null,0.1%,-0.057658556500004607,-0.011009572227124346,null,null,46%,long_2
JM,long_1,null,bottom deviate,-0.5%,-0.11168303625560817,-0.058869892081969258,h>h60,h5>h60,25%,long_1
CS,long_1,null,bottom deviate,-4.1%,-0.020224194301728251,-0.015973843998131631,null,null,0%,long_1
SF,long_1,null,null,null,-0.055896577380952425,-0.037639508928571451,null,null,0%,long_2
L,null,null,null,1.2%,-0.0076141257536605743,-0.011369509043927648,null,null,80%,null
MA,null,2_long,null,-14.6%,-0.027205882352941239,-0.00082079343365256188,h<h60,h5<h60,67%,long_1
RB,null,null,null,-17.3%,-0.0029933385240937718,-0.0019724889696340277,h>h60,h5>h60,63%,short_1
IF,null,null,null,0.1%,-0.0010346648848895529,-0.0095646015332193531,null,null,53%,null
J,null,null,death cross,-8.6%,-0.0098053410553410256,0.016373069498069586,h<h60,h5<h60,50%,null
RM,null,null,null,-0.4%,-0.01734782608695656,0.016086956521739131,h<h60,h5<h60,50%,null
V,null,null,null,3.2%,0.0083079654997462761,-0.019228817858954798,null,null,50%,null
P,short_1,null,null,2.4%,0.066840411840411881,0.068790218790218738,h<h60,h5<h60,80%,short_1
TF,short_1,null,null,null,0.0065655780197005449,0.0013988249524797202,null,null,75%,short_1
M,short_1,null,null,-4.9%,0.010465949820788465,0.01673835125448022,h<h60,h5<h60,71%,short_1
HC,short_1,3_short,top deviate,-10.1%,0.0029717426780039432,0.0092630765266683377,h<h60,h5<h60,67%,short_1
AL,short_1,null,bottom deviate,2.4%,0.070232412774178923,0.066615524491419442,h>h60,h5>h60,62%,short_1
TA,short_1,null,bottom deviate,-4.5%,0.0076254346746150135,0.0084575260804768317,h>h60,h5>h60,60%,short_1
AU,short_1,null,bottom deviate,null,0.014415726246814427,0.0054058973425555653,h>h60,h5>h60,53%,short_1
BU,short_1,null,death cross,6.5%,0.030190623390005104,0.014760432766615077,h<h60,h5<h60|today,50%,null
T,short_1,null,null,null,0.013330014173708386,0.0046163230887915092,null,null,50%,short_1
JD,short_1,null,null,null,0.028132450331125779,0.032781456953642381,null,null,0%,short_1
IC,short_2,2_short,top deviate,0.1%,0.014069340646545889,0.00023897175774019946,null,null,57%,short_1
AG,short_2,null,bottom deviate,null,0.037165305943288596,-0.0067685014485119356,h<h60,null,47%,null
