,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel
FG,long_1,null,null,-6.1%,-0.058571428571428538,-0.0075261324041811526,h<h60,h5<h60|today,75%,long_1
RU,long_1,null,top deviate,14.5%,-0.0018849206349205924,-0.0065826330532212885,h>h60,h5>h60|today,59%,null
MA,long_1,null,bottom deviate,-12.9%,-0.034165232358003443,-0.015111876075731528,h>h60,h5>h60,33%,long_1
SF,long_1,null,null,null,-0.11812529890004782,-0.07699665231946437,h<h60,h5<h60|today,0%,long_1
ZC,long_1,null,null,-1.5%,-0.10564500531863479,-0.069480707861908547,h>h60,h5>h60,0%,long_1
ZN,long_2,null,bottom deviate,-1.8%,-0.028259642833432866,0.005178251344353714,h>h60,h5>h60,62%,long_2
RB,null,null,null,-19.5%,0.010565240359218173,0.033016376122556791,h<h60,h5<h60,88%,null
I,null,null,null,-0.2%,-0.016432396251673368,-0.0011378848728246242,h<h60,h5<h60,75%,long_1
M,null,3_long,null,-6.6%,-0.004309835872003725,0.0053843428976265741,h<h60,h5<h60,71%,long_1
CU,null,null,bottom deviate,-0.6%,0.011072862880091796,-0.0025435073627844713,h>h60,h5>h60,67%,null
TA,null,null,null,-4.6%,0.015001252191334859,0.019740796393689024,h<h60,h5<h60,60%,null
IC,null,null,null,-0.5%,0.014873075029810863,-0.00032817691690775215,h>h60,h5>h60,57%,short_1
RM,null,null,null,1.1%,-0.031366437374605968,0.0038478073946688813,h<h60,h5<h60,50%,long_1
V,null,null,null,2.4%,-0.0040659617321249196,-0.030438066465256798,h>h60,h5>h60,50%,null
AG,null,null,null,null,0.041940861630253616,-0.0039747301921558061,h>h60,h5>h60|today,47%,short_1
IH,null,null,null,-0.1%,-0.047293719116040016,0.0061673023280280287,h<h60,h5<h60,46%,long_1
PP,null,null,death cross,0.4%,-0.020551851851851904,0.0075333333333332522,h<h60,h5<h60|today,33%,null
JM,null,null,null,-4.2%,-0.024090173877881042,0.026041245450869426,h<h60,h5<h60,25%,long_1
J,null,null,null,-7.1%,0.0098348348348348807,0.04130380380380385,h<h60,h5<h60,17%,null
CS,null,null,gold cross,-5.5%,-0.0082420200095284328,-0.0040495474035254888,h>h60,h5>h60|today,0%,null
L,short_1,null,null,-1.0%,0.020870950610727561,0.020870950610727561,h<h60,h5<h60,80%,short_1
P,short_1,null,null,2.2%,0.058643158298198543,0.067912354669732999,h<h60,h5<h60,70%,short_1
NI,short_1,2_short,bottom deviate,-0.7%,0.02561932518775922,0.0021185965698912678,h>h60,h5>h60,69%,null
HC,short_1,null,null,-8.5%,0.005125550090603205,0.010717059280352081,h<h60,h5<h60,67%,null
AL,short_1,null,null,2.1%,0.098391710449503747,0.10879743140688854,h>h60,h5>h60|today,62%,short_1
AU,short_1,null,null,null,0.018748100881190451,0.012133090246125747,h>h60,h5>h60|today,53%,short_1
BU,short_1,null,null,2.4%,0.020553007135576024,0.025611620795107034,h<h60,h5<h60,50%,short_1
T,short_1,null,top deviate,null,0.017608738685237962,0.0096942539905337296,h<h60,h5<h60,50%,short_1
TF,short_1,null,top deviate,null,0.0092821525036370506,0.0043458688274810135,h<h60,h5<h60,50%,short_1
IF,short_1,null,bottom deviate,-0.4%,0.010072585472473323,0.0095420612744173648,h>h60,h5>h60,47%,short_1
JD,short_1,null,gold cross,null,0.0059545415262293741,0.015037593984962405,h<h60,h5<h60,0%,null
