,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel
FG,long_1,null,null,-7.0%,-0.077503429355281206,-0.034545038866026445,h<h60,h5<h60,75%,long_1
M,long_1,null,null,-5.8%,-0.016982456140350908,-0.0083684210526315476,h<h60,h5<h60|today,53%,long_1
IH,long_1,null,null,-1.0%,-0.066530916491325906,-0.0080743299644729372,h>h60,h5>h60|today,46%,null
I,long_1,null,null,0.8%,-0.015657584931046065,-0.0053481331987890561,h<h60,h5<h60,25%,long_1
JM,long_1,null,top deviate,-1.9%,-0.061053489889106374,-0.017508153946510029,h<h60,h5<h60,25%,long_1
RM,long_1,null,null,2.5%,-0.041932964067603967,-0.010481465700894721,h<h60,h5<h60|today,25%,long_1
J,long_1,null,top deviate,-4.9%,-0.054602344740177493,-0.023431558935361304,h<h60,h5<h60,17%,long_1
HC,long_1,null,null,-7.9%,-0.013525461191872814,-0.0062739097169089283,h<h60,h5<h60,100%,long_1
MA,long_1,null,death cross,-6.0%,-0.047929936305732487,-0.027197452229299392,h<h60,h5<h60,100%,long_1
SF,long_1,null,bottom deviate,null,-0.20926703499079191,-0.17763535911602213,h>h60,h5>h60,0%,null
ZC,long_1,null,null,-1.2%,-0.10161935420934567,-0.063535264852209145,h>h60,h5>h60,0%,long_1
RB,long_2,null,top deviate,-17.6%,-0.026883094751192872,0.0078732106339468762,h<h60,h5<h60,88%,null
ZN,long_2,null,null,-2.5%,-0.01403713474025974,0.023041801948051947,h<h60,h5<h60,62%,null
PP,long_2,2_long,null,-1.2%,-0.033615819209039458,-0.0027790006603565925,h>h60,h5>h60|today,33%,long_2
TA,null,3_long,null,-4.3%,-0.001594364108268514,0.0064516129032258403,h<h60,h5<h60,60%,null
V,null,null,bottom deviate,2.7%,-0.027627683197631384,-0.054724895139402957,h>h60,h5>h60,50%,null
IF,null,null,null,-1.4%,-0.0014389335299178961,0.0010705184912140307,h>h60,h5>h60|today,47%,short_1
CS,null,null,null,-5.0%,0.0078170377541142751,0.011277831558567368,h<h60,h5<h60,0%,null
JD,null,null,null,null,0.014493891797556752,0.023965968586387481,h<h60,h5<h60,0%,null
L,short_1,null,bottom deviate,-1.4%,0.019222633527234266,0.017186673717609732,h>h60,h5>h60|today,80%,short_1
P,short_1,null,null,2.3%,0.037080515902830007,0.050269221136989707,h<h60,h5<h60,70%,short_1
CU,short_1,null,null,0.1%,0.033330085736554951,0.021862821512081059,h<h60,h5<h60,67%,short_1
AL,short_1,null,null,2.2%,0.10100070224719102,0.12042954119850183,h<h60,h5<h60,62%,short_1
NI,short_1,null,bottom deviate,0.8%,0.052697780307342061,0.024746727376209449,h<h60,h5<h60,62%,short_1
IC,short_1,null,null,-1.1%,0.018795575048081894,0.006623305605797979,h>h60,h5>h60|today,57%,short_1
AU,short_1,null,top deviate,null,0.027291628447379056,0.022161071363052724,h<h60,h5<h60,53%,null
BU,short_1,null,null,3.9%,0.013090725296942116,0.028809704321455649,h<h60,h5<h60,50%,null
T,short_1,null,null,null,0.01991331459054178,0.012620746828142484,h<h60,h5<h60|today,50%,short_1
AG,short_1,null,null,null,0.061769943019943076,0.02590811965811966,h<h60,h5<h60,47%,null
TF,short_1,null,null,null,0.010393711018711787,0.0057345807345805418,h<h60,h5<h60,25%,short_1
RU,short_2,null,null,18.2%,0.026616737993342802,0.010710889205896296,h<h60,h5<h60,47%,short_2
