,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
CU,long_1,null,bottom deviate,0,-0.040805320870034155,-0.019126370663311163,h>h60,h5>h60,80,long_1,0.0
L,long_1,null,null,-1,-0.015122824974411463,-0.020760832480382185,h>h60,h5>h60,80,long_1,0.0
NI,long_1,null,null,-1,-0.048811239193083576,-0.017702758336764102,h>h60,h5>h60,77,long_1,0.0
ZN,long_1,null,gold cross,0,-0.038593162060464467,-0.013357986246269672,h>h60,h5>h60,77,long_1,0.0
FG,long_1,2_long,null,4,-0.067764945652173919,-0.0031023550724637271,h<h60,h5<h60,75,long_1,0.0
I,long_1,null,top deviate,-2,-0.070965732087227368,-0.036448598130841121,h>h60,h5>h60|today,75,long_1,0.0
PP,long_1,null,top deviate,-1,-0.039102839931153183,-0.016555507745266741,h>h60,h5>h60,67,long_1,0.0
TA,long_1,null,null,1,-0.016992990089436832,-0.01792965917331393,h>h60,h5>h60,60,null,2.9
ZC,long_1,null,top deviate,14,-0.055854241338111878,-0.029048550016291828,h<h60,h5<h60,50,long_1,0.0
JM,long_1,null,top deviate,4,-0.06843396226415091,-0.0053081761006289075,h<h60,h5<h60,25,null,2.6
CS,long_2,3_long,top deviate,6,-0.0049952874646559424,0.0032987747408105561,h<h60,h5<h60,0,long_2,0.0
AG,null,null,bottom deviate,0,0.0092354504157023693,-0.014579583440473082,h>h60,h5>h60,71,null,0.0
RU,null,3_long,bottom deviate,-16,-0.0014792550683639363,0.0045733144743045307,h<h60,h5<h60,71,null,0.0
AU,null,3_short,bottom deviate,0,0.00072568070049132806,-0.0098416696653475001,h>h60,h5>h60,65,null,0.0
IC,null,null,null,0,0.0050093852812182699,-0.00079470286458921738,h<h60,h5<h60,58,short_1,0.0
IF,null,null,top deviate,0,0.0055695218556160329,-0.00031735641262638827,h<h60,h5<h60,53,short_1,0.0
RM,null,null,death cross,-2,-0.018506071118820546,0.013031222896791058,h<h60,h5<h60|today,50,long_2,0.0
V,null,null,gold cross,-4,-0.0025612193903048019,-0.02423788105947031,h>h60,null,50,short_2,0.0
IH,null,null,top deviate,-1,-0.0085276687120136498,0.0031341503068011518,h<h60,h5<h60,46,null,0.0
BU,null,null,null,-6,0.01335111788617885,-0.0022865853658536584,h>h60,h5>h60,25,null,0.0
TF,short_1,null,null,0,0.0063511410788389426,0.00074170124481298672,h<h60,null,75,null,2.0
P,short_1,null,bottom deviate,-2,0.057701149425287319,0.053601532567049845,h>h60,h5>h60,70,short_1,0.0
AL,short_1,null,null,-3,0.037009237875288682,0.020147366105795705,h>h60,h5>h60,69,short_1,0.0
HC,short_1,null,gold cross,9,0.0050588336339431102,0.0054753929399639269,h<h60,h5<h60,67,short_1,0.0
J,short_1,null,top deviate,19,0.037579087579087476,0.036463536463536464,h<h60,h5<h60,67,short_1,0.0
MA,short_1,null,top deviate,13,0.0081500872600348724,0.012914485165794066,h<h60,h5<h60,67,short_1,0.0
M,short_1,null,death cross,4,0.018365142239827152,0.019193374144760598,h<h60,h5<h60,65,short_1,0.0
RB,short_1,2_short,gold cross,12,0.012554680664916926,0.0034908136482940111,h<h60,h5<h60,63,short_1,0.0
T,short_1,null,null,0,0.011816689981706312,0.0019190071379886454,h>h60,h5>h60,50,null,2.5
JD,short_1,null,null,0,0.014969903166710237,0.0050379481811044227,h>h60,h5>h60,0,short_1,0.0
SF,short_1,null,top deviate,0,0.043051297772327836,0.062584304107909286,h<h60,h5<h60,0,short_1,0.0
