,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel
NI,long_1,null,null,2.5%,-0.042239757525083611,-0.022752926421404682,h>h60,null,77%,long_1
ZN,long_1,null,top deviate,0.5%,-0.036475864318330026,-0.0084507501630789773,h>h60,null,77%,null
FG,long_1,null,bottom deviate,-3.6%,-0.080436000896659948,-0.018919524770230962,h<h60,null,75%,long_1
I,long_1,null,null,3.5%,-0.05271669853409814,-0.024760994263862312,h<h60,h5<h60|today,75%,long_1
CU,long_1,null,null,1.4%,-0.039844174669324155,-0.027341909766262003,h>h60,h5>h60,73%,long_1
RU,long_1,null,gold cross,15.5%,-0.012548060118839566,-0.010078061283933314,h>h60,null,71%,null
PP,long_1,null,null,1.9%,-0.047826203208556073,-0.028604278074866388,h>h60,h5>h60,67%,long_1
IH,long_1,null,null,0.3%,-0.053813282945951946,-0.0088201644013672729,h>h60,h5>h60,54%,long_1
ZC,long_1,null,top deviate,-10.2%,-0.085867616033754882,-0.059493670886075808,h<h60,h5<h60,50%,long_1
JM,long_1,null,top deviate,-1.1%,-0.075285517068273147,-0.017683232931726918,h<h60,h5<h60,25%,long_1
RM,long_2,null,null,0.5%,-0.027461306964746347,0.0030954428202922693,h>h60,h5>h60|today,50%,null
L,null,null,null,1.4%,-0.019566326530612244,-0.025697278911564689,h>h60,h5>h60,80%,null
MA,null,null,top deviate,-15.1%,-0.0088773747841104731,0.0085664939550950548,h<h60,h5<h60,67%,null
AG,null,null,null,null,0.022376864377384724,-0.011706555671175858,h>h60,h5>h60,65%,null
AU,null,null,bottom deviate,null,0.0071527652131952854,-0.0032386466437488029,h>h60,h5>h60,65%,null
TA,null,null,null,-3.5%,-0.0066127847171197646,-0.0064474650991918373,h>h60,h5>h60,60%,short_1
V,null,null,gold cross,2.3%,-0.0089863184079601536,-0.036119402985074628,h>h60,null,50%,short_2
CS,null,null,top deviate,-6.9%,-0.0055056710775047693,0.0022684310018904453,h<h60,h5<h60,0%,null
SF,null,null,top deviate,null,0.0071922544951591224,0.028571428571428598,h<h60,h5<h60,0%,null
P,short_1,null,null,2.6%,0.066724604094244883,0.065057293678382921,h<h60,h5<h60,80%,short_1
TF,short_1,null,death cross,null,0.0056039097848247675,0.00023745380444146536,h>h60,h5>h60,75%,null
AL,short_1,null,death cross,5.0%,0.075873586844809868,0.064822427772068106,h<h60,h5<h60|today,69%,short_1
HC,short_1,3_short,top deviate,-8.8%,0.0042397660818713611,0.011287409700722395,h<h60,h5<h60,67%,short_1
M,short_1,3_short,null,-5.6%,0.0014184397163120568,0.0042021276595744358,h>h60,h5>h60|today,65%,short_1
IC,short_1,2_short,top deviate,0.3%,0.011540809344960733,0.0034955285920575591,h<h60,h5<h60,57%,short_1
J,short_1,null,top deviate,-11.2%,0.0192073672093406,0.035360138135175224,h<h60,h5<h60,50%,short_1
T,short_1,2_short,death cross,null,0.011498145460409207,0.0021994660359435508,h>h60,h5>h60,50%,short_1
BU,short_1,null,null,5.6%,0.022495516269536244,0.0054573405073020057,h<h60,h5<h60,25%,short_1
JD,short_1,null,death cross,null,0.024874570900448856,0.02236598890942694,h<h60,h5<h60,0%,short_1
RB,short_2,2_short,null,-11.0%,0.0051127950526957426,0.0012803762738437655,h<h60,h5<h60,63%,short_2
IF,short_2,3_short,null,0.4%,0.0014096055656201048,-0.0063466348598320409,h>h60,h5>h60,53%,short_2
