,日线趋势,小时线趋势,KDJ背离,MACD背离,基差贴水率,价差贴水率,季节性胜率
RM809,Long_1,h5>h60,top,top,-0.00377358490566,0.0578842315369,0.6
HC1810,Long_1,h5>h60,null,null,0.105965676927,0.0482581382067,0.25
RB1810,Long_1,h5>h60,null,null,0.144463181563,0.0473947600824,0.222222222222
J1809,Long_1,h5>h60,null,null,-0.044885177453,0.0276213462054,0.285714285714
T1806,Long_1,h5>h60,top,null,,0.000158445125172,0.666666666667
TF1806,Long_1,h5>h60,top,null,,0.000766518473095,0.5
TA809,Long_1,h5<h60,top,null,0.00251076040172,0.00758944705457,0.2
CU1806,Long_1,h5<h60,null,null,-0.00193836014732,-0.00328438948995,0.3
FG809,Null,null,null,null,0.0572049239681,0.0399096385542,0.6
JM1809,Null,h5>h60,null,null,0.112537441164,0.0281566212055,0.2
L1809,Null,h5>h60,null,null,0.0107991360691,0.00706905927134,0.4
PP1809,Null,h5>h60,null,null,0.00223964165733,0.00168255748738,0.5
V1809,Null,h5>h60,null,null,-0.00587803085966,0.022539444027,0.125
IC1805,Null,h5<h60,null,null,0.0071610636539,0.00634337412042,0.333333333333
NI1807,Null,h5<h60,null,null,-0.00193517174649,0.000484027105518,0.666666666667
IF1805,Null,h5<h60,null,null,0.00537827274187,0.00413978494624,0.25
M1809,Null,h5<h60,null,null,-0.0157430730479,-0.0109000311429,0.7
I1809,Null,h5<h60,null,null,-0.0107411385607,0.00976138828633,0.25
MA809,Null,h5<h60,null,null,0.126549004882,-0.0277473530486,0.166666666667
ZC809,Null,h5<h60,null,null,0.000336813742001,-0.0123087159015,0.25
IH1805,Null,h5<h60,null,null,-0.000217505437636,0.00444477926774,0.0
CF809,Null,h5<h60,null,null,-0.00564935064935,-0.0381011867583,0.5
BU1806,Null,h5<h60,null,null,0.00215517241379,-0.0459218642906,0.25
JD1809,Null,h5<h60,null,null,,0.0483870967742,0.5
SR809,Short_1,h5>h60,bottom,bottom,0.0233066278223,0.000911244760343,0.3
ZN1806,Short_1,h5<h60,null,bottom,0.0141439729787,0.00615972812234,0.4
CS1809,Short_1,h5<h60,null,bottom,0.0608203677511,-0.00141242937853,0.333333333333
C1809,Short_1,h5<h60,null,null,0.0422698320787,-0.0231900452489,0.4
AL1806,Short_1,h5<h60,null,null,-0.00104420466411,-0.00588235294118,0.4
A1809,Short_1,h5<h60,null,null,-0.0337784760408,-0.0220230473752,0.7
P1809,Short_1,h5<h60,bottom,null,0.00120385232745,-0.00439472632841,0.3
Y1809,Short_1,h5<h60,null,null,-0.0149930264993,-0.0238257317903,0.4
RU1809,Short_1,h5<h60,bottom,bottom,-0.0963222416813,-0.150297619048,0.3
