,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,焦煤,螺纹钢,天胶,沥青,玉米,沪金,沪金,动力煤,甲醇,沥青,玉米,沪铜,玻璃
1,焦炭,豆粕,沪金,PTA,塑料,焦煤,沪银,聚丙烯,铁矿石,玉米,铁矿石,沪锌,沪锌
2,PVC,热卷,沥青,沪锌,焦煤,聚丙烯,焦炭,玻璃,沪银,菜粕,棉花,沪铝,沪铝
3,铁矿石,玻璃,沪银,沪镍,沥青,玉米,沥青,沥青,沪铜,螺纹钢,沪铝,PTA,沪铜
4,沥青,焦煤,豆粕,沪金,淀粉,PVC,沪铜,沪银,沪镍,沪银,焦炭,白糖,鸡蛋
