,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,沪金,玻璃,甲醇,焦煤,豆一,焦煤,淀粉,动力煤,淀粉,白糖,沪金,豆粕,豆粕
1,沪银,焦煤,焦煤,焦炭,沪镍,热卷,甲醇,铁矿石,动力煤,棉花,动力煤,天胶,PVC
2,菜粕,沪铝,豆一,甲醇,玻璃,沥青,焦炭,菜粕,螺纹钢,棕榈油,甲醇,沪镍,沪银
3,白糖,热卷,沪铝,玻璃,甲醇,玻璃,动力煤,热卷,豆一,沪铜,淀粉,沪金,沪金
4,玉米,铁矿石,天胶,白糖,铁矿石,铁矿石,棉花,豆一,棉花,豆油,沪银,铁矿石,沪镍
