,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel
FG,long_1,null,gold cross,-7.9%,-0.081936906377204952,-0.029850746268656716,h>h60,null,75%,long_1
I,long_1,null,null,-2.0%,-0.075863151286880148,-0.058819836785938509,h>h60,h5>h60|today,75%,null
ZN,long_1,null,null,-1.6%,-0.045092194422726044,-0.012607505863956215,h>h60,h5>h60,62%,long_2
RU,long_1,null,null,15.8%,-0.030631244323342376,-0.032447774750227108,h>h60,h5>h60,59%,long_1
MA,long_1,null,null,-15.8%,-0.044504748982360863,-0.023168249660787035,h>h60,h5>h60,33%,long_1
JM,long_1,null,null,-7.5%,-0.082350151745068212,-0.033586241780475458,h>h60,h5>h60|today,25%,null
CS,long_1,null,null,-4.3%,-0.015651558073654433,-0.010623229461756374,h>h60,h5>h60,0%,null
SF,long_1,null,top deviate,null,-0.12960798067181051,-0.087491232172083197,h<h60,h5<h60,0%,long_1
ZC,long_1,null,null,-1.2%,-0.11395265423242477,-0.07853658536585334,h>h60,h5>h60,0%,long_1
RB,long_2,null,top deviate,-19.4%,-0.013467147023503212,0.0040916109109624529,h>h60,null,88%,null
HC,long_2,null,null,-9.1%,-0.021395036887994618,-0.015052816901408427,h>h60,h5>h60|today,67%,short_1
J,long_2,null,gold cross,-10.6%,-0.054276392449312538,-0.024271731531111545,h>h60,h5>h60|today,33%,null
CU,null,null,null,-0.0%,-0.01572093023255814,-0.028148837209302325,h>h60,h5>h60,73%,null
M,null,3_long,null,-6.4%,-0.00020144566891809672,0.0097404905794525737,h<h60,h5<h60,71%,null
NI,null,null,null,0.1%,-0.022525360384410036,-0.041655098772023488,h>h60,h5>h60,69%,short_1
RM,null,null,top deviate,0.6%,-0.031547107674684965,0.0041881443298969071,h<h60,h5<h60,50%,null
V,null,null,top deviate,2.5%,-0.018488228004956586,-0.04401486988847584,h>h60,h5>h60,50%,null
AG,null,null,bottom deviate,null,0.041225528926345352,-0.0051619699762970525,h>h60,h5>h60,47%,null
PP,null,null,null,0.6%,-0.023757512074622948,0.0025660878221436486,h<h60,h5<h60,33%,null
JD,null,null,null,null,-0.0032426420260095513,0.0051976386036960984,h<h60,h5<h60,0%,short_1
L,short_1,null,top deviate,-1.3%,0.017028410093523974,0.016693135697900058,h<h60,h5<h60,90%,short_1
P,short_1,null,gold cross,1.6%,0.044821608673726629,0.052439485627836645,h<h60,h5<h60,70%,short_1
AL,short_1,null,null,1.7%,0.078993234720788855,0.086756105951152393,h>h60,h5>h60,69%,short_1
TA,short_1,null,top deviate,-4.8%,0.011410400299289188,0.015375982042648676,h<h60,h5<h60,60%,null
AU,short_1,null,bottom deviate,null,0.018591146783411644,0.011592484494709992,h>h60,h5>h60,53%,short_1
BU,short_1,null,top deviate,6.9%,0.0094931921331315849,0.0098335854765506815,h>h60,null,50%,short_1
