,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
CU,long_1,null,null,0,-0.032738957277335265,-0.0094496741491672705,h>h60,null,80,long_1,0.0
L,long_1,null,null,-1,-0.033040495314591758,-0.038403614457831324,h>h60,h5>h60,80,long_1,0.0
NI,long_1,null,null,-1,-0.066411675893306488,-0.03400100654252642,h>h60,h5>h60,77,long_1,0.0
ZN,long_1,null,null,0,-0.044639752752559395,-0.020932328890605839,h>h60,h5>h60,77,long_1,0.0
I,long_1,null,null,-2,-0.085889194980104042,-0.049586776859504134,h>h60,h5>h60,75,long_1,0.0
PP,long_1,null,null,-1,-0.058028787080919811,-0.035381779884149631,h>h60,h5>h60,67,long_1,0.0
TA,long_1,null,null,1,-0.024574646537263403,-0.026383896477354455,h>h60,h5>h60,60,long_1,0.0
IF,long_1,null,null,0,-0.00965640458383921,-0.014143032469948538,h>h60,h5>h60|today,53,null,2.6
V,long_1,null,null,-4,-0.019428080510554783,-0.038438880706921946,h>h60,h5>h60|today,50,null,1.9
ZC,long_1,null,top deviate,14,-0.053426892950391283,-0.026403394255874405,h<h60,h5<h60,50,long_1,0.0
JM,long_1,null,top deviate,4,-0.074784885895997036,-0.01088664421997752,h>h60,null,25,long_1,0.0
RU,long_2,null,null,-16,-0.015115603578482673,-0.0087254560241663334,h>h60,h5>h60|today,71,null,0.9
IH,long_2,null,null,-1,-0.023744685276935962,-0.010779038862892502,h>h60,h5>h60|today,46,null,1.8
CS,long_2,null,null,6,-0.011669784845650056,-0.0045369504209540777,h>h60,h5>h60|today,0,long_2,0.0
FG,null,null,null,4,-0.061543715846994473,0.0033925318761384542,h<h60,h5<h60,75,long_1,0.0
TF,null,null,null,0,0.0054117433665015922,-0.0002237078496410417,h<h60,null,75,short_1,0.0
AG,null,null,null,0,0.0059102564102564573,-0.014948717948717995,h>h60,h5>h60,71,null,0.0
HC,null,null,null,9,-0.0067175572519084202,-0.0093384223918574604,h>h60,h5>h60|today,67,short_1,0.0
MA,null,null,null,13,-0.010475864429989698,-0.0077713111947962403,h>h60,h5>h60|today,67,short_1,0.0
AU,null,null,null,0,-0.004362095715479684,-0.014509488005728639,h>h60,h5>h60,65,null,0.0
RB,null,null,null,12,-0.002779211839614579,-0.013500258131130661,h>h60,h5>h60|today,63,short_1,0.0
IC,null,null,null,0,-0.012067065893493923,-0.016765578536555015,h>h60,h5>h60,58,null,0.0
RM,null,null,null,-2,-0.01060341058154788,0.019588981198076161,h<h60,h5<h60,50,null,0.0
BU,null,null,null,-6,-0.0064351506099078123,-0.021359223300970807,h>h60,h5>h60,25,null,0.0
JD,null,null,null,0,0.0086888657648283279,-0.0031737773152965189,h>h60,h5>h60,0,short_1,0.0
P,short_1,null,null,-2,0.037298008267568586,0.032707002380057609,h>h60,h5>h60,70,short_1,0.0
AL,short_1,null,death cross,-3,0.042534261715296159,0.023386383731211276,h>h60,h5>h60,69,short_1,0.0
J,short_1,null,gold cross,19,0.028755258599356549,0.022259341747092258,h<h60,h5<h60,67,short_1,0.0
M,short_1,null,top deviate,4,0.021928872814948722,0.021410488245931218,h<h60,h5<h60,65,short_1,0.0
T,short_1,null,null,0,0.011211950091427111,0.0011903481409769967,h<h60,null,50,short_1,0.0
SF,short_1,null,null,0,0.050736278447121752,0.06628050664195248,h<h60,h5<h60,0,short_1,0.0
