,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel
FG,long_1,null,null,-8.2%,-0.07367606602475929,-0.027854195323246216,h<h60,h5<h60,75%,long_1
M,long_1,null,null,-6.1%,-0.014957865168539294,-0.0059515449438201605,h<h60,h5<h60,71%,long_1
I,long_1,null,top deviate,1.6%,-0.027058432934926921,-0.014940239043824702,h<h60,h5<h60,50%,long_1
RM,long_1,null,top deviate,1.9%,-0.041719903463941006,-0.0086882453151618782,h<h60,h5<h60,50%,long_1
MA,long_1,null,null,-14.6%,-0.053690476190476157,-0.041836734693877553,h>h60,h5>h60,33%,long_1
JM,long_1,null,top deviate,-0.8%,-0.063733125649013442,-0.017860851505711366,h<h60,h5<h60,25%,long_1
J,long_1,null,top deviate,-2.1%,-0.049996043990822032,-0.020484215523380058,h<h60,h5<h60,17%,long_1
SF,long_1,null,null,null,-0.18590176227971508,-0.15088863892013493,h>h60,h5>h60,0%,long_1
ZC,long_1,null,null,-1.2%,-0.10404886816282941,-0.066690955017973189,h>h60,h5>h60,0%,long_1
RB,long_2,null,null,-17.7%,-0.019096597240078908,0.014271020827976344,h<h60,h5<h60,88%,long_2
ZN,long_2,null,null,-1.9%,-0.024719382641811987,0.010589964588761991,h>h60,h5>h60|today,62%,long_2
PP,long_2,null,null,-0.1%,-0.039316542832167914,-0.010150786713286673,h>h60,h5>h60,33%,long_2
HC,long_2,null,null,-8.9%,-0.012250276290062052,-0.0058530986993113538,h<h60,h5<h60,100%,long_1
NI,null,2_short,null,-1.7%,0.025027858257187431,0.0005237352351236907,h>h60,h5>h60|today,69%,short_1
TA,null,3_long,top deviate,-5.4%,-0.0034121704853411388,0.0029379157427937242,h<h60,h5<h60,60%,null
V,null,null,bottom deviate,3.4%,-0.024851742031134175,-0.051346676550531212,h>h60,h5>h60,50%,null
IH,null,null,bottom deviate,-0.0%,-0.051452324978907754,0.0053383735300386896,h<h60,h5<h60|today,46%,long_1
JD,null,null,top deviate,null,0.012262837249782428,0.021749347258485686,h<h60,h5<h60,0%,null
L,short_1,null,null,-1.8%,0.0095263065897570991,0.0088446075860864129,h>h60,h5>h60,80%,short_1
P,short_1,null,top deviate,1.9%,0.036452077077076997,0.04847347347347343,h<h60,h5<h60,70%,short_1
CU,short_1,2_short,null,-0.5%,0.016087540794778268,0.0040890765981954312,h>h60,h5>h60|today,67%,short_1
AL,short_1,null,top deviate,2.5%,0.099167542937259032,0.11548078046500763,h<h60,h5<h60,62%,short_1
IC,short_1,null,bottom deviate,-0.3%,0.024357934121263646,0.010813263918150007,h>h60,h5>h60,57%,short_1
BU,short_1,null,null,2.7%,0.02733333333333331,0.039384615384615421,h<h60,h5<h60,50%,short_1
T,short_1,null,null,null,0.019939156300702872,0.012466197944834468,h<h60,h5<h60,50%,short_1
AG,short_1,null,bottom deviate,null,0.063558413719185372,0.022400857449088936,h<h60,h5<h60,47%,short_1
AU,short_1,null,null,null,0.02879205736348546,0.023064901636330133,h<h60,h5<h60,47%,short_1
IF,short_1,null,bottom deviate,-0.3%,0.010228165765192213,0.011682933801303294,h<h60,null,47%,null
TF,short_1,null,null,null,0.010687605082073328,0.0059435286776557241,h<h60,h5<h60,25%,short_1
CS,short_1,null,top deviate,-6.1%,0.0052415458937197625,0.0087439613526569607,h<h60,h5<h60,0%,null
RU,short_2,2_short,top deviate,15.4%,0.015133286152394475,0.0037744751120547728,h<h60,h5<h60,53%,short_2
