,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
ZC,long_1,null,bottom deviate,15,-0.071490394764618367,-0.042558581380620818,h<h60,null,100,long_1,5.0
FG,long_1,null,null,3,-0.073552660877310189,-0.012224448897795561,h>h60,h5>h60,75,long_1,3.4
L,long_1,null,null,-3,-0.045055035321176336,-0.044488253655331093,h>h60,h5>h60,70,long_1,2.5
TA,long_1,null,null,3,-0.026796690307328584,-0.022925531914893649,h<h60,h5<h60|today,70,long_1,3.3
IC,long_1,null,null,0,-0.018521541145648305,-0.014778975014574123,h>h60,h5>h60,67,long_1,2.8
MA,long_1,2_long,null,11,-0.0099559769725702987,-0.0037588892651540498,h<h60,h5<h60|today,67,long_1,4.3
PP,long_1,null,null,-2,-0.065558946243232982,-0.031974759491052072,h>h60,h5>h60,67,long_1,2.5
AU,long_1,null,null,0,-0.011985551015574723,-0.012888612542192212,h>h60,h5>h60,65,long_1,2.8
V,long_1,null,top deviate,-3,-0.01974743777452416,-0.023670082967301168,h>h60,h5>h60|today,63,long_1,2.3
IF,long_1,null,null,0,-0.037524338415132384,-0.032295920275975665,h>h60,h5>h60,60,long_1,2.7
IH,long_1,null,null,0,-0.048527180877387888,-0.023629636380508929,h>h60,h5>h60,54,long_1,2.6
I,long_1,null,null,-1,-0.075696357514539278,-0.02861952861952869,h<h60,h5<h60|today,50,long_1,2.3
BU,long_1,null,null,-14,-0.026780523255813888,-0.018095930232558205,h>h60,h5>h60,25,long_1,0.5
JM,long_1,null,null,1,-0.072098902454063335,-0.011431742508324119,h<h60,h5<h60|today,25,long_1,2.2
ZN,long_1,null,null,0,-0.055906992918563436,-0.036573722812341884,h>h60,h5>h60,0,long_1,1.5
RU,long_2,null,null,-14,-0.0096503496503496499,-0.0032051282051282475,h>h60,h5>h60,76,short_1,1.0
NI,null,2_long,null,-1,-0.024517005433688871,-0.002294224189977863,h<h60,h5<h60|today,77,long_1,0.0
RM,null,null,null,-2,0.0068788958147817537,0.024755120213713226,h<h60,h5<h60,75,null,0.0
CU,null,3_long,null,-1,-0.00076656324146742109,0.0050556670925351339,h<h60,h5<h60|today,67,long_2,0.0
AG,short_1,2_short,top deviate,0,0.0043455901259964232,2.5713551041375432e-05,h>h60,null,76,short_1,2.0
M,short_1,null,null,4,0.028913308913308934,0.020274725274725243,h<h60,h5<h60,71,short_1,1.5
HC,short_1,null,death cross,7,0.016188239387613074,0.010686325678496821,h<h60,h5<h60|today,67,null,1.1
RB,short_1,null,death cross,5,0.015884317862165907,0.007647679324894515,h<h60,h5<h60|today,63,null,1.5
AL,short_1,null,null,-1,0.047537816053881014,0.015391409959147661,h<h60,h5<h60,54,short_1,2.6
CS,short_1,3_short,top deviate,6,0.0011753643629525152,0.0023977433004230882,h<h60,h5<h60,50,short_1,1.6
J,short_1,null,null,10,0.026775820722732175,0.016720416770032161,h<h60,h5<h60,50,short_2,1.0
P,short_1,null,null,-3,0.04803698074974673,0.038665146909827842,h<h60,h5<h60,50,short_1,2.9
SF,short_1,null,null,0,0.046613135680461208,0.021927115503397158,h>h60,null,50,short_1,2.5
T,short_1,null,gold cross,0,0.016698273370899786,0.0057316500505703496,h<h60,h5<h60,50,short_1,2.5
JD,short_1,null,null,0,0.027087813620071743,0.018118279569892499,h<h60,h5<h60,0,short_1,3.5
TF,short_2,null,top deviate,0,0.0077600104004168216,0.0019587450164670218,h<h60,h5<h60,75,short_2,1.5
