,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
ZC,long_1,null,null,14,-0.074470899470899049,-0.04633333333333324,h>h60,h5>h60,100,long_1,5.0
NI,long_1,null,null,-2,-0.033166598611678234,-0.0072784810126582276,h<h60,h5<h60|today,77,long_1,2.7
FG,long_1,null,null,6,-0.077372994652406421,-0.016377005347593582,h>h60,h5>h60|today,75,null,3.9
I,long_1,null,null,-2,-0.082638252367858211,-0.041796516956920174,h>h60,h5>h60,75,long_1,2.7
AU,long_1,null,top deviate,0,-0.0071624114741423153,-0.013738618103910106,h>h60,h5>h60,71,long_1,2.9
L,long_1,null,null,-3,-0.028500837520938085,-0.034606365159129036,h>h60,h5>h60,70,long_1,2.5
TA,long_1,null,null,4,-0.041526019690576621,-0.041191983122362899,h>h60,h5>h60,70,long_1,3.5
ZN,long_1,null,bottom deviate,0,-0.04898233486943164,-0.027700972862263137,h>h60,h5>h60,69,long_1,2.9
IC,long_1,null,null,0,-0.02753420704176263,-0.025352016411550653,h>h60,h5>h60,67,long_1,2.8
MA,long_1,null,null,11,-0.024673585537328364,-0.029394040843655902,h>h60,h5>h60,67,long_1,4.3
PP,long_1,null,null,-1,-0.056306424522359858,-0.02839072013436917,h>h60,h5>h60,67,long_1,2.7
IF,long_1,null,null,1,-0.027251028786781695,-0.024649474639033175,h>h60,h5>h60,60,long_1,2.9
IH,long_1,null,null,1,-0.031025324664300708,-0.017001948834604427,h>h60,h5>h60,54,long_1,2.7
V,long_1,null,null,-3,-0.022781029017312805,-0.035479151426481344,h>h60,h5>h60,38,long_1,1.8
BU,long_1,null,bottom deviate,-12,-0.0067262347977165328,-0.013402829486224869,h>h60,h5>h60,25,long_1,0.5
JM,long_1,null,null,2,-0.09289224608664004,-0.030323989807062315,h>h60,h5>h60,25,long_1,2.3
CU,null,null,null,-1,-0.0071362968405584131,0.011609110947832476,h<h60,h5<h60,80,null,0.0
RU,null,null,null,-14,0.008511522927061017,0.014326443335709194,h<h60,h5<h60,76,null,0.0
RM,null,null,null,-1,-0.010986007870572802,0.012418014866637557,h<h60,h5<h60,75,long_2,0.0
TF,null,null,gold cross,0,0.0055703938042398777,-0.0002523942882828058,h<h60,h5<h60,75,short_2,0.0
AG,null,null,top deviate,0,0.0061380964619206406,-0.0032896427653559962,h<h60,h5<h60|today,71,short_2,0.0
J,null,3_short,null,14,0.0027342179332528419,-0.0082870928829916445,h>h60,h5>h60,67,null,0.0
CS,null,3_long,null,4,-0.00070654733867169103,0.0038153556288270884,h<h60,null,50,long_1,0.0
HC,short_1,null,null,9,0.022213487071977695,0.015788784067085955,h<h60,h5<h60,67,short_1,0.8
M,short_1,null,null,5,0.017280385078219059,0.011570397111913423,h<h60,h5<h60,65,short_1,1.4
RB,short_1,null,bottom deviate,7,0.020590048436811993,0.0049669749009247505,h<h60,h5<h60,63,short_2,1.2
AL,short_1,null,null,-3,0.053307675145024505,0.025942659526996918,h<h60,h5<h60|today,54,short_1,2.9
P,short_1,null,death cross,-3,0.039218455743879471,0.032718141870684288,h<h60,null,50,short_1,2.9
T,short_1,null,top deviate,0,0.013517329448371071,0.0028372812460649897,h<h60,h5<h60,50,short_1,2.5
JD,short_1,null,null,0,0.037562724014336864,0.024341397849462414,h<h60,h5<h60,0,short_1,3.5
SF,short_1,null,null,0,0.060904836193447678,0.052418096723868955,h<h60,h5<h60,0,short_1,3.5
