,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel
FG,long_1,null,top deviate,-5.4%,-0.083179749715585907,-0.043230944254834987,h<h60,h5<h60,75%,long_1
M,long_1,null,null,-4.6%,-0.02353694008144272,-0.015235602094240869,h<h60,null,53%,long_1
I,long_1,null,top deviate,3.5%,-0.042968238375900462,-0.034806810740013044,h<h60,h5<h60,25%,long_1
JM,long_1,null,top deviate,6.6%,-0.051380631523318752,-0.0094728497820055855,h<h60,h5<h60,25%,long_1
RM,long_1,null,death cross,3.0%,-0.047863700564971814,-0.018156779661016909,h>h60,h5>h60,25%,long_1
J,long_1,null,top deviate,6.8%,-0.044723699049460275,-0.012191880135331033,h<h60,h5<h60,17%,null
HC,long_1,null,top deviate,-6.3%,-0.019957698815566804,-0.011243654822335072,h<h60,h5<h60,100%,null
MA,long_1,null,null,-4.3%,-0.050286989795918308,-0.034088010204081663,h>h60,h5>h60,100%,long_1
ZC,long_1,null,top deviate,-2.4%,-0.0983774509803923,-0.05975980392156828,h>h60,h5>h60|today,0%,long_1
RB,long_2,null,top deviate,-16.8%,-0.032356439007815159,0.0035168195718654899,h<h60,h5<h60,88%,null
PP,long_2,null,null,3.4%,-0.027531973090855272,0.005566644488800258,null,null,33%,null
ZN,null,null,top deviate,-1.5%,-0.016815265113137502,0.021526511313745406,h<h60,h5<h60,62%,null
TA,null,3_long,null,-3.9%,-0.0029168211593128615,0.0067111605487578455,h<h60,h5<h60,60%,null
BU,null,null,top deviate,6.0%,0.0080442433383610418,0.026244343891402681,h<h60,h5<h60,50%,null
V,null,null,null,3.6%,-0.03179581795817963,-0.058450184501845019,null,null,50%,null
IH,null,null,null,1.6%,-0.056739509680062188,0.0042480962119667088,null,null,46%,null
CS,null,3_long,null,-3.5%,-0.0025395304264495362,0.0016291327264015768,null,null,0%,null
JD,null,null,top deviate,null,0.0021296775306086707,0.011562338334195505,null,null,0%,null
L,short_1,null,null,1.3%,0.019193519985912948,0.016446557492516223,null,null,80%,short_1
IC,short_1,null,null,-0.8%,0.033644539700861335,0.023200641932956408,null,null,67%,short_1
NI,short_1,null,null,0.9%,0.049904138942145029,0.021754821247321528,h<h60,h5<h60,62%,short_1
CU,short_1,null,top deviate,0.2%,0.030891781620361377,0.022479114047017679,h<h60,h5<h60,60%,short_1
P,short_1,null,null,3.4%,0.038565964384248766,0.052859292701279155,h<h60,h5<h60,56%,short_1
AL,short_1,null,gold cross,3.4%,0.093168874941887456,0.11545211529521157,h<h60,h5<h60,54%,short_1
T,short_1,null,null,null,0.018077511015196258,0.010951353295566615,null,null,50%,short_1
IF,short_1,null,null,1.0%,0.014555620500676773,0.018335801247944514,null,null,47%,short_1
TF,short_1,null,null,null,0.009049077101389932,0.004467452038680356,null,null,25%,short_1
RU,short_2,null,top deviate,15.7%,0.026486614546315995,0.00650319829424307,h<h60,h5<h60,47%,short_2
