,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
L,long_1,null,null,-2,-0.031461988304093629,-0.037610693400167025,null,null,80,long_1,2.8
NI,long_1,null,null,-1,-0.039482266612311454,-0.011475743986954749,h>h60,h5>h60,77,long_1,2.9
I,long_1,null,bottom deviate,-2,-0.06866262814538672,-0.027834731283007046,h>h60,h5>h60,75,long_1,2.7
AU,long_1,null,top deviate,0,-0.0053538424849466646,-0.013405473081738516,h>h60,h5>h60,71,null,2.9
TA,long_1,null,bottom deviate,4,-0.032622601279317764,-0.03354655294953806,h>h60,h5>h60,70,long_1,3.5
ZN,long_1,null,null,0,-0.045100397741852663,-0.023992814985886533,h>h60,h5>h60,69,long_1,2.9
IC,long_1,null,bottom deviate,0,-0.025377318425597522,-0.024184607892789194,null,null,67,long_1,2.8
MA,long_1,null,bottom deviate,10,-0.0064422419685577267,-0.011380724538619338,h>h60,h5>h60,67,long_1,4.3
PP,long_1,null,bottom deviate,-2,-0.055722374141074095,-0.029222759781236892,null,null,67,long_1,2.5
IF,long_1,null,null,0,-0.023570729487566725,-0.022385615221988026,null,null,60,long_1,2.7
CS,long_1,null,null,5,-0.013634248487668768,-0.0076314564913913868,null,null,50,long_1,3.3
ZC,long_1,null,null,14,-0.077200211304806698,-0.049355520338087482,h>h60,h5>h60,50,long_1,4.0
IH,long_1,null,null,0,-0.028051327826960477,-0.014849479600049975,null,null,46,long_1,2.4
V,long_1,null,null,-2,-0.022877013177159591,-0.036774036115178182,null,null,38,long_1,2.0
BU,long_1,null,null,-12,-0.012320987654321066,-0.022074074074074041,h>h60,h5>h60,25,long_1,0.5
JM,long_1,null,bottom deviate,2,-0.083980969920196394,-0.020184162062615169,h>h60,h5>h60,25,long_1,2.3
RM,long_2,null,top deviate,-1,-0.014072943911653576,0.011094158674803756,h<h60,h5<h60,75,null,2.3
CU,null,null,null,0,-0.0095203087667708134,0.011450101084359492,h<h60,h5<h60,80,long_1,0.0
FG,null,null,null,7,-0.055237605665981286,0.0077221841443911249,h<h60,h5<h60,75,long_1,0.0
RU,null,null,death cross,-15,0.0066583659433179605,0.013115142891023404,h<h60,h5<h60,71,null,0.0
J,null,null,bottom deviate,13,0.0077699701154995407,-0.0040949842500604882,h>h60,h5>h60,67,null,0.0
HC,short_1,null,null,10,0.018772845953002635,0.013315926892950391,h<h60,h5<h60,67,short_1,0.7
M,short_1,null,null,6,0.014544364508393307,0.0099100719424461085,h>h60,null,65,short_1,1.3
AL,short_1,null,null,-3,0.045779328680624794,0.020759942395037152,h<h60,null,62,short_1,2.7
P,short_1,null,bottom deviate,-2,0.035347091932457719,0.029480925578486531,h>h60,h5>h60,50,short_1,2.8
T,short_1,null,null,0,0.016120425455200611,0.0055210023436085944,null,null,50,short_1,2.5
JD,short_1,null,null,0,0.021040126715945042,0.0078801478352692467,null,null,0,short_1,3.5
SF,short_1,null,gold cross,0,0.063664790494058765,0.062288930581613451,null,null,0,short_1,3.5
TF,short_2,null,top deviate,0,0.0072637474894393381,0.0014509315049517574,null,null,75,short_1,1.5
AG,short_2,null,top deviate,0,0.0072340790263135026,-0.005219850861404007,h<h60,h5<h60|today,71,short_2,1.6
RB,short_2,null,gold cross,11,0.018908227848101217,0.0070938818565401086,h<h60,h5<h60|today,63,short_2,0.2
