cmt
CF.CZC
SR.CZC
RM.CZC
TA.CZC
FG.CZC
MA.CZC
ZC.CZC
A.DCE
C.DCE
CS.DCE
M.DCE
Y.DCE
P.DCE
JD.DCE
L.DCE
PP.DCE
V.DCE
J.DCE
JM.DCE
I.DCE
CU.SHF
ZN.SHF
AL.SHF
NI.SHF
AU.SHF
AG.SHF
BU.SHF
RU.SHF
HC.SHF
RB.SHF
IC.CFE
IH.CFE
IF.CFE
T.CFE
TF.CFE
