,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,白糖,沪铝,沥青,天胶,豆一,PVC,沪金,焦炭,沪金,玻璃,沪金,豆粕,豆粕
1,菜粕,鸡蛋,PVC,沪铝,沪镍,焦炭,豆粕,玉米,PVC,菜粕,棉花,铁矿石,铁矿石
2,豆粕,PVC,甲醇,沪银,玻璃,鸡蛋,铁矿石,沥青,棉花,沪金,沥青,天胶,玉米
3,豆一,棕榈油,玻璃,甲醇,甲醇,豆油,沥青,沪铝,豆粕,鸡蛋,铁矿石,焦炭,沥青
4,热卷,沥青,动力煤,沥青,铁矿石,玉米,沪锌,热卷,鸡蛋,螺纹钢,沪铝,沪镍,焦煤
